Type,Chip,Disp,Electrolyte,Potential [V],Pulse #,IDSdep (10sp 30sd) [A],Std IDSdep [A]
Standard,1,1,KCl,0.8,1,7.884469381237526e-06,4.688466431805143e-08
Standard,1,1,KCl,0.8,2,6.353118163672654e-06,3.849309370031404e-08
Standard,1,1,KCl,0.8,3,7.64160139720559e-06,3.661877285824727e-08
Standard,1,1,KCl,0.8,4,8.0535276247505e-06,4.871581399655477e-08
Standard,1,1,KCl,0.8,5,6.329037884231537e-06,4.567383014281338e-08
Standard,1,1,KCl,0.8,6,7.520226786427147e-06,4.364013407692853e-08
Standard,1,1,KCl,0.8,7,6.077912095808383e-06,3.86473224661011e-08
Standard,1,1,KCl,0.8,8,7.372274191616768e-06,4.040876259420977e-08
Standard,1,1,KCl,0.8,9,5.819483532934132e-06,3.7303665676356864e-08
Standard,1,1,KCl,0.8,10,7.199717065868264e-06,4.280543073926081e-08
Standard,1,1,KCl,0.8,11,5.672530059880239e-06,3.917311584488018e-08
Standard,1,1,KCl,0.8,12,7.101280159680639e-06,3.812314428237071e-08
Standard,1,1,KCl,0.8,13,5.4935738323353295e-06,4.2706782296069e-08
Standard,1,1,KCl,0.8,14,6.777583473053891e-06,4.315396489679453e-08
Standard,1,1,KCl,0.8,15,5.280400279441118e-06,3.9525392070436816e-08
Standard,1,1,KCl,0.8,16,6.570573073852296e-06,4.249509872600059e-08
Standard,1,1,KCl,0.8,17,5.111580359281438e-06,4.12092703244144e-08
Standard,1,1,KCl,0.8,18,6.403133453093813e-06,4.276866115103783e-08
Standard,1,1,KCl,0.8,19,4.89179245508982e-06,4.531943189141358e-08
Standard,1,1,KCl,0.8,20,6.138683473053892e-06,5.053097098526572e-08
Standard,1,1,KCl,0.8,21,4.762327704590819e-06,4.2150766438115394e-08
Standard,1,1,KCl,0.8,22,5.923131217564871e-06,5.4093324755597816e-08
Standard,1,1,KCl,0.8,23,4.484220618762475e-06,3.927151658666066e-08
Standard,1,1,KCl,0.8,24,5.628106347305389e-06,4.4009956973747926e-08
Standard,1,1,KCl,0.8,25,4.266954630738523e-06,4.048575809483344e-08
Standard,1,1,KCl,0.8,26,5.419002315369262e-06,5.156173935999777e-08
Standard,1,1,KCl,0.8,27,4.214798463073852e-06,4.2365490883892095e-08
Standard,1,1,KCl,0.8,28,5.060469980039921e-06,6.234371103647582e-08
Standard,1,1,KCl,0.8,29,4.01430760479042e-06,3.8390255938864163e-08
Standard,1,1,KCl,0.8,30,4.820695668662675e-06,4.737056513281218e-08
Standard,1,1,KCl,0.8,31,3.7869769261477046e-06,3.870997595107149e-08
Standard,1,1,KCl,0.8,32,4.550867644710578e-06,3.6878183388576943e-08
Standard,1,1,KCl,0.8,33,3.744313652694611e-06,3.998518480176296e-08
Standard,1,1,KCl,0.8,34,4.3084526746507e-06,3.577175911849925e-08
Standard,1,1,KCl,0.8,35,3.453476487025948e-06,4.154029024976024e-08
Standard,1,1,KCl,0.8,36,4.173776746506986e-06,4.8685686237267053e-08
Standard,1,1,KCl,0.8,37,3.401128602794411e-06,5.3303341835610136e-08
Standard,1,1,KCl,0.8,38,4.000577924151697e-06,3.6583777903358094e-08
Standard,1,1,KCl,0.8,39,3.217223213572855e-06,4.1544435986691363e-08
Standard,1,1,KCl,0.8,40,3.889077944111776e-06,4.72685610989468e-08
Standard,1,1,KCl,0.8,41,3.065130718562875e-06,4.101004049598865e-08
Standard,1,1,KCl,0.8,42,3.662557405189621e-06,4.013277376476111e-08
Standard,1,1,KCl,0.8,43,2.9276713173652694e-06,3.535940855078143e-08
Standard,1,1,KCl,0.8,44,3.441222894211577e-06,4.2744708437498774e-08
Standard,1,1,KCl,0.8,45,2.761134630738523e-06,3.6936540933246264e-08
Standard,1,1,KCl,0.8,46,3.3699581437125747e-06,4.153754673481935e-08
Standard,1,1,KCl,0.8,47,2.6995787425149703e-06,3.893636216463432e-08
Standard,1,1,KCl,0.8,48,3.1626396007984028e-06,4.574163741975493e-08
Standard,1,1,KCl,0.8,49,2.5591692015968067e-06,4.131270519539094e-08
Standard,1,1,KCl,0.8,50,2.977995828343313e-06,4.957306111551389e-08
Standard,1,1,KCl,0.8,51,2.4834079441117764e-06,3.819864687609852e-08
Standard,1,1,KCl,0.8,52,2.8245463872255484e-06,4.2516027781552576e-08
Standard,1,1,KCl,0.8,53,2.0532075049900195e-06,3.682717455307263e-08
Standard,1,1,KCl,0.8,54,2.440815928143712e-06,4.534881112649838e-08
Standard,1,1,KCl,0.8,55,-1.3969606846307388e-07,3.815942728936905e-08
Standard,1,1,KCl,0.8,56,-1.7569693473053893e-07,3.746583687837112e-08
Standard,1,1,KCl,0.8,57,-1.3681695708582837e-07,3.712371599523322e-08
Standard,1,1,KCl,0.8,58,-1.1882847305389225e-07,3.921058777289488e-08
Standard,1,1,KCl,0.8,59,-1.8402495928143722e-07,3.4686855599959175e-08
Standard,1,1,KCl,0.8,60,-1.4940417345309388e-07,4.239140930241729e-08
Standard,1,1,KCl,0.8,61,-1.1999438043912177e-07,3.698496967301089e-08
Standard,1,1,KCl,0.8,62,-2.041311640718563e-07,4.104799833581156e-08
Standard,1,1,KCl,0.8,63,-1.643708117764471e-07,4.3250508512022784e-08
