Type,Chip,Disp,Electrolyte,Potential [V],Pulse #,IDSdep (10sp 30sd) [A],Std IDSdep [A]
Standard,1,2,MgCl2,0.8,1,8.619211876247505e-06,4.3557843129253567e-08
Standard,1,2,MgCl2,0.8,2,6.2959638722554895e-06,4.375288966657694e-08
Standard,1,2,MgCl2,0.8,3,7.614094690618763e-06,4.0607904567387976e-08
Standard,1,2,MgCl2,0.8,4,5.900336526946108e-06,3.3988951179960926e-08
Standard,1,2,MgCl2,0.8,5,7.21158996007984e-06,3.4014059199078344e-08
Standard,1,2,MgCl2,0.8,6,5.72702007984032e-06,3.613405167419795e-08
Standard,1,2,MgCl2,0.8,7,6.940431556886228e-06,4.374723641067224e-08
Standard,1,2,MgCl2,0.8,8,5.547562235528942e-06,4.569856036892628e-08
Standard,1,2,MgCl2,0.8,9,6.565362215568862e-06,4.517937143521855e-08
Standard,1,2,MgCl2,0.8,10,5.304241996007984e-06,4.2898620458098464e-08
Standard,1,2,MgCl2,0.8,11,6.23633626746507e-06,4.162788931281918e-08
Standard,1,2,MgCl2,0.8,12,5.099469161676647e-06,4.005015259016882e-08
Standard,1,2,MgCl2,0.8,13,5.9302935129740514e-06,5.50759759244839e-08
Standard,1,2,MgCl2,0.8,14,4.938548143712575e-06,4.107527436241064e-08
Standard,1,2,MgCl2,0.8,15,5.704081696606786e-06,4.481211923705212e-08
Standard,1,2,MgCl2,0.8,16,4.75616487025948e-06,3.6895538633188905e-08
Standard,1,2,MgCl2,0.8,17,5.293844191616766e-06,4.9222768889968024e-08
Standard,1,2,MgCl2,0.8,18,4.6426893013972064e-06,3.804287797355739e-08
Standard,1,2,MgCl2,0.8,19,5.172207824351298e-06,3.7819529059165763e-08
Standard,1,2,MgCl2,0.8,20,4.472775489021956e-06,3.9209133930888776e-08
Standard,1,2,MgCl2,0.8,21,4.9153718562874245e-06,3.6075669484394944e-08
Standard,1,2,MgCl2,0.8,22,4.239591477045909e-06,3.948949505139277e-08
Standard,1,2,MgCl2,0.8,23,4.656561497005988e-06,4.211967298014661e-08
Standard,1,2,MgCl2,0.8,24,4.024348902195608e-06,3.8079003287801854e-08
Standard,1,2,MgCl2,0.8,25,4.429969401197605e-06,3.792720895136789e-08
Standard,1,2,MgCl2,0.8,26,3.865521217564871e-06,3.684672033050671e-08
Standard,1,2,MgCl2,0.8,27,4.2509649500998006e-06,4.2870236951147175e-08
Standard,1,2,MgCl2,0.8,28,3.7613023952095807e-06,3.7912093044983646e-08
Standard,1,2,MgCl2,0.8,29,4.06496626746507e-06,4.309041038839516e-08
Standard,1,2,MgCl2,0.8,30,-1.1942334211576849e-07,4.3339902093577895e-08
Standard,1,2,MgCl2,0.8,31,-1.7407890838323356e-07,4.182869698829695e-08
Standard,1,2,MgCl2,0.8,32,-1.652511994011976e-07,3.981494504506088e-08
Standard,1,2,MgCl2,0.8,33,-8.278018582834331e-08,4.006005820272776e-08
Standard,1,2,MgCl2,0.8,34,-5.0253473053892215e-08,3.7616935672188586e-08
Standard,1,2,MgCl2,0.8,35,-1.444311522954092e-07,4.026140050482926e-08
Standard,1,2,MgCl2,0.8,36,-1.1966127065868265e-07,3.814058164466295e-08
Standard,1,2,MgCl2,0.8,37,-5.984254810379243e-08,3.8869488346900887e-08
Standard,1,2,MgCl2,0.8,38,-1.2251659580838328e-07,4.1276180588111145e-08
Standard,1,2,MgCl2,0.8,39,-2.5238588223552894e-07,4.102322357977374e-08
Standard,1,2,MgCl2,0.8,40,-1.1889985389221561e-07,4.094511014590785e-08
Standard,1,2,MgCl2,0.8,41,-1.488807017964072e-07,4.411461439113637e-08
Standard,1,2,MgCl2,0.8,42,-1.935188910179641e-07,4.063518881942372e-08
Standard,1,2,MgCl2,0.8,43,-1.483572143712575e-07,4.1328929590951554e-08
Standard,1,2,MgCl2,0.8,44,-2.2026371656686629e-07,3.729930157635009e-08
Standard,1,2,MgCl2,0.8,45,-1.3938673053892217e-07,3.5884515777353986e-08
Standard,1,2,MgCl2,0.8,46,-1.1568761616766469e-07,3.5259672413556525e-08
Standard,1,2,MgCl2,0.8,47,-1.1361753453093813e-07,4.161333049064287e-08
Standard,1,2,MgCl2,0.8,48,-1.616820369261477e-07,3.2276039023573125e-08
Standard,1,2,MgCl2,0.8,49,-2.438675489021956e-07,3.768327852196653e-08
Standard,1,2,MgCl2,0.8,50,-1.6805892994011977e-07,4.228233718777738e-08
Standard,1,2,MgCl2,0.8,51,-1.0060207125748505e-07,4.103773490219528e-08
Standard,1,2,MgCl2,0.8,52,-2.192405636726547e-07,3.572827352175244e-08
Standard,1,2,MgCl2,0.8,53,-1.4300350000000001e-07,4.44701032906141e-08
Standard,1,2,MgCl2,0.8,54,-1.71651882235529e-07,3.9724445960307926e-08
Standard,1,2,MgCl2,0.8,55,-1.483334167664671e-07,3.942084461149104e-08
Standard,1,2,MgCl2,0.8,56,-1.536395493013972e-07,3.859060824612256e-08
Standard,1,2,MgCl2,0.8,57,-1.8366803113772457e-07,3.963408285247577e-08
Standard,1,2,MgCl2,0.8,58,-7.76168391217565e-08,4.0772957863199286e-08
Standard,1,2,MgCl2,0.8,59,-2.275209241516966e-07,4.066868379638367e-08
Standard,1,2,MgCl2,0.8,60,-1.0500400998003997e-07,3.788378509735613e-08
Standard,1,2,MgCl2,0.8,61,-6.895573912175649e-08,3.667579823584791e-08
Standard,1,2,MgCl2,0.8,62,-1.6013540678642717e-07,3.695506957526924e-08
Standard,1,2,MgCl2,0.8,63,-1.701052656686627e-07,4.2229956842865314e-08
Standard,1,2,MgCl2,0.8,64,-8.299433952095809e-08,3.917712161100604e-08
Standard,1,2,MgCl2,0.8,65,-1.9758771137724562e-07,4.2101192424622026e-08
Standard,1,2,MgCl2,0.8,66,-1.9228160199600805e-07,3.7221566262001374e-08
Standard,1,2,MgCl2,0.8,67,-8.292295928143714e-08,3.956964173809593e-08
Standard,1,2,MgCl2,0.8,68,-9.72470650698603e-08,3.5082895104290826e-08
Standard,1,2,MgCl2,0.8,69,-1.3153464251497008e-07,4.38276808043858e-08
Standard,1,2,MgCl2,0.8,70,-1.3427096187624753e-07,3.7185805958646664e-08
Standard,1,2,MgCl2,0.8,71,-1.0788313632734532e-07,4.718566184597906e-08
Standard,1,2,MgCl2,0.8,72,-4.087853592814372e-08,3.857935588420451e-08
Standard,1,2,MgCl2,0.8,73,-7.752165449101797e-08,3.789740119420495e-08
Standard,1,2,MgCl2,0.8,74,-1.5363954331337326e-07,3.7271842254028986e-08
Standard,1,2,MgCl2,0.8,75,-1.607778518962076e-07,3.674742600328339e-08
Standard,1,2,MgCl2,0.8,76,-1.633714506986028e-07,3.9423226109755936e-08
Standard,1,2,MgCl2,0.8,77,-1.8852205628742522e-07,4.61565365864956e-08
Standard,1,2,MgCl2,0.8,78,-5.950942734530939e-08,3.956581716595611e-08
