Type,Chip,Disp,Electrolyte,Potential [V],Pulse #,IDSdep (10sp 30sd) [A],Std IDSdep [A]
Standard,7,1,KCl,0.8,1,1.4029891217564873e-05,4.6205140436044264e-08
Standard,7,1,KCl,0.8,2,1.118157385229541e-05,3.72210781000516e-08
Standard,7,1,KCl,0.8,3,1.3372783433133732e-05,3.798629311988761e-08
Standard,7,1,KCl,0.8,4,1.0935942315369262e-05,3.5647264212395496e-08
Standard,7,1,KCl,0.8,5,1.2881334530938122e-05,4.1667602585576454e-08
Standard,7,1,KCl,0.8,6,1.0828486427145708e-05,3.85200432944873e-08
Standard,7,1,KCl,0.8,7,1.2525191217564872e-05,4.11651872668468e-08
Standard,7,1,KCl,0.8,8,1.0545139520958083e-05,4.6886606989310496e-08
Standard,7,1,KCl,0.8,9,1.2178170459081836e-05,4.521259476726392e-08
Standard,7,1,KCl,0.8,10,1.0223973253493016e-05,3.69176142673605e-08
Standard,7,1,KCl,0.8,11,1.1976842115768464e-05,3.7711731897574884e-08
Standard,7,1,KCl,0.8,12,1.0163843313373254e-05,4.9833438775581246e-08
Standard,7,1,KCl,0.8,13,1.16829624750499e-05,4.19306840996169e-08
Standard,7,1,KCl,0.8,14,9.846259500998005e-06,3.90504030805124e-08
Standard,7,1,KCl,0.8,15,1.1318267664670658e-05,4.077026161720483e-08
Standard,7,1,KCl,0.8,16,9.569223293413173e-06,3.340515607704496e-08
Standard,7,1,KCl,0.8,17,1.1146590818363274e-05,3.9608316746978134e-08
Standard,7,1,KCl,0.8,18,9.395690558882235e-06,4.847511189143368e-08
Standard,7,1,KCl,0.8,19,1.0841239121756486e-05,4.6051906219255965e-08
Standard,7,1,KCl,0.8,20,9.148729780439122e-06,4.1350754984059246e-08
Standard,7,1,KCl,0.8,21,1.0533339520958085e-05,3.980957918604584e-08
Standard,7,1,KCl,0.8,22,8.952618463073853e-06,4.0593952414529994e-08
Standard,7,1,KCl,0.8,23,1.0336109780439124e-05,4.6534731589982254e-08
Standard,7,1,KCl,0.8,24,8.632536566866267e-06,3.7416770066242e-08
Standard,7,1,KCl,0.8,25,9.89879736526946e-06,4.9632609303202335e-08
Standard,7,1,KCl,0.8,26,8.403635988023952e-06,3.8314007418591063e-08
Standard,7,1,KCl,0.8,27,9.621712415169664e-06,4.534815028151965e-08
Standard,7,1,KCl,0.8,28,8.199219660678643e-06,4.8246182651942736e-08
Standard,7,1,KCl,0.8,29,9.440471756487024e-06,5.102706332240353e-08
Standard,7,1,KCl,0.8,30,7.896200499001996e-06,4.2517391612733e-08
Standard,7,1,KCl,0.8,31,9.184088882235528e-06,5.5351574148782067e-08
Standard,7,1,KCl,0.8,32,7.69746994011976e-06,3.757152865397432e-08
Standard,7,1,KCl,0.8,33,8.839500798403194e-06,5.051734073524923e-08
Standard,7,1,KCl,0.8,34,7.38590866267465e-06,4.0736156426545535e-08
Standard,7,1,KCl,0.8,35,8.64676610778443e-06,5.796813040128488e-08
Standard,7,1,KCl,0.8,36,7.087526566866267e-06,3.4036745276098665e-08
Standard,7,1,KCl,0.8,37,8.309767445109782e-06,5.583317328129831e-08
Standard,7,1,KCl,0.8,38,6.952066986027944e-06,4.6146167423717854e-08
Standard,7,1,KCl,0.8,39,8.026045568862276e-06,4.4038836995608206e-08
Standard,7,1,KCl,0.8,40,6.703225469061876e-06,3.602613533019526e-08
Standard,7,1,KCl,0.8,41,7.810802255489024e-06,6.365286961561588e-08
Standard,7,1,KCl,0.8,42,6.541544451097805e-06,3.627956382246213e-08
Standard,7,1,KCl,0.8,43,7.496646227544909e-06,5.352151449594936e-08
Standard,7,1,KCl,0.8,44,6.265555588822355e-06,3.681487647001679e-08
Standard,7,1,KCl,0.8,45,7.209235508982036e-06,5.0981224316314915e-08
Standard,7,1,KCl,0.8,46,6.073177425149701e-06,4.1611871281605345e-08
Standard,7,1,KCl,0.8,47,6.994801696606786e-06,5.061491464100043e-08
Standard,7,1,KCl,0.8,48,5.798949081836328e-06,4.2502680376127876e-08
Standard,7,1,KCl,0.8,49,6.701322674650699e-06,5.0393386054441055e-08
Standard,7,1,KCl,0.8,50,5.691898902195608e-06,4.1668860524286186e-08
Standard,7,1,KCl,0.8,51,6.413674211576846e-06,4.0131451691000914e-08
Standard,7,1,KCl,0.8,52,5.400156886227545e-06,3.6976900625728896e-08
Standard,7,1,KCl,0.8,53,4.574447325349301e-07,3.785224337642776e-08
Standard,7,1,KCl,0.8,54,6.226955648702595e-08,3.9533452365292096e-08
Standard,7,1,KCl,0.8,55,2.710642654690619e-07,3.6722292964620036e-08
Standard,7,1,KCl,0.8,56,9.92458021956088e-08,3.937862307346725e-08
Standard,7,1,KCl,0.8,57,1.7757668822355294e-07,3.98117688811473e-08
Standard,7,1,KCl,0.8,58,-1.6893923153692617e-08,4.246865834450838e-08
Standard,7,1,KCl,0.8,59,1.7981335289421157e-07,3.844577271290222e-08
Standard,7,1,KCl,0.8,60,2.5864368263473053e-08,3.8886994408492625e-08
