Type,Electrolyte,Potential [V],Period [s],Rat_first
Bare,Nenhum,-0.5,0.101,1.219833315500618
Bare,Nenhum,-0.5,0.102,1.2570174875677826
Bare,Nenhum,-0.5,0.105,1.960293201147567
Bare,Nenhum,-0.5,0.11,0.707304001612739
Bare,Nenhum,-0.5,0.12,0.3509485506774066
Bare,Nenhum,-0.5,0.14,0.38879782432722565
Bare,Nenhum,-0.5,0.15,0.868555601882495
Bare,Nenhum,-0.5,0.18,0.9060732999870091
Bare,Nenhum,-0.5,0.2,0.8885874581849741
Bare,Nenhum,-0.5,0.3,1.0090554632002384
Bare,Nenhum,-0.5,0.5,2.3276901966746704
Bare,Nenhum,-0.5,0.6,1.700819609803589
Bare,Nenhum,-0.5,0.85,0.38873015219074863
Bare,Nenhum,-0.5,1.1,0.7199124925925382
Bare,Nenhum,-0.5,1.6,0.884436880359286
Bare,Nenhum,-0.5,2.1,1.2388068122648912
