Type,Electrolyte,Potential [V],Period [s],Rat_first,Rat_first.1
Cinco Camadas,KCl,-0.5,0.0010000000000000009,1.1787393566538402,0.036673240408288836
Cinco Camadas,KCl,-0.5,0.001999999999999988,1.3091865422671833,0.09915957947056943
Cinco Camadas,KCl,-0.5,0.0049999999999999906,1.4536204427648236,0.036870444248891396
Cinco Camadas,KCl,-0.5,0.009999999999999995,1.3161082423443287,0.05555616355188089
Cinco Camadas,KCl,-0.5,0.01999999999999999,1.310083828124444,0.028563199956366928
Cinco Camadas,KCl,-0.5,0.04000000000000001,1.0538743183058472,0.16151031929730406
Cinco Camadas,KCl,-0.5,0.04999999999999999,0.7021235510369658,0.024215247037175393
Cinco Camadas,KCl,-0.5,0.07999999999999999,0.8864320762892182,0.024194701362094086
Cinco Camadas,KCl,-0.5,0.1,0.885115122707607,0.009772049664437708
Cinco Camadas,KCl,-0.5,0.19999999999999998,0.9363142114615749,0.0094523676336602
Cinco Camadas,KCl,-0.5,0.4,1.5646081369020488,0.07242169201587806
Cinco Camadas,KCl,-0.5,0.5,1.4438811274588146,0.020895873745649676
Cinco Camadas,KCl,-0.5,0.75,1.301238806340036,0.05909328615719106
Cinco Camadas,KCl,-0.5,1.0,0.8279735611811132,0.03999737993299185
Cinco Camadas,KCl,-0.5,1.5,0.7843799455206986,0.02892798286524524
Cinco Camadas,KCl,-0.5,2.0,0.8395160869669044,0.10170389202070887
