Type,Electrolyte,Potential [V],Period [s],Rat_first
Enode,KCl,-0.5,0.101,1.262377928148455
Enode,KCl,-0.5,0.102,0.8729811174269414
Enode,KCl,-0.5,0.105,1.4667851575925654
Enode,KCl,-0.5,0.11,0.9616008501969827
Enode,KCl,-0.5,0.12,0.9483338364200801
Enode,KCl,-0.5,0.14,0.9651555143969194
Enode,KCl,-0.5,0.15,1.0043641749836116
Enode,KCl,-0.5,0.18,0.9768735751324695
Enode,KCl,-0.5,0.2,0.9765630448647326
Enode,KCl,-0.5,0.3,1.4863045400918946
Enode,KCl,-0.5,0.5,1.0639366687170353
Enode,KCl,-0.5,0.6,1.0955099495013616
Enode,KCl,-0.5,0.85,1.0449256297204685
Enode,KCl,-0.5,1.1,0.9365244441578495
Enode,KCl,-0.5,1.6,0.8948639839154926
Enode,KCl,-0.5,2.1,0.932832401044759
