Type,Electrolyte,Potential [V],Period [s],Rat_first,Rat_first.1
Enode,MgCl2,-0.5,0.0010000000000000009,1.4776571107269854,0.07541312788170461
Enode,MgCl2,-0.5,0.001999999999999988,0.9192037414479289,0.025959934362925024
Enode,MgCl2,-0.5,0.0049999999999999906,1.610078656812535,0.12633492234761073
Enode,MgCl2,-0.5,0.009999999999999995,0.9620774035357204,0.015042573565815143
Enode,MgCl2,-0.5,0.01999999999999999,0.9754447347792397,0.015775507625663612
Enode,MgCl2,-0.5,0.04000000000000001,0.9707045725203244,0.01976431539335828
Enode,MgCl2,-0.5,0.04999999999999999,1.028030735468912,0.03314753151942605
Enode,MgCl2,-0.5,0.07999999999999999,0.975154117066951,0.03775779834603682
Enode,MgCl2,-0.5,0.1,1.0048438247310658,0.05337028990855168
Enode,MgCl2,-0.5,0.19999999999999998,1.64929091206596,0.01855582726430982
Enode,MgCl2,-0.5,0.4,1.1037001336607475,0.03949245332436609
Enode,MgCl2,-0.5,0.5,1.047707234887362,0.04904946074628318
Enode,MgCl2,-0.5,0.75,1.004159818270189,0.10216368106293543
Enode,MgCl2,-0.5,1.0,0.9020229048684376,0.021426830524998983
Enode,MgCl2,-0.5,1.5,0.838074649285628,0.05828897877556959
Enode,MgCl2,-0.5,2.0,0.9177713360920569,0.03601869901796584
