Type,Electrolyte,Potential [V],Period [s],Rat_first
Enode,MgCl2,-0.8,0.101,1.2125943826860197
Enode,MgCl2,-0.8,0.102,0.9110370183225961
Enode,MgCl2,-0.8,0.105,1.4451371252247167
Enode,MgCl2,-0.8,0.11,0.973436781242126
Enode,MgCl2,-0.8,0.12,0.9790497264898715
Enode,MgCl2,-0.8,0.14,0.972599206844754
Enode,MgCl2,-0.8,0.15,0.9932906087539838
Enode,MgCl2,-0.8,0.18,0.996693939471396
Enode,MgCl2,-0.8,0.2,0.9959435235914986
Enode,MgCl2,-0.8,0.3,1.5303091792641978
Enode,MgCl2,-0.8,0.5,1.108326595786543
Enode,MgCl2,-0.8,0.6,1.0875806555222212
Enode,MgCl2,-0.8,0.85,1.055316972313651
Enode,MgCl2,-0.8,1.1,1.078707113677009
Enode,MgCl2,-0.8,1.6,0.9899597710293686
Enode,MgCl2,-0.8,2.1,1.0247710126933527
