Type,Electrolyte,Potential [V],Period [s],Rat_first,Rat_first.1
Enode,MgCl2,0.8,0.0010000000000000009,0.8012942720556882,0.032053451394764516
Enode,MgCl2,0.8,0.001999999999999988,0.8035660861706618,0.022556247467159448
Enode,MgCl2,0.8,0.0049999999999999906,0.9954401353334067,0.012366150841188472
Enode,MgCl2,0.8,0.009999999999999995,0.918406033454238,0.05496802893350089
Enode,MgCl2,0.8,0.01999999999999999,0.9693516908664814,0.01190958125712269
Enode,MgCl2,0.8,0.04000000000000001,0.9654845967042293,0.036949736329222715
Enode,MgCl2,0.8,0.04999999999999999,0.6151022717734287,0.2787113545524744
Enode,MgCl2,0.8,0.07999999999999999,0.9559952085714233,0.10663019966045277
Enode,MgCl2,0.8,0.1,0.42111584955287545,0.37566244105928404
Enode,MgCl2,0.8,0.19999999999999998,1.001627583071943,0.03086756426318435
Enode,MgCl2,0.8,0.4,1.043809719322102,0.02537746653024432
Enode,MgCl2,0.8,0.5,1.0222188778370003,0.030427385134100305
Enode,MgCl2,0.8,0.75,1.008973075715245,0.030766993937480773
Enode,MgCl2,0.8,1.0,0.9995281168108443,0.01567353695291795
Enode,MgCl2,0.8,1.5,0.9749035234884446,0.024742768615393512
Enode,MgCl2,0.8,2.0,0.9835948192940202,0.06298011925999783
