Type,Electrolyte,Potential [V],Period [s],Rat_first,Rat_first.1
Quatro Camadas,KCl,-0.8,0.0010000000000000009,1.1320097615117422,0.014354971020117983
Quatro Camadas,KCl,-0.8,0.001999999999999988,1.2302350294329145,0.05198904082704812
Quatro Camadas,KCl,-0.8,0.0049999999999999906,1.30537546869573,0.04174377443381553
Quatro Camadas,KCl,-0.8,0.009999999999999995,1.252935185972712,0.005504055972045336
Quatro Camadas,KCl,-0.8,0.01999999999999999,1.2536989426795764,0.00795397136117737
Quatro Camadas,KCl,-0.8,0.04000000000000001,1.0817549424877864,0.1644359761906756
Quatro Camadas,KCl,-0.8,0.04999999999999999,0.7291410609204965,0.01566855616218203
Quatro Camadas,KCl,-0.8,0.07999999999999999,0.8590641102604336,0.008839128588775393
Quatro Camadas,KCl,-0.8,0.1,0.8636120866794467,0.019640623225138053
Quatro Camadas,KCl,-0.8,0.19999999999999998,0.9495582859902706,0.010741258644897488
Quatro Camadas,KCl,-0.8,0.4,1.4363797842947539,0.08021202562248042
Quatro Camadas,KCl,-0.8,0.5,1.3595019603363738,0.023395378876469815
Quatro Camadas,KCl,-0.8,0.75,1.2990393082908855,0.021557069632726123
Quatro Camadas,KCl,-0.8,1.0,0.9290665069188585,0.07652614467580256
Quatro Camadas,KCl,-0.8,1.5,0.79025641319322,0.017374759682464054
Quatro Camadas,KCl,-0.8,2.0,0.821414214651819,0.03806658611959914
