Type,Electrolyte,Potential [V],Period [s],Rat_first,Rat_first.1
Quatro Camadas,KCl,0.5,0.0010000000000000009,0.5782725215792355,0.05529560611672752
Quatro Camadas,KCl,0.5,0.001999999999999988,0.872130722195239,0.026373784848393724
Quatro Camadas,KCl,0.5,0.0049999999999999906,0.9666617971977916,0.058714449475671296
Quatro Camadas,KCl,0.5,0.009999999999999995,0.9840801836968819,0.03486027125962309
Quatro Camadas,KCl,0.5,0.01999999999999999,0.9740614631087423,0.03793965378782205
Quatro Camadas,KCl,0.5,0.04000000000000001,0.9686160244957689,0.010974199116060077
Quatro Camadas,KCl,0.5,0.04999999999999999,0.9821086452783111,0.041962463255015736
Quatro Camadas,KCl,0.5,0.07999999999999999,0.9849567396922984,0.021887675231057148
Quatro Camadas,KCl,0.5,0.1,0.9765065447987947,0.011661517807635559
Quatro Camadas,KCl,0.5,0.19999999999999998,0.9842721540956892,0.029473952932790013
Quatro Camadas,KCl,0.5,0.4,1.0058527890493558,0.02919582156895399
Quatro Camadas,KCl,0.5,0.5,1.0115500872241898,0.02513249797660803
Quatro Camadas,KCl,0.5,0.75,1.0032049531151015,0.03601774928270779
Quatro Camadas,KCl,0.5,1.0,0.97971014403738,0.015355587490211917
Quatro Camadas,KCl,0.5,1.5,0.9722190189186505,0.036881467129790055
Quatro Camadas,KCl,0.5,2.0,1.0065254031628064,0.009790374107507258
