Type,Electrolyte,Potential [V],Period [s],Rat_first,Rat_first.1
Standard,MgCl2,-0.5,0.0010000000000000009,0.5737094872902896,0.0980190866798709
Standard,MgCl2,-0.5,0.001999999999999988,0.6607290417289374,0.04900677779002121
Standard,MgCl2,-0.5,0.0049999999999999906,0.7190429040880204,0.041995973313389105
Standard,MgCl2,-0.5,0.009999999999999995,0.8367522672793478,0.07308313426460353
Standard,MgCl2,-0.5,0.01999999999999999,0.8655360704201999,0.021362782626220028
Standard,MgCl2,-0.5,0.04000000000000001,0.8762920610407526,0.02830872014773373
Standard,MgCl2,-0.5,0.04999999999999999,0.8727895177314396,0.0506370939823699
Standard,MgCl2,-0.5,0.07999999999999999,0.9405726234359362,0.043012367524853
Standard,MgCl2,-0.5,0.1,0.952428928841505,0.014715715118551027
Standard,MgCl2,-0.5,0.19999999999999998,1.120548055055252,0.07179880517107437
Standard,MgCl2,-0.5,0.4,1.268645295645693,0.07360539389010612
Standard,MgCl2,-0.5,0.5,1.0590407962795843,0.09881883153506707
Standard,MgCl2,-0.5,0.75,0.6989394382557338,0.011575024084200868
Standard,MgCl2,-0.5,1.0,0.8613730982976303,0.01367424576256505
Standard,MgCl2,-0.5,1.5,0.8785462147529275,0.01996481227801476
Standard,MgCl2,-0.5,2.0,1.0157280785019778,0.17847810849811827
