Type,Electrolyte,Potential [V],Period [s],Rat_first
Standard,MgCl2,0.5,0.101,0.7647853564680117
Standard,MgCl2,0.5,0.102,0.8898503765883055
Standard,MgCl2,0.5,0.105,0.9131507413336705
Standard,MgCl2,0.5,0.11,0.9737750730889249
Standard,MgCl2,0.5,0.12,0.9872636163699854
Standard,MgCl2,0.5,0.14,0.953144655986312
Standard,MgCl2,0.5,0.15,0.983908400533312
Standard,MgCl2,0.5,0.18,0.869110939301733
Standard,MgCl2,0.5,0.2,0.8974484569363974
Standard,MgCl2,0.5,0.3,1.0157823168543347
Standard,MgCl2,0.5,0.5,1.0293857689186368
Standard,MgCl2,0.5,0.6,0.9929740557969543
Standard,MgCl2,0.5,0.85,0.9718646841834885
Standard,MgCl2,0.5,1.1,1.0122164327068879
Standard,MgCl2,0.5,1.6,1.0184782957310958
Standard,MgCl2,0.5,2.1,1.0236443980181806
