Time,Estabilidade,Positivo,Negativo
0.0,-7.51019e-07,-4.29153e-07,-4.41074e-07
0.04,-6.31809e-07,-4.17233e-07,-4.41074e-07
0.08,-6.67572e-07,-3.8147e-07,-3.69549e-07
0.12,-6.79493e-07,-3.57628e-07,-3.93391e-07
0.16,-7.15256e-07,-3.57628e-07,-3.33786e-07
0.2,-6.19888e-07,-3.69549e-07,-3.69549e-07
0.24,-5.96046e-07,-4.05312e-07,-3.57628e-07
0.28,-5.96046e-07,-3.69549e-07,-3.45707e-07
0.32,-5.84126e-07,-4.29153e-07,-4.05312e-07
0.36,-5.96046e-07,-3.8147e-07,-4.05312e-07
0.4,-6.19888e-07,-4.05312e-07,-3.33786e-07
0.44,-6.31809e-07,-4.17233e-07,-3.45707e-07
0.48,-6.07967e-07,-3.93391e-07,-3.45707e-07
0.52,-5.60284e-07,-3.45707e-07,-3.69549e-07
0.56,-5.84126e-07,-3.8147e-07,-3.69549e-07
0.6,-5.48363e-07,-3.69549e-07,-3.45707e-07
0.64,-5.60284e-07,-4.05312e-07,-3.57628e-07
0.68,-5.96046e-07,-3.69549e-07,-3.33786e-07
0.72,-5.72205e-07,-3.93391e-07,-2.74181e-07
0.76,-6.67572e-07,-4.17233e-07,-2.74181e-07
0.8,-5.84126e-07,-3.69549e-07,-2.74181e-07
0.84,-5.72205e-07,-3.8147e-07,-2.6226e-07
0.88,-5.60284e-07,-3.69549e-07,-2.98023e-07
0.92,-5.72205e-07,-3.69549e-07,-2.6226e-07
0.96,-5.72205e-07,-4.29153e-07,-3.21865e-07
1.0,-5.126e-07,-3.8147e-07,-3.09944e-07
1.04,-5.84126e-07,-3.33786e-07,-3.09944e-07
1.08,-5.72205e-07,-3.45707e-07,-3.09944e-07
1.12,-6.19888e-07,-3.33786e-07,-3.45707e-07
1.16,-6.55651e-07,-3.69549e-07,-3.21865e-07
1.2,-5.96046e-07,-3.69549e-07,-2.5034e-07
1.24,-6.31809e-07,-3.93391e-07,-2.98023e-07
1.28,-6.31809e-07,-3.09944e-07,-2.26498e-07
1.32,-6.67572e-07,-3.93391e-07,-2.38419e-07
1.36,-6.4373e-07,-2.6226e-07,-2.5034e-07
1.4,-6.19888e-07,-3.57628e-07,-3.33786e-07
1.44,-6.4373e-07,-4.05312e-07,-3.69549e-07
1.48,-6.79493e-07,-3.45707e-07,-3.57628e-07
1.52,-6.91414e-07,-3.21865e-07,-3.33786e-07
1.56,-6.19888e-07,-3.57628e-07,-3.21865e-07
1.6,-6.31809e-07,-3.69549e-07,-3.09944e-07
1.64,-6.4373e-07,-4.05312e-07,-3.57628e-07
1.68,-6.67572e-07,-3.8147e-07,-3.33786e-07
1.72,-6.31809e-07,-4.41074e-07,-3.09944e-07
1.76,-6.79493e-07,-3.93391e-07,-3.33786e-07
1.8,-6.4373e-07,-4.17233e-07,-2.74181e-07
1.84,-6.31809e-07,-3.57628e-07,-3.45707e-07
1.88,-6.67572e-07,-3.8147e-07,-3.21865e-07
1.92,-6.19888e-07,-3.69549e-07,-3.57628e-07
1.96,-5.96046e-07,-3.33786e-07,-2.86102e-07
2.0,-6.19888e-07,-3.21865e-07,-3.45707e-07
2.04,-6.07967e-07,-2.86102e-07,-3.57628e-07
2.08,-6.91414e-07,-3.45707e-07,-3.33786e-07
2.12,-6.79493e-07,-3.09944e-07,-3.45707e-07
2.16,-6.67572e-07,-3.33786e-07,-3.33786e-07
2.2,-7.03335e-07,-3.8147e-07,-3.21865e-07
2.24,-6.19888e-07,-3.93391e-07,-3.45707e-07
2.28,-6.4373e-07,-2.86102e-07,-2.86102e-07
2.32,-6.55651e-07,-3.69549e-07,-3.45707e-07
2.36,-6.4373e-07,-3.8147e-07,-3.09944e-07
2.4,-6.4373e-07,-3.45707e-07,-3.45707e-07
