Time,Estabilidade,Positivo,Negativo
0.0,-5.60284e-07,-1.66893e-07,-3.09944e-07
0.04,-5.00679e-07,-1.78814e-07,-2.38419e-07
0.08,-4.88758e-07,-1.43051e-07,-2.26498e-07
0.12,-4.64916e-07,-1.3113e-07,-2.14577e-07
0.16,-4.05312e-07,-9.53674e-08,-2.26498e-07
0.2,-4.52995e-07,-1.54972e-07,-2.5034e-07
0.24,-4.41074e-07,-7.15256e-08,-1.90735e-07
0.28,-4.76837e-07,-1.3113e-07,-2.5034e-07
0.32,-4.64916e-07,-1.07288e-07,-2.38419e-07
0.36,-4.52995e-07,-1.3113e-07,-1.90735e-07
0.4,-5.00679e-07,-1.3113e-07,-1.66893e-07
0.44,-4.76837e-07,-1.43051e-07,-1.54972e-07
0.48,-4.17233e-07,-1.54972e-07,-2.26498e-07
0.52,-4.29153e-07,-1.66893e-07,-2.26498e-07
0.56,-4.41074e-07,-2.26498e-07,-2.38419e-07
0.6,-4.29153e-07,-1.78814e-07,-2.02656e-07
0.64,-4.41074e-07,-1.43051e-07,-2.14577e-07
0.68,-4.52995e-07,-1.3113e-07,-2.86102e-07
0.72,-4.64916e-07,-9.53674e-08,-2.86102e-07
0.76,-5.00679e-07,-1.19209e-07,-2.74181e-07
0.8,-4.52995e-07,-5.96046e-08,-2.5034e-07
0.84,-4.41074e-07,-1.19209e-07,-2.26498e-07
0.88,-4.52995e-07,-4.76837e-08,-2.26498e-07
0.92,-4.41074e-07,-2.02656e-07,-2.14577e-07
0.96,-4.52995e-07,-1.78814e-07,-2.02656e-07
1.0,-4.64916e-07,-1.78814e-07,-2.98023e-07
1.04,-4.41074e-07,-1.66893e-07,-2.6226e-07
1.08,-3.8147e-07,-2.02656e-07,-2.5034e-07
1.12,-3.8147e-07,-2.02656e-07,-2.86102e-07
1.16,-4.52995e-07,-1.66893e-07,-2.5034e-07
1.2,-4.17233e-07,-2.14577e-07,-2.74181e-07
1.24,-3.93391e-07,-1.3113e-07,-2.6226e-07
1.28,-4.17233e-07,-1.43051e-07,-1.78814e-07
1.32,-3.93391e-07,-1.66893e-07,-2.86102e-07
1.36,-3.8147e-07,-1.54972e-07,-2.74181e-07
1.4,-4.29153e-07,-1.19209e-07,-2.14577e-07
1.44,-4.29153e-07,-1.07288e-07,-2.5034e-07
1.48,-3.93391e-07,-1.43051e-07,-2.6226e-07
1.52,-3.8147e-07,-1.3113e-07,-2.6226e-07
1.56,-4.41074e-07,-7.15256e-08,-2.74181e-07
1.6,-4.29153e-07,-1.3113e-07,-2.86102e-07
1.64,-4.17233e-07,-1.19209e-07,-2.38419e-07
1.68,-4.76837e-07,-1.19209e-07,-2.26498e-07
1.72,-5.24521e-07,-1.3113e-07,-2.5034e-07
