Time,Estabilidade,Positivo,Negativo
0.0,-1.07288e-07,-2.02656e-07,-1.43051e-07
0.04,-1.43051e-07,-2.02656e-07,-5.96046e-08
0.08,-1.54972e-07,-1.90735e-07,-1.07288e-07
0.12,-1.66893e-07,-1.3113e-07,-1.19209e-08
0.16,-1.90735e-07,-1.66893e-07,-5.96046e-08
0.2,-1.66893e-07,-1.54972e-07,-7.15256e-08
0.24,-1.54972e-07,-1.66893e-07,-3.57628e-08
0.28,-1.19209e-07,-2.14577e-07,-8.34465e-08
0.32,-9.53674e-08,-2.26498e-07,-4.76837e-08
0.36,-9.53674e-08,-1.54972e-07,-1.07288e-07
0.4,-8.34465e-08,-1.66893e-07,-4.76837e-08
0.44,-1.07288e-07,-1.78814e-07,-7.15256e-08
0.48,-9.53674e-08,-9.53674e-08,-5.96046e-08
0.52,-9.53674e-08,-1.07288e-07,-2.38419e-08
0.56,-1.54972e-07,-1.54972e-07,-3.57628e-08
0.6,-1.43051e-07,-1.43051e-07,-4.76837e-08
0.64,-1.90735e-07,-1.19209e-07,-3.57628e-08
0.68,-7.15256e-08,-2.02656e-07,0.0
0.72,-1.19209e-07,-1.43051e-07,-4.76837e-08
0.76,-1.07288e-07,-1.43051e-07,1.19209e-08
0.8,-1.19209e-07,-1.66893e-07,-4.76837e-08
0.84,-1.07288e-07,-2.38419e-07,-1.19209e-08
0.88,-1.19209e-07,-1.66893e-07,-1.19209e-08
0.92,-1.3113e-07,-1.54972e-07,8.34465e-08
0.96,-1.54972e-07,-1.19209e-07,-2.38419e-08
1.0,-1.3113e-07,-1.66893e-07,1.19209e-08
1.04,-1.19209e-07,-1.78814e-07,5.96046e-08
1.08,-1.54972e-07,-1.19209e-07,-1.19209e-08
1.12,-1.19209e-07,-1.19209e-07,3.57628e-08
1.16,-1.3113e-07,-5.96046e-08,3.57628e-08
1.2,-1.54972e-07,-1.43051e-07,-1.19209e-08
1.24,-8.34465e-08,-1.07288e-07,-2.38419e-08
1.28,-3.57628e-08,-1.07288e-07,2.38419e-08
1.32,-8.34465e-08,-1.54972e-07,-1.19209e-08
1.36,-1.07288e-07,-1.19209e-07,-7.15256e-08
1.4,-1.07288e-07,-1.3113e-07,-2.38419e-08
1.44,-1.19209e-07,-1.19209e-07,-4.76837e-08
1.48,-7.15256e-08,-1.07288e-07,-2.38419e-08
1.52,-1.07288e-07,-9.53674e-08,0.0
1.56,-1.3113e-07,-1.66893e-07,-9.53674e-08
1.6,-1.3113e-07,-1.54972e-07,-5.96046e-08
1.64,-1.3113e-07,-8.34465e-08,0.0
1.68,-1.3113e-07,-9.53674e-08,1.19209e-08
1.72,-1.07288e-07,-8.34465e-08,0.0
1.76,-9.53674e-08,-1.54972e-07,-4.76837e-08
1.8,-1.3113e-07,-1.07288e-07,0.0
1.84,-1.66893e-07,-1.3113e-07,0.0
1.88,-9.53674e-08,-9.53674e-08,-5.96046e-08
1.92,-7.15256e-08,-1.43051e-07,-4.76837e-08
1.96,-9.53674e-08,-1.19209e-07,-3.57628e-08
2.0,-7.15256e-08,-1.19209e-07,-4.76837e-08
2.04,-1.3113e-07,-9.53674e-08,-5.96046e-08
2.08,-1.07288e-07,-1.43051e-07,-5.96046e-08
2.12,-8.34465e-08,-8.34465e-08,-5.96046e-08
2.16,-1.07288e-07,-1.43051e-07,-1.19209e-07
2.2,-1.07288e-07,-1.19209e-07,-1.19209e-08
2.24,-1.3113e-07,-1.3113e-07,-4.76837e-08
2.28,-9.53674e-08,-2.38419e-08,-1.07288e-07
2.32,-3.57628e-08,-1.43051e-07,-5.96046e-08
2.36,-4.76837e-08,-1.3113e-07,0.0
2.4,-1.54972e-07,-1.3113e-07,-1.19209e-08
2.44,-8.34465e-08,-1.19209e-07,2.38419e-08
2.48,-1.07288e-07,-1.43051e-07,1.19209e-08
2.52,-4.76837e-08,-8.34465e-08,-1.19209e-08
2.56,-3.57628e-08,-1.19209e-07,-3.57628e-08
2.6,-2.38419e-08,-8.34465e-08,-8.34465e-08
2.64,-3.57628e-08,-8.34465e-08,-2.38419e-08
2.68,-9.53674e-08,-8.34465e-08,-7.15256e-08
2.72,-1.07288e-07,-1.19209e-08,-3.57628e-08
2.76,-7.15256e-08,-9.53674e-08,-8.34465e-08
2.8,-4.76837e-08,-9.53674e-08,-5.96046e-08
2.84,-7.15256e-08,-9.53674e-08,-4.76837e-08
2.88,-1.07288e-07,-7.15256e-08,-1.19209e-08
2.92,-7.15256e-08,-5.96046e-08,-3.57628e-08
2.96,-7.15256e-08,-3.57628e-08,-3.57628e-08
3.0,-7.15256e-08,-9.53674e-08,-4.76837e-08
3.04,-5.96046e-08,-2.38419e-08,-1.07288e-07
3.08,-8.34465e-08,-7.15256e-08,-2.38419e-08
3.12,-1.66893e-07,-4.76837e-08,-3.57628e-08
3.16,-1.07288e-07,-4.76837e-08,-2.38419e-08
3.2,-4.76837e-08,-4.76837e-08,-2.38419e-08
3.24,-5.96046e-08,-7.15256e-08,-5.96046e-08
3.28,-5.96046e-08,-7.15256e-08,3.57628e-08
3.32,-9.53674e-08,-4.76837e-08,-1.19209e-08
3.36,-9.53674e-08,-1.19209e-07,-5.96046e-08
3.4,-1.3113e-07,-9.53674e-08,-7.15256e-08
3.44,-1.3113e-07,-1.19209e-07,-1.07288e-07
3.48,-4.76837e-08,-5.96046e-08,-5.96046e-08
3.52,-8.34465e-08,-9.53674e-08,-2.38419e-08
3.56,-8.34465e-08,-4.76837e-08,3.57628e-08
3.6,-1.43051e-07,-9.53674e-08,-2.38419e-08
3.64,-3.57628e-08,-5.96046e-08,-1.19209e-08
3.68,-7.15256e-08,0.0,-8.34465e-08
3.72,-5.96046e-08,-4.76837e-08,-1.07288e-07
3.76,0.0,-1.07288e-07,-1.07288e-07
3.8,-9.53674e-08,-4.76837e-08,-9.53674e-08
3.84,-4.76837e-08,-8.34465e-08,-2.38419e-08
3.88,-4.76837e-08,-8.34465e-08,-1.54972e-07
3.92,-4.76837e-08,-1.07288e-07,-2.38419e-08
3.96,-7.15256e-08,-7.15256e-08,-3.57628e-08
4.0,-4.76837e-08,-7.15256e-08,-9.53674e-08
4.04,2.38419e-08,-3.57628e-08,-3.57628e-08
4.08,-3.57628e-08,-5.96046e-08,-4.76837e-08
4.12,-7.15256e-08,1.19209e-08,-1.19209e-08
4.16,-1.19209e-08,-5.96046e-08,-2.38419e-08
4.2,-8.34465e-08,-5.96046e-08,-1.07288e-07
4.24,-1.19209e-07,-4.76837e-08,-5.96046e-08
4.28,-8.34465e-08,-5.96046e-08,-4.76837e-08
4.32,-4.76837e-08,-9.53674e-08,-4.76837e-08
4.36,-3.57628e-08,-2.38419e-08,3.57628e-08
4.4,-7.15256e-08,-5.96046e-08,-3.57628e-08
4.44,-5.96046e-08,-5.96046e-08,-1.19209e-08
4.48,-1.19209e-07,-3.57628e-08,-3.57628e-08
4.52,-7.15256e-08,-1.19209e-08,-3.57628e-08
4.56,-7.15256e-08,-1.19209e-08,2.38419e-08
4.6,-2.38419e-08,-5.96046e-08,3.57628e-08
4.64,-2.38419e-08,-5.96046e-08,4.76837e-08
4.68,-8.34465e-08,-2.38419e-08,-4.76837e-08
4.72,-9.53674e-08,-2.38419e-08,-1.19209e-08
4.76,-1.07288e-07,-2.38419e-08,-5.96046e-08
4.8,-8.34465e-08,-2.38419e-08,-2.38419e-08
4.84,-1.19209e-07,-3.57628e-08,-5.96046e-08
4.88,-1.19209e-07,-3.57628e-08,-1.19209e-08
4.92,-1.54972e-07,-2.38419e-08,0.0
4.96,-9.53674e-08,-4.76837e-08,1.19209e-08
5.0,-1.07288e-07,-3.57628e-08,3.57628e-08
5.04,-1.07288e-07,-3.57628e-08,0.0
5.08,-4.76837e-08,-1.19209e-08,-1.19209e-08
5.12,-7.15256e-08,-2.38419e-08,1.19209e-08
5.16,-1.19209e-07,0.0,0.0
5.2,-1.07288e-07,-2.38419e-08,0.0
5.24,-5.96046e-08,-3.57628e-08,1.19209e-08
5.28,-9.53674e-08,-1.19209e-08,3.57628e-08
5.32,-1.90735e-07,-5.96046e-08,4.76837e-08
5.36,-1.3113e-07,-2.38419e-08,-4.76837e-08
5.4,-5.96046e-08,-2.38419e-08,-2.38419e-08
5.44,-8.34465e-08,-2.38419e-08,1.19209e-08
5.48,-1.3113e-07,-3.57628e-08,1.19209e-08
5.52,-9.53674e-08,-3.57628e-08,-2.38419e-08
5.56,-1.19209e-07,-7.15256e-08,1.19209e-08
5.6,-8.34465e-08,-1.3113e-07,2.38419e-08
5.64,-1.3113e-07,-9.53674e-08,1.19209e-08
5.68,-8.34465e-08,-5.96046e-08,-7.15256e-08
5.72,-1.78814e-07,-7.15256e-08,-8.34465e-08
5.76,-1.54972e-07,-7.15256e-08,-7.15256e-08
5.8,-9.53674e-08,-4.76837e-08,-1.19209e-08
5.84,-1.3113e-07,-7.15256e-08,-1.19209e-08
5.88,-1.19209e-07,-1.19209e-07,3.57628e-08
5.92,-1.54972e-07,-2.38419e-08,-2.38419e-08
5.96,-1.54972e-07,-2.38419e-08,-8.34465e-08
6.0,-1.43051e-07,-3.57628e-08,-7.15256e-08
6.04,-1.78814e-07,-5.96046e-08,0.0
6.08,-1.54972e-07,-4.76837e-08,-9.53674e-08
6.12,-1.19209e-07,-8.34465e-08,-5.96046e-08
6.16,-9.53674e-08,-5.96046e-08,1.19209e-08
6.2,-9.53674e-08,-4.76837e-08,-2.38419e-08
6.24,-1.43051e-07,-4.76837e-08,3.57628e-08
6.28,-9.53674e-08,-5.96046e-08,2.38419e-08
6.32,-9.53674e-08,-5.96046e-08,-3.57628e-08
6.36,-1.07288e-07,-8.34465e-08,-1.19209e-08
6.4,-8.34465e-08,-8.34465e-08,2.38419e-08
6.44,-1.43051e-07,-7.15256e-08,3.57628e-08
6.48,-9.53674e-08,-3.57628e-08,-4.76837e-08
6.52,-9.53674e-08,-2.38419e-08,-7.15256e-08
6.56,-1.07288e-07,-4.76837e-08,2.38419e-08
6.6,-1.19209e-07,-1.19209e-08,1.19209e-08
6.64,-1.3113e-07,-5.96046e-08,0.0
6.68,-9.53674e-08,-7.15256e-08,4.76837e-08
6.72,-1.3113e-07,-5.96046e-08,1.19209e-08
6.76,-4.76837e-08,-2.38419e-08,-4.76837e-08
6.8,-9.53674e-08,-7.15256e-08,4.76837e-08
6.84,-1.3113e-07,-4.76837e-08,-2.38419e-08
6.88,-1.43051e-07,-2.38419e-08,7.15256e-08
6.92,-1.66893e-07,-1.19209e-08,-4.76837e-08
6.96,-1.90735e-07,-4.76837e-08,1.19209e-08
7.0,-1.78814e-07,-8.34465e-08,0.0
7.04,-8.34465e-08,-8.34465e-08,4.76837e-08
7.08,-9.53674e-08,-5.96046e-08,-3.57628e-08
