Time,Estabilidade,Positivo,Negativo
0.0,-4.76837e-07,-4.64916e-07,-6.31809e-07
0.04,-4.17233e-07,-4.29153e-07,-5.84126e-07
0.08,-3.8147e-07,-3.57628e-07,-5.00679e-07
0.12,-4.41074e-07,-3.93391e-07,-4.88758e-07
0.16,-3.8147e-07,-3.8147e-07,-5.72205e-07
0.2,-3.57628e-07,-3.33786e-07,-4.64916e-07
0.24,-3.8147e-07,-3.21865e-07,-5.96046e-07
0.28,-3.93391e-07,-3.33786e-07,-5.00679e-07
0.32,-4.29153e-07,-3.09944e-07,-6.19888e-07
0.36,-4.52995e-07,-3.21865e-07,-4.88758e-07
0.4,-4.29153e-07,-3.21865e-07,-4.52995e-07
0.44,-4.52995e-07,-3.8147e-07,-4.76837e-07
0.48,-3.8147e-07,-3.69549e-07,-5.48363e-07
0.52,-4.05312e-07,-4.05312e-07,-5.24521e-07
0.56,-4.17233e-07,-3.8147e-07,-4.64916e-07
0.6,-3.8147e-07,-3.21865e-07,-5.126e-07
0.64,-3.8147e-07,-3.21865e-07,-4.52995e-07
0.68,-3.57628e-07,-3.21865e-07,-4.88758e-07
0.72,-2.74181e-07,-3.8147e-07,-4.88758e-07
0.76,-3.21865e-07,-3.93391e-07,-4.52995e-07
0.8,-3.21865e-07,-3.57628e-07,-5.126e-07
0.84,-3.09944e-07,-3.33786e-07,-4.64916e-07
0.88,-3.93391e-07,-3.33786e-07,-4.29153e-07
0.92,-3.8147e-07,-3.45707e-07,-4.64916e-07
0.96,-3.8147e-07,-3.45707e-07,-4.29153e-07
1.0,-3.57628e-07,-2.86102e-07,-4.52995e-07
1.04,-3.45707e-07,-3.21865e-07,-5.00679e-07
1.08,-3.57628e-07,-3.69549e-07,-5.00679e-07
1.12,-3.33786e-07,-3.45707e-07,-4.52995e-07
1.16,-2.98023e-07,-3.33786e-07,-4.64916e-07
1.2,-4.05312e-07,-2.86102e-07,-5.126e-07
1.24,-3.33786e-07,-3.57628e-07,-4.41074e-07
1.28,-3.45707e-07,-3.69549e-07,-3.93391e-07
1.32,-3.69549e-07,-3.33786e-07,-5.00679e-07
1.36,-3.8147e-07,-3.09944e-07,-4.52995e-07
1.4,-3.57628e-07,-3.33786e-07,-4.76837e-07
1.44,-3.45707e-07,-3.21865e-07,-5.00679e-07
1.48,-4.52995e-07,-3.45707e-07,-5.24521e-07
1.52,-4.17233e-07,-3.69549e-07,-4.17233e-07
1.56,-4.05312e-07,-3.8147e-07,-5.48363e-07
1.6,-3.93391e-07,-3.69549e-07,-3.93391e-07
1.64,-3.09944e-07,-3.21865e-07,-5.00679e-07
1.68,-3.93391e-07,-2.98023e-07,-3.8147e-07
1.72,-4.29153e-07,-3.09944e-07,-4.64916e-07
1.76,-3.93391e-07,-3.57628e-07,-4.41074e-07
1.8,-4.29153e-07,-3.33786e-07,-4.76837e-07
1.84,-4.05312e-07,-3.69549e-07,-5.00679e-07
1.88,-3.69549e-07,-3.21865e-07,-5.126e-07
1.92,-3.57628e-07,-3.57628e-07,-5.36442e-07
1.96,-3.8147e-07,-3.33786e-07,-4.17233e-07
2.0,-4.05312e-07,-3.57628e-07,-5.36442e-07
2.04,-3.93391e-07,-4.17233e-07,-4.88758e-07
2.08,-3.93391e-07,-3.8147e-07,-5.126e-07
2.12,-4.05312e-07,-3.33786e-07,-4.88758e-07
2.16,-3.33786e-07,-3.45707e-07,-5.126e-07
2.2,-4.29153e-07,-3.09944e-07,-4.76837e-07
2.24,-4.05312e-07,-3.69549e-07,-5.00679e-07
2.28,-3.69549e-07,-3.09944e-07,-5.126e-07
2.32,-3.57628e-07,-2.86102e-07,-5.126e-07
2.36,-3.69549e-07,-2.98023e-07,-5.126e-07
2.4,-4.05312e-07,-2.86102e-07,-4.64916e-07
2.44,-4.17233e-07,-3.57628e-07,-4.29153e-07
2.48,-4.17233e-07,-2.98023e-07,-4.88758e-07
2.52,-3.93391e-07,-2.86102e-07,-3.45707e-07
2.56,-4.41074e-07,-3.57628e-07,-4.17233e-07
