Time,Estabilidade,Positivo,Negativo
0.0,-3.21865e-07,-2.98023e-07,-3.57628e-07
0.04,-3.93391e-07,-2.38419e-07,-3.33786e-07
0.08,-3.57628e-07,-2.5034e-07,-2.86102e-07
0.12,-3.09944e-07,-2.26498e-07,-2.38419e-07
0.16,-3.09944e-07,-2.02656e-07,-2.26498e-07
0.2,-3.33786e-07,-2.26498e-07,-2.5034e-07
0.24,-3.21865e-07,-2.38419e-07,-2.6226e-07
0.28,-3.21865e-07,-2.14577e-07,-2.86102e-07
0.32,-3.57628e-07,-2.5034e-07,-2.14577e-07
0.36,-3.09944e-07,-1.90735e-07,-2.26498e-07
0.4,-2.6226e-07,-2.02656e-07,-2.5034e-07
0.44,-2.6226e-07,-2.02656e-07,-2.26498e-07
0.48,-2.74181e-07,-1.90735e-07,-2.38419e-07
0.52,-3.09944e-07,-1.54972e-07,-2.5034e-07
0.56,-2.98023e-07,-1.90735e-07,-2.38419e-07
0.6,-2.74181e-07,-1.78814e-07,-2.74181e-07
0.64,-2.38419e-07,-1.66893e-07,-1.78814e-07
0.68,-2.38419e-07,-1.78814e-07,-2.14577e-07
0.72,-2.02656e-07,-1.54972e-07,-2.38419e-07
0.76,-2.26498e-07,-1.78814e-07,-2.26498e-07
0.8,-2.26498e-07,-1.90735e-07,-2.14577e-07
0.84,-2.26498e-07,-2.14577e-07,-2.5034e-07
0.88,-2.5034e-07,-2.14577e-07,-2.5034e-07
0.92,-2.98023e-07,-1.90735e-07,-1.90735e-07
0.96,-3.09944e-07,-1.66893e-07,-2.02656e-07
1.0,-2.6226e-07,-1.90735e-07,-1.78814e-07
1.04,-2.26498e-07,-2.02656e-07,-1.66893e-07
1.08,-2.26498e-07,-1.90735e-07,-2.5034e-07
1.12,-2.74181e-07,-2.5034e-07,-2.5034e-07
1.16,-2.6226e-07,-2.02656e-07,-1.78814e-07
1.2,-2.74181e-07,-1.19209e-07,-2.38419e-07
1.24,-3.09944e-07,-1.54972e-07,-2.38419e-07
1.28,-3.21865e-07,-1.66893e-07,-2.26498e-07
1.32,-3.09944e-07,-2.26498e-07,-2.26498e-07
1.36,-2.98023e-07,-1.90735e-07,-2.02656e-07
1.4,-3.33786e-07,-1.54972e-07,-1.90735e-07
1.44,-3.21865e-07,-1.54972e-07,-1.90735e-07
1.48,-3.57628e-07,-1.19209e-07,-2.26498e-07
1.52,-3.45707e-07,-9.53674e-08,-2.6226e-07
1.56,-2.98023e-07,-1.3113e-07,-2.26498e-07
1.6,-3.33786e-07,-1.66893e-07,-2.74181e-07
1.64,-2.86102e-07,-1.19209e-07,-2.5034e-07
1.68,-2.74181e-07,-1.54972e-07,-2.86102e-07
1.72,-2.98023e-07,-1.43051e-07,-2.26498e-07
1.76,-3.09944e-07,-1.54972e-07,-2.38419e-07
1.8,-2.5034e-07,-2.26498e-07,-2.6226e-07
1.84,-2.86102e-07,-1.43051e-07,-2.6226e-07
1.88,-2.86102e-07,-1.19209e-07,-2.38419e-07
1.92,-3.45707e-07,-9.53674e-08,-2.5034e-07
1.96,-2.86102e-07,-1.66893e-07,-2.74181e-07
2.0,-2.98023e-07,-2.14577e-07,-2.74181e-07
2.04,-3.09944e-07,-1.43051e-07,-2.14577e-07
2.08,-2.86102e-07,-1.66893e-07,-2.26498e-07
