Time,Estabilidade,Positivo,Negativo
0.0,-4.41074e-07,-2.02656e-07,-2.02656e-07
0.04,-4.17233e-07,-2.14577e-07,-1.90735e-07
0.08,-4.05312e-07,-2.02656e-07,-1.07288e-07
0.12,-4.29153e-07,-1.78814e-07,-2.02656e-07
0.16,-4.52995e-07,-1.78814e-07,-1.54972e-07
0.2,-4.05312e-07,-1.66893e-07,-1.3113e-07
0.24,-3.8147e-07,-1.07288e-07,-1.66893e-07
0.28,-4.41074e-07,-1.54972e-07,-1.07288e-07
0.32,-4.29153e-07,-1.19209e-07,-1.19209e-07
0.36,-3.93391e-07,-1.3113e-07,-1.43051e-07
0.4,-3.57628e-07,-1.07288e-07,-1.07288e-07
0.44,-3.57628e-07,-1.07288e-07,-1.43051e-07
0.48,-3.57628e-07,-1.19209e-07,-1.54972e-07
0.52,-3.33786e-07,-8.34465e-08,-1.3113e-07
0.56,-3.8147e-07,-8.34465e-08,-2.02656e-07
0.6,-3.57628e-07,-1.19209e-07,-2.14577e-07
0.64,-3.93391e-07,-8.34465e-08,-1.43051e-07
0.68,-3.33786e-07,-8.34465e-08,-8.34465e-08
0.72,-3.8147e-07,-1.07288e-07,-1.54972e-07
0.76,-3.8147e-07,-1.3113e-07,-2.02656e-07
0.8,-4.05312e-07,-1.07288e-07,-1.66893e-07
0.84,-4.05312e-07,-8.34465e-08,-2.02656e-07
0.88,-3.8147e-07,-1.54972e-07,-1.54972e-07
0.92,-3.69549e-07,-1.3113e-07,-1.54972e-07
0.96,-4.05312e-07,-7.15256e-08,-1.54972e-07
1.0,-3.69549e-07,-4.76837e-08,-1.3113e-07
1.04,-3.93391e-07,-2.38419e-08,-1.43051e-07
1.08,-4.05312e-07,-3.57628e-08,-1.43051e-07
1.12,-3.93391e-07,-7.15256e-08,-1.54972e-07
1.16,-3.93391e-07,-9.53674e-08,-1.43051e-07
1.2,-3.33786e-07,-2.38419e-08,-1.43051e-07
1.24,-3.93391e-07,0.0,-1.3113e-07
1.28,-3.69549e-07,-1.19209e-08,-1.3113e-07
