Time,Estabilidade,Positivo,Negativo
0.0,-1.54972e-07,-2.86102e-07,-4.05312e-07
0.04,-1.3113e-07,-3.45707e-07,-2.98023e-07
0.08,-1.07288e-07,-2.38419e-07,-2.98023e-07
0.12,-5.96046e-08,-3.21865e-07,-3.09944e-07
0.16,-1.66893e-07,-2.5034e-07,-3.33786e-07
0.2,-1.3113e-07,-1.90735e-07,-2.14577e-07
0.24,-7.15256e-08,-2.5034e-07,-2.86102e-07
0.28,-3.57628e-08,-1.43051e-07,-2.02656e-07
0.32,-1.19209e-07,-2.6226e-07,-2.02656e-07
0.36,-9.53674e-08,-2.38419e-07,-2.74181e-07
0.4,-8.34465e-08,-2.14577e-07,-2.74181e-07
0.44,-1.19209e-07,-2.02656e-07,-2.14577e-07
0.48,-3.57628e-08,-2.02656e-07,-1.66893e-07
0.52,4.76837e-08,-2.74181e-07,-1.43051e-07
0.56,-5.96046e-08,-1.54972e-07,-1.66893e-07
0.6,-5.96046e-08,-5.96046e-08,-2.38419e-07
0.64,-4.76837e-08,-1.43051e-07,-2.14577e-07
0.68,-5.96046e-08,-1.54972e-07,-2.02656e-07
0.72,-4.76837e-08,-2.02656e-07,-2.6226e-07
0.76,-1.07288e-07,-1.3113e-07,-1.07288e-07
0.8,-8.34465e-08,-1.19209e-07,-2.26498e-07
0.84,-7.15256e-08,-1.90735e-07,-2.14577e-07
0.88,1.19209e-08,-1.3113e-07,-2.38419e-07
0.92,-1.07288e-07,-1.78814e-07,-1.54972e-07
0.96,-3.57628e-08,-1.43051e-07,-5.96046e-08
1.0,-1.54972e-07,-1.54972e-07,-1.54972e-07
1.04,3.57628e-08,-1.3113e-07,-2.02656e-07
1.08,-1.19209e-08,-8.34465e-08,-1.78814e-07
1.12,-1.19209e-08,-2.26498e-07,-9.53674e-08
1.16,-3.57628e-08,-1.3113e-07,-2.14577e-07
1.2,4.76837e-08,-2.02656e-07,-1.78814e-07
1.24,-7.15256e-08,-1.43051e-07,-2.38419e-07
1.28,1.19209e-08,-2.38419e-07,-1.90735e-07
1.32,-4.76837e-08,-1.90735e-07,-2.14577e-07
1.36,2.38419e-08,-1.90735e-07,-1.78814e-07
1.4,-1.07288e-07,-2.38419e-07,-1.3113e-07
1.44,-9.53674e-08,-1.43051e-07,-1.3113e-07
1.48,7.15256e-08,-1.78814e-07,-7.15256e-08
1.52,-5.96046e-08,-1.43051e-07,-2.02656e-07
1.56,-7.15256e-08,-2.02656e-07,-1.78814e-07
1.6,0.0,-3.09944e-07,-2.02656e-07
1.64,-5.96046e-08,-1.54972e-07,-1.90735e-07
1.68,4.76837e-08,-1.19209e-07,-1.78814e-07
1.72,-3.57628e-08,-1.19209e-08,-1.90735e-07
1.76,-9.53674e-08,-2.6226e-07,-1.54972e-07
1.8,-4.76837e-08,-2.38419e-07,-1.54972e-07
1.84,-4.76837e-08,-1.3113e-07,-1.78814e-07
1.88,-4.76837e-08,-2.14577e-07,-1.3113e-07
1.92,-1.78814e-07,-9.53674e-08,-2.5034e-07
1.96,-8.34465e-08,-1.66893e-07,-2.02656e-07
2.0,-4.76837e-08,-1.66893e-07,-1.66893e-07
2.04,-7.15256e-08,-2.14577e-07,-2.6226e-07
2.08,4.76837e-08,-1.78814e-07,-2.02656e-07
2.12,-9.53674e-08,-1.3113e-07,-2.38419e-07
2.16,-8.34465e-08,-7.15256e-08,-1.78814e-07
2.2,-9.53674e-08,-1.19209e-07,-2.5034e-07
2.24,-3.57628e-08,-2.14577e-07,-1.07288e-07
2.28,-1.19209e-08,-1.3113e-07,-2.14577e-07
2.32,-8.34465e-08,-1.90735e-07,-1.43051e-07
2.36,-7.15256e-08,-1.43051e-07,-2.14577e-07
2.4,-4.76837e-08,-1.3113e-07,-1.43051e-07
2.44,-1.43051e-07,-2.02656e-07,-1.54972e-07
2.48,-2.38419e-08,-1.78814e-07,-2.74181e-07
2.52,-7.15256e-08,-2.02656e-07,-2.5034e-07
2.56,-1.43051e-07,-2.14577e-07,-1.90735e-07
2.6,-7.15256e-08,-9.53674e-08,-2.38419e-07
2.64,-1.07288e-07,-2.6226e-07,-1.78814e-07
2.68,-8.34465e-08,-1.66893e-07,-1.78814e-07
2.72,-4.76837e-08,-2.02656e-07,-2.14577e-07
2.76,-9.53674e-08,-5.96046e-08,-1.78814e-07
2.8,0.0,-1.19209e-07,-1.90735e-07
2.84,-8.34465e-08,-8.34465e-08,-2.38419e-07
2.88,-5.96046e-08,-4.76837e-08,-2.14577e-07
2.92,-4.76837e-08,-2.38419e-07,-2.6226e-07
2.96,-2.38419e-08,-1.54972e-07,-1.90735e-07
3.0,-9.53674e-08,-1.07288e-07,-2.74181e-07
3.04,-2.38419e-08,-9.53674e-08,-2.02656e-07
3.08,-9.53674e-08,-1.3113e-07,-1.90735e-07
3.12,-1.07288e-07,-1.43051e-07,-2.02656e-07
3.16,-1.07288e-07,-1.19209e-07,-1.78814e-07
3.2,-1.3113e-07,-1.78814e-07,-2.5034e-07
3.24,-1.66893e-07,-7.15256e-08,-1.07288e-07
3.28,-8.34465e-08,-2.5034e-07,-1.43051e-07
3.32,-9.53674e-08,-1.54972e-07,-2.02656e-07
3.36,-1.54972e-07,-9.53674e-08,-1.54972e-07
3.4,-5.96046e-08,-1.19209e-07,-2.14577e-07
3.44,-1.3113e-07,-1.43051e-07,-1.66893e-07
3.48,-1.54972e-07,-1.19209e-07,-1.66893e-07
3.52,-1.3113e-07,-1.19209e-07,-1.78814e-07
3.56,-9.53674e-08,-1.78814e-07,-1.54972e-07
3.6,-1.07288e-07,-2.86102e-07,-1.90735e-07
3.64,-4.76837e-08,-2.14577e-07,-1.3113e-07
3.68,-7.15256e-08,-1.54972e-07,-2.02656e-07
3.72,-7.15256e-08,-2.38419e-07,-1.07288e-07
3.76,-9.53674e-08,-8.34465e-08,-1.66893e-07
3.8,-5.96046e-08,-2.02656e-07,-2.5034e-07
3.84,-1.19209e-07,-2.74181e-07,-2.14577e-07
3.88,-1.07288e-07,-1.66893e-07,-1.78814e-07
3.92,-1.3113e-07,2.38419e-08,-2.02656e-07
3.96,-7.15256e-08,-1.54972e-07,-2.74181e-07
4.0,-1.3113e-07,-8.34465e-08,-2.02656e-07
4.04,-7.15256e-08,-1.3113e-07,-2.38419e-07
4.08,-1.43051e-07,-1.90735e-07,-2.26498e-07
4.12,-8.34465e-08,-1.66893e-07,-2.02656e-07
4.16,-1.07288e-07,-7.15256e-08,-2.02656e-07
4.2,-7.15256e-08,-1.54972e-07,-2.02656e-07
4.24,-2.38419e-08,-9.53674e-08,-2.26498e-07
4.28,-1.07288e-07,-1.90735e-07,-2.26498e-07
4.32,-8.34465e-08,-1.54972e-07,-1.90735e-07
4.36,0.0,-1.19209e-07,-2.5034e-07
4.4,-4.76837e-08,-1.19209e-07,-1.66893e-07
4.44,-1.19209e-08,-1.66893e-07,-2.02656e-07
4.48,-8.34465e-08,-1.07288e-07,-2.5034e-07
4.52,-4.76837e-08,-5.96046e-08,-2.5034e-07
4.56,-1.19209e-08,-1.19209e-07,-2.02656e-07
4.6,-3.57628e-08,-2.38419e-07,-2.5034e-07
4.64,3.57628e-08,-1.43051e-07,-2.5034e-07
4.68,-7.15256e-08,-1.54972e-07,-3.09944e-07
4.72,-7.15256e-08,-4.76837e-08,-2.5034e-07
4.76,-2.38419e-08,-4.76837e-08,-2.86102e-07
4.8,-1.07288e-07,-8.34465e-08,-2.26498e-07
4.84,-9.53674e-08,-1.07288e-07,-2.26498e-07
4.88,-4.76837e-08,-2.14577e-07,-1.54972e-07
4.92,-9.53674e-08,-1.66893e-07,-2.14577e-07
4.96,-4.76837e-08,-1.3113e-07,-1.43051e-07
5.0,-8.34465e-08,-1.90735e-07,-1.90735e-07
5.04,-7.15256e-08,-1.43051e-07,-2.02656e-07
5.08,0.0,-2.14577e-07,-2.6226e-07
5.12,-8.34465e-08,-1.90735e-07,-1.78814e-07
5.16,-8.34465e-08,-9.53674e-08,-1.66893e-07
5.2,-5.96046e-08,-1.54972e-07,-1.66893e-07
5.24,-9.53674e-08,-9.53674e-08,-2.6226e-07
5.28,-1.19209e-08,-1.3113e-07,-1.54972e-07
5.32,-5.96046e-08,-1.3113e-07,-2.26498e-07
5.36,-1.19209e-07,-2.14577e-07,-2.26498e-07
5.4,-3.57628e-08,-1.66893e-07,-1.54972e-07
5.44,-5.96046e-08,-1.90735e-07,-2.26498e-07
5.48,-4.76837e-08,-1.19209e-07,-2.86102e-07
5.52,-4.76837e-08,-1.3113e-07,-2.14577e-07
5.56,0.0,-1.07288e-07,-1.78814e-07
5.6,-4.76837e-08,-8.34465e-08,-2.14577e-07
5.64,0.0,-1.90735e-07,-1.66893e-07
5.68,-4.76837e-08,-1.3113e-07,-2.5034e-07
5.72,-9.53674e-08,-1.19209e-07,-2.14577e-07
5.76,-1.07288e-07,-1.19209e-07,-1.54972e-07
5.8,-4.76837e-08,-2.02656e-07,-2.14577e-07
5.84,-5.96046e-08,-2.26498e-07,-2.02656e-07
5.88,-3.57628e-08,-1.66893e-07,-2.14577e-07
5.92,-8.34465e-08,-1.78814e-07,-1.66893e-07
5.96,-8.34465e-08,-1.07288e-07,-2.02656e-07
6.0,2.38419e-08,-1.07288e-07,-2.14577e-07
6.04,-7.15256e-08,1.19209e-08,-1.90735e-07
6.08,0.0,-1.43051e-07,-1.90735e-07
6.12,-9.53674e-08,-1.43051e-07,-1.54972e-07
6.16,-8.34465e-08,-2.02656e-07,-1.78814e-07
6.2,-1.3113e-07,-5.96046e-08,-1.90735e-07
6.24,-1.54972e-07,-1.19209e-07,-1.90735e-07
6.28,-1.54972e-07,-2.02656e-07,-1.90735e-07
6.32,-7.15256e-08,-9.53674e-08,-1.78814e-07
6.36,-1.19209e-07,-1.43051e-07,-2.02656e-07
6.4,-1.19209e-07,-2.5034e-07,-1.66893e-07
6.44,-1.43051e-07,-4.76837e-08,-2.02656e-07
