V,IDS 150,IDS 151,IDS 152
-0.6,9.493757e-05,0.0001013707,9.488453e-05
-0.58,9.549853e-05,0.0001013607,9.53835e-05
-0.56,9.543043e-05,0.000101155,9.53641e-05
-0.54,9.52831e-05,0.0001009217,9.525163e-05
-0.52,9.509257e-05,0.000100675,9.51016e-05
-0.5,9.487453e-05,0.0001004223,9.493473e-05
-0.48,9.464507e-05,0.0001001583,9.47509e-05
-0.46,9.44049e-05,9.989257e-05,9.45667e-05
-0.44,9.416203e-05,9.962073e-05,9.437073e-05
-0.42,9.39175e-05,9.935553e-05,9.416907e-05
-0.4,9.36715e-05,9.907963e-05,9.397023e-05
-0.38,9.34224e-05,9.880573e-05,9.377027e-05
-0.36,9.317713e-05,9.85258e-05,9.357103e-05
-0.34,9.293297e-05,9.824513e-05,9.33689e-05
-0.32,9.26888e-05,9.79694e-05,9.316813e-05
-0.3,9.244207e-05,9.769183e-05,9.29654e-05
-0.28,9.220747e-05,9.741227e-05,9.27661e-05
-0.26,9.196517e-05,9.71299e-05,9.256933e-05
-0.24,9.17342e-05,9.685553e-05,9.23817e-05
-0.22,9.150317e-05,9.657497e-05,9.218703e-05
-0.2,9.127653e-05,9.62964e-05,9.20001e-05
-0.18,9.105623e-05,9.601857e-05,9.18147e-05
-0.16,9.084987e-05,9.574293e-05,9.16347e-05
-0.14,9.06442e-05,9.546777e-05,9.14616e-05
-0.12,9.04341e-05,9.519983e-05,9.129353e-05
-0.1,9.023733e-05,9.493757e-05,9.11301e-05
-0.08,9.005913e-05,9.467553e-05,9.09738e-05
-0.06,8.988167e-05,9.44181e-05,9.082217e-05
-0.04,8.97114e-05,9.41597e-05,9.06805e-05
-0.02,8.95557e-05,9.391527e-05,9.05437e-05
0.0,8.940717e-05,9.367343e-05,9.040923e-05
0.02,8.926553e-05,9.342983e-05,9.029607e-05
0.04,8.914537e-05,9.319927e-05,9.01844e-05
0.06,8.90334e-05,9.296523e-05,9.008157e-05
0.08,8.893577e-05,9.273833e-05,8.998983e-05
0.1,8.884157e-05,9.25151e-05,8.990013e-05
0.12,8.875837e-05,9.22975e-05,8.98187e-05
0.14,8.86904e-05,9.208953e-05,8.97412e-05
0.16,8.86032e-05,9.186633e-05,8.965703e-05
0.18,8.85521e-05,9.164377e-05,8.95726e-05
0.2,8.85025e-05,9.14598e-05,8.951023e-05
0.22,8.84633e-05,9.127987e-05,8.945243e-05
0.24,8.842627e-05,9.11061e-05,8.939253e-05
0.26,8.8396e-05,9.093247e-05,8.933543e-05
0.28,8.836927e-05,9.076647e-05,8.927957e-05
0.3,8.834203e-05,9.0604e-05,8.922797e-05
0.32,8.832273e-05,9.04511e-05,8.917273e-05
0.34,8.831233e-05,9.030473e-05,8.911363e-05
0.36,8.829897e-05,9.016147e-05,8.90646e-05
0.38,8.829297e-05,9.00261e-05,8.902303e-05
0.4,8.829783e-05,8.990143e-05,8.8982e-05
0.42,8.83037e-05,8.977913e-05,8.894607e-05
0.44,8.831533e-05,8.966827e-05,8.8914e-05
0.46,8.83299e-05,8.956087e-05,8.88802e-05
0.48,8.83493e-05,8.94594e-05,8.88581e-05
0.5,8.83754e-05,8.936293e-05,8.883053e-05
0.52,8.840643e-05,8.928273e-05,8.880847e-05
0.54,8.844207e-05,8.920227e-05,8.878053e-05
0.56,8.847703e-05,8.913453e-05,8.876277e-05
0.58,8.85132e-05,8.907283e-05,8.874967e-05
0.6,8.855057e-05,8.901977e-05,8.873767e-05
-0.6,9.43012e-05,9.85562e-05,9.438143e-05
-0.58,9.53418e-05,9.970753e-05,9.537963e-05
-0.56,9.546907e-05,9.983463e-05,9.55406e-05
-0.54,9.541247e-05,9.976873e-05,9.55165e-05
-0.52,9.52773e-05,9.9625e-05,9.54164e-05
-0.5,9.510087e-05,9.944253e-05,9.52721e-05
-0.48,9.489767e-05,9.923893e-05,9.510517e-05
-0.46,9.46803e-05,9.90077e-05,9.492137e-05
