V,IDS 150,IDS 151,IDS 152
-0.6,9.194297e-05,9.79615e-05,9.226703e-05
-0.58,9.255757e-05,9.822047e-05,9.277727e-05
-0.56,9.256463e-05,9.81281e-05,9.278827e-05
-0.54,9.247293e-05,9.798137e-05,9.271963e-05
-0.52,9.232533e-05,9.77976e-05,9.260397e-05
-0.5,9.21501e-05,9.759167e-05,9.245687e-05
-0.48,9.195513e-05,9.736847e-05,9.229223e-05
-0.46,9.17433e-05,9.71373e-05,9.21184e-05
-0.44,9.151633e-05,9.689133e-05,9.192977e-05
-0.42,9.128583e-05,9.66425e-05,9.173717e-05
-0.4,9.104943e-05,9.638563e-05,9.15321e-05
-0.38,9.0807e-05,9.612523e-05,9.132547e-05
-0.36,9.05561e-05,9.585173e-05,9.111767e-05
-0.34,9.030763e-05,9.557767e-05,9.09038e-05
-0.32,9.00551e-05,9.530393e-05,9.06881e-05
-0.3,8.98035e-05,9.502543e-05,9.047183e-05
-0.28,8.954773e-05,9.474977e-05,9.024917e-05
-0.26,8.92942e-05,9.447023e-05,9.003393e-05
-0.24,8.903913e-05,9.41858e-05,8.98158e-05
-0.22,8.87925e-05,9.389333e-05,8.960163e-05
-0.2,8.85445e-05,9.360713e-05,8.938713e-05
-0.18,8.829913e-05,9.332013e-05,8.91782e-05
-0.16,8.805993e-05,9.302833e-05,8.897553e-05
-0.14,8.78306e-05,9.273437e-05,8.877313e-05
-0.12,8.760473e-05,9.24433e-05,8.856827e-05
-0.1,8.738367e-05,9.2148e-05,8.837613e-05
-0.08,8.716903e-05,9.18568e-05,8.81873e-05
-0.06,8.696903e-05,9.156367e-05,8.80153e-05
-0.04,8.678083e-05,9.12758e-05,8.784427e-05
-0.02,8.659757e-05,9.098767e-05,8.768027e-05
0.0,8.643107e-05,9.07022e-05,8.75313e-05
0.02,8.628023e-05,9.041647e-05,8.738523e-05
0.04,8.614273e-05,9.014343e-05,8.725497e-05
0.06,8.602223e-05,8.987663e-05,8.713063e-05
0.08,8.591317e-05,8.961533e-05,8.701823e-05
0.1,8.58219e-05,8.936557e-05,8.69161e-05
0.12,8.57428e-05,8.911857e-05,8.68249e-05
0.14,8.567617e-05,8.887927e-05,8.674153e-05
0.16,8.562377e-05,8.86493e-05,8.666783e-05
0.18,8.556723e-05,8.838043e-05,8.65895e-05
0.2,8.55231e-05,8.817557e-05,8.651377e-05
0.22,8.55056e-05,8.79851e-05,8.64664e-05
0.24,8.549867e-05,8.779737e-05,8.642263e-05
0.26,8.54894e-05,8.762007e-05,8.63815e-05
0.28,8.549467e-05,8.745873e-05,8.634587e-05
0.3,8.549887e-05,8.73056e-05,8.63116e-05
0.32,8.55103e-05,8.71619e-05,8.628033e-05
0.34,8.5525e-05,8.70285e-05,8.625847e-05
0.36,8.555527e-05,8.690323e-05,8.62413e-05
0.38,8.559133e-05,8.678453e-05,8.622363e-05
0.4,8.562983e-05,8.667837e-05,8.62092e-05
0.42,8.56768e-05,8.658433e-05,8.620183e-05
0.44,8.573103e-05,8.650233e-05,8.620007e-05
0.46,8.579237e-05,8.6434e-05,8.62003e-05
0.48,8.586393e-05,8.637437e-05,8.620477e-05
0.5,8.593723e-05,8.631877e-05,8.621483e-05
0.52,8.601533e-05,8.6275e-05,8.622933e-05
0.54,8.610337e-05,8.624927e-05,8.625423e-05
0.56,8.619767e-05,8.622763e-05,8.628037e-05
0.58,8.629923e-05,8.6222e-05,8.631617e-05
0.6,8.640073e-05,8.622333e-05,8.63566e-05
-0.6,9.068357e-05,9.500883e-05,9.113637e-05
-0.58,9.159073e-05,9.61949e-05,9.20002e-05
-0.56,9.180513e-05,9.64591e-05,9.222193e-05
-0.54,9.18349e-05,9.65075e-05,9.227643e-05
-0.52,9.177763e-05,9.646313e-05,9.224223e-05
-0.5,9.169077e-05,9.63571e-05,9.215733e-05
-0.48,9.154157e-05,9.62129e-05,9.204027e-05
-0.46,9.137053e-05,9.60392e-05,9.18963e-05
-0.44,9.11793e-05,9.584823e-05,9.173933e-05
-0.42,9.09829e-05,9.563493e-05,9.15729e-05
-0.4,9.077023e-05,9.541037e-05,9.139137e-05
-0.38,9.055077e-05,9.517753e-05,9.120113e-05
-0.36,9.032193e-05,9.49375e-05,9.100313e-05
-0.34,9.009e-05,9.469303e-05,9.08039e-05
-0.32,8.98586e-05,9.44382e-05,9.059737e-05
-0.3,8.96186e-05,9.4182e-05,9.039773e-05
-0.28,8.93781e-05,9.392687e-05,9.018367e-05
-0.26,8.914083e-05,9.366743e-05,8.997457e-05
-0.24,8.891297e-05,9.33988e-05,8.977053e-05
-0.22,8.868083e-05,9.313e-05,8.956327e-05
-0.2,8.844707e-05,9.28588e-05,8.93608e-05
-0.18,8.82188e-05,9.259327e-05,8.915663e-05
-0.16,8.799063e-05,9.231507e-05,8.89519e-05
-0.14,8.776447e-05,9.20383e-05,8.875387e-05
-0.12,8.754813e-05,9.176243e-05,8.85566e-05
-0.1,8.733903e-05,9.148863e-05,8.836157e-05
-0.08,8.713393e-05,9.120987e-05,8.816853e-05
-0.06,8.69375e-05,9.094253e-05,8.798123e-05
-0.04,8.6747e-05,9.067327e-05,8.780167e-05
-0.02,8.657543e-05,9.04034e-05,8.763017e-05
0.0,8.641083e-05,9.013787e-05,8.746523e-05
0.02,8.625337e-05,8.987127e-05,8.730943e-05
0.04,8.61074e-05,8.9614e-05,8.71585e-05
0.06,8.597997e-05,8.936187e-05,8.70147e-05
0.08,8.58629e-05,8.911893e-05,8.68806e-05
0.1,8.576317e-05,8.887563e-05,8.674837e-05
0.12,8.56698e-05,8.864213e-05,8.662867e-05
0.14,8.55913e-05,8.841937e-05,8.652177e-05
0.16,8.552407e-05,8.820533e-05,8.64217e-05
0.18,8.546553e-05,8.799317e-05,8.633023e-05
0.2,8.54178e-05,8.77997e-05,8.62502e-05
0.22,8.53881e-05,8.761047e-05,8.617473e-05
0.24,8.536087e-05,8.743547e-05,8.610707e-05
0.26,8.53388e-05,8.726867e-05,8.60475e-05
