Time,Estabilidade,Positivo,Negativo
0.0,9.2876e-05,9.15647e-05,9.40204e-05
0.04,9.2864e-05,9.15289e-05,9.40204e-05
0.08,9.28402e-05,9.15766e-05,9.40323e-05
0.12,9.28879e-05,9.15885e-05,9.39846e-05
0.16,9.29236e-05,9.16123e-05,9.40323e-05
0.2,9.29236e-05,9.16481e-05,9.40204e-05
0.24,9.28998e-05,9.16481e-05,9.39727e-05
0.28,9.29117e-05,9.16243e-05,9.40323e-05
0.32,9.29117e-05,9.166e-05,9.40561e-05
0.36,9.28879e-05,9.16362e-05,9.40919e-05
0.4,9.29236e-05,9.166e-05,9.40561e-05
0.44,9.2876e-05,9.16243e-05,9.41038e-05
0.48,9.28879e-05,9.16243e-05,9.40919e-05
0.52,9.28998e-05,9.16839e-05,9.408e-05
0.56,9.29117e-05,9.17077e-05,9.41038e-05
0.6,9.28998e-05,9.17077e-05,9.41157e-05
0.64,9.28998e-05,9.17435e-05,9.40561e-05
0.68,9.28879e-05,9.17196e-05,9.41038e-05
0.72,9.29356e-05,9.17077e-05,9.40442e-05
0.76,9.29594e-05,9.17315e-05,9.40442e-05
0.8,9.29356e-05,9.17077e-05,9.41038e-05
0.84,9.29713e-05,9.17077e-05,9.41396e-05
0.88,9.29236e-05,9.17673e-05,9.41634e-05
0.92,9.29713e-05,9.17077e-05,9.41515e-05
0.96,9.29594e-05,9.17673e-05,9.41277e-05
1.0,9.29475e-05,9.17554e-05,9.41038e-05
1.04,9.29594e-05,9.17912e-05,9.41038e-05
1.08,9.30071e-05,9.17435e-05,9.40681e-05
1.12,9.29832e-05,9.17196e-05,9.41277e-05
1.16,9.29952e-05,9.17435e-05,9.41277e-05
1.2,9.29832e-05,9.17435e-05,9.41634e-05
1.24,9.29356e-05,9.16839e-05,9.41634e-05
1.28,9.29356e-05,9.16839e-05,9.41515e-05
1.32,9.28998e-05,9.17435e-05,9.41634e-05
1.36,9.29594e-05,9.17077e-05,9.41515e-05
1.4,9.29594e-05,9.17435e-05,9.41753e-05
1.44,9.30071e-05,9.17315e-05,9.41753e-05
1.48,9.29832e-05,9.17196e-05,9.4223e-05
1.52,9.29832e-05,9.17792e-05,9.42111e-05
1.56,9.3019e-05,9.17315e-05,9.41515e-05
1.6,9.30309e-05,9.17315e-05,9.41873e-05
1.64,9.30429e-05,9.17792e-05,9.41753e-05
1.68,9.29713e-05,9.18269e-05,9.41992e-05
1.72,9.29832e-05,9.17792e-05,9.41992e-05
1.76,9.29356e-05,9.17912e-05,9.41873e-05
1.8,9.29952e-05,9.17673e-05,9.42111e-05
1.84,9.29832e-05,9.18031e-05,9.4223e-05
1.88,9.29594e-05,9.17435e-05,9.41873e-05
1.92,9.29356e-05,9.1815e-05,9.42469e-05
1.96,9.29594e-05,9.18508e-05,9.41753e-05
2.0,9.3019e-05,9.18508e-05,9.42111e-05
2.04,9.29713e-05,9.18031e-05,9.42588e-05
2.08,9.29594e-05,9.17554e-05,9.41992e-05
2.12,9.29356e-05,9.17673e-05,9.42469e-05
2.16,9.29713e-05,9.17792e-05,9.4223e-05
2.2,9.29117e-05,9.17673e-05,9.43184e-05
2.24,9.29356e-05,9.17673e-05,9.42707e-05
2.28,9.29832e-05,9.18031e-05,9.42469e-05
2.32,9.30071e-05,9.17792e-05,9.42826e-05
2.36,9.3019e-05,9.18031e-05,9.42349e-05
2.4,9.29952e-05,9.18031e-05,9.42111e-05
2.44,9.30071e-05,9.18627e-05,9.42945e-05
2.48,9.30309e-05,9.18508e-05,9.42588e-05
2.52,9.30429e-05,9.17912e-05,9.42707e-05
2.56,9.29356e-05,9.1815e-05,9.42349e-05
2.6,9.29475e-05,9.18627e-05,9.41873e-05
2.64,9.28998e-05,9.18388e-05,9.42349e-05
2.68,9.29594e-05,9.18269e-05,9.42588e-05
2.72,9.29475e-05,9.18269e-05,9.42588e-05
2.76,9.29356e-05,9.18508e-05,9.42588e-05
2.8,9.29356e-05,9.18627e-05,9.41992e-05
