Time,Estabilidade,Positivo,Negativo
0.0,8.91805e-05,8.8203e-05,9.00626e-05
0.04,8.91209e-05,8.82626e-05,9.00269e-05
0.08,8.91209e-05,8.82149e-05,9.00626e-05
0.12,8.91685e-05,8.82864e-05,9.00388e-05
0.16,8.9252e-05,8.82864e-05,9.00507e-05
0.2,8.92282e-05,8.82268e-05,9.00865e-05
0.24,8.92282e-05,8.82626e-05,9.00865e-05
0.28,8.91924e-05,8.82506e-05,9.00269e-05
0.32,8.91805e-05,8.83341e-05,8.99792e-05
0.36,8.91805e-05,8.82745e-05,9.00745e-05
0.4,8.92282e-05,8.8346e-05,9.00507e-05
0.44,8.91924e-05,8.82745e-05,9.00984e-05
0.48,8.92043e-05,8.83102e-05,9.01222e-05
0.52,8.92401e-05,8.82983e-05,9.01699e-05
0.56,8.92162e-05,8.82983e-05,9.01461e-05
0.6,8.92043e-05,8.82745e-05,9.00984e-05
0.64,8.92162e-05,8.82626e-05,9.00984e-05
0.68,8.92401e-05,8.8346e-05,9.00865e-05
0.72,8.92282e-05,8.8346e-05,9.00984e-05
0.76,8.9252e-05,8.8346e-05,9.01103e-05
0.8,8.91924e-05,8.8346e-05,9.00865e-05
0.84,8.92282e-05,8.83698e-05,9.01341e-05
0.88,8.92282e-05,8.83102e-05,9.01341e-05
0.92,8.92282e-05,8.83579e-05,9.00865e-05
0.96,8.9252e-05,8.83698e-05,9.01341e-05
1.0,8.92162e-05,8.83341e-05,9.0158e-05
1.04,8.92639e-05,8.8346e-05,9.00984e-05
1.08,8.92758e-05,8.82745e-05,9.01341e-05
1.12,8.92758e-05,8.83222e-05,9.01103e-05
1.16,8.92401e-05,8.83102e-05,9.01699e-05
1.2,8.92401e-05,8.83222e-05,9.01222e-05
1.24,8.92401e-05,8.83579e-05,9.02176e-05
1.28,8.92043e-05,8.83579e-05,9.0158e-05
1.32,8.91924e-05,8.83102e-05,9.01699e-05
1.36,8.92043e-05,8.82864e-05,9.01699e-05
1.4,8.92043e-05,8.8346e-05,9.02057e-05
1.44,8.92401e-05,8.82626e-05,9.02295e-05
1.48,8.92162e-05,8.83341e-05,9.0158e-05
1.52,8.91924e-05,8.83222e-05,9.01818e-05
1.56,8.92162e-05,8.82983e-05,9.0158e-05
1.6,8.92282e-05,8.83102e-05,9.01341e-05
1.64,8.92401e-05,8.83222e-05,9.01103e-05
1.68,8.91805e-05,8.82864e-05,9.0158e-05
1.72,8.91805e-05,8.83102e-05,9.01461e-05
1.76,8.92758e-05,8.83698e-05,9.0158e-05
1.8,8.91924e-05,8.83579e-05,9.02295e-05
1.84,8.9252e-05,8.83698e-05,9.01818e-05
1.88,8.92401e-05,8.83579e-05,9.01818e-05
1.92,8.9252e-05,8.83222e-05,9.0158e-05
1.96,8.92639e-05,8.8346e-05,9.01938e-05
2.0,8.92282e-05,8.8346e-05,9.0158e-05
2.04,8.91924e-05,8.83937e-05,9.02176e-05
2.08,8.92758e-05,8.84175e-05,9.01818e-05
2.12,8.92639e-05,8.8346e-05,9.02295e-05
2.16,8.92997e-05,8.83818e-05,9.02176e-05
2.2,8.92878e-05,8.83818e-05,9.01938e-05
2.24,8.9252e-05,8.8346e-05,9.01818e-05
2.28,8.92639e-05,8.84056e-05,9.01818e-05
2.32,8.9252e-05,8.84056e-05,9.02176e-05
2.36,8.92282e-05,8.83698e-05,9.01699e-05
2.4,8.92878e-05,8.83579e-05,9.01103e-05
2.44,8.92758e-05,8.83579e-05,9.0158e-05
2.48,8.92639e-05,8.84294e-05,9.01938e-05
2.52,8.92043e-05,8.83818e-05,9.02295e-05
2.56,8.91924e-05,8.84771e-05,9.02176e-05
2.6,8.92043e-05,8.84294e-05,9.02057e-05
2.64,8.92401e-05,8.84533e-05,9.01938e-05
2.68,8.91805e-05,8.84294e-05,9.01938e-05
2.72,8.92043e-05,8.84652e-05,9.02176e-05
2.76,8.92043e-05,8.85129e-05,9.02057e-05
2.8,8.92401e-05,8.84652e-05,9.02176e-05
2.84,8.92043e-05,8.85248e-05,9.02534e-05
2.88,8.92401e-05,8.84891e-05,9.02295e-05
2.92,8.92401e-05,8.85129e-05,9.02295e-05
2.96,8.92401e-05,8.84771e-05,9.02414e-05
3.0,8.9252e-05,8.84652e-05,9.02414e-05
3.04,8.9252e-05,8.84652e-05,9.0301e-05
3.08,8.92639e-05,8.84414e-05,9.02653e-05
3.12,8.92401e-05,8.8501e-05,9.02891e-05
3.16,8.91924e-05,8.84771e-05,9.02772e-05
3.2,8.92401e-05,8.84652e-05,9.02772e-05
3.24,8.92043e-05,8.84771e-05,9.02772e-05
3.28,8.91924e-05,8.84771e-05,9.02653e-05
3.32,8.91805e-05,8.84294e-05,9.0301e-05
3.36,8.91805e-05,8.83937e-05,9.03606e-05
3.4,8.91685e-05,8.84414e-05,9.02891e-05
3.44,8.91447e-05,8.8501e-05,9.02772e-05
3.48,8.92043e-05,8.85129e-05,9.02772e-05
3.52,8.92401e-05,8.85248e-05,9.02772e-05
3.56,8.91805e-05,8.84771e-05,9.03487e-05
3.6,8.92043e-05,8.84652e-05,9.02653e-05
3.64,8.91089e-05,8.84771e-05,9.0313e-05
3.68,8.91447e-05,8.84294e-05,9.02772e-05
3.72,8.91685e-05,8.84652e-05,9.02414e-05
3.76,8.91566e-05,8.84652e-05,9.03249e-05
3.8,8.91685e-05,8.84771e-05,9.02534e-05
3.84,8.91924e-05,8.84891e-05,9.02414e-05
3.88,8.91805e-05,8.8501e-05,9.02772e-05
3.92,8.91685e-05,8.8501e-05,9.0313e-05
3.96,8.91685e-05,8.84891e-05,9.02772e-05
4.0,8.91805e-05,8.84771e-05,9.0301e-05
4.04,8.91805e-05,8.8501e-05,9.0313e-05
4.08,8.92043e-05,8.85129e-05,9.03249e-05
4.12,8.91924e-05,8.84652e-05,9.03249e-05
