V,IDS 150,IDS 151,IDS 152
-0.6,6.268323e-05,6.30138e-05,6.26772e-05
-0.58,6.262287e-05,6.282413e-05,6.26138e-05
-0.56,6.261167e-05,6.279943e-05,6.26073e-05
-0.54,6.260203e-05,6.278267e-05,6.260337e-05
-0.52,6.259587e-05,6.27693e-05,6.259647e-05
-0.5,6.258817e-05,6.276083e-05,6.259357e-05
-0.48,6.258287e-05,6.274863e-05,6.25842e-05
-0.46,6.2572e-05,6.27377e-05,6.257773e-05
-0.44,6.256303e-05,6.27293e-05,6.257263e-05
-0.42,6.255883e-05,6.272077e-05,6.257007e-05
-0.4,6.254993e-05,6.271107e-05,6.2563e-05
-0.38,6.25444e-05,6.270107e-05,6.255547e-05
-0.36,6.253187e-05,6.268727e-05,6.255033e-05
-0.34,6.252787e-05,6.267693e-05,6.254723e-05
-0.32,6.25201e-05,6.266763e-05,6.253637e-05
-0.3,6.251587e-05,6.266073e-05,6.253403e-05
-0.28,6.250673e-05,6.26501e-05,6.25338e-05
-0.26,6.25002e-05,6.26447e-05,6.253013e-05
-0.24,6.249897e-05,6.263437e-05,6.252133e-05
-0.22,6.249103e-05,6.262417e-05,6.251883e-05
-0.2,6.24847e-05,6.2611e-05,6.251257e-05
-0.18,6.247853e-05,6.26016e-05,6.25092e-05
-0.16,6.24757e-05,6.259463e-05,6.250277e-05
-0.14,6.2472e-05,6.258733e-05,6.250047e-05
-0.12,6.246877e-05,6.257927e-05,6.24962e-05
-0.1,6.246417e-05,6.257103e-05,6.249217e-05
-0.08,6.246347e-05,6.256013e-05,6.249017e-05
-0.06,6.24561e-05,6.255397e-05,6.248987e-05
-0.04,6.245273e-05,6.254987e-05,6.249003e-05
-0.02,6.24529e-05,6.25421e-05,6.248853e-05
0.0,6.245027e-05,6.253043e-05,6.24863e-05
0.02,6.244487e-05,6.25247e-05,6.24853e-05
0.04,6.244437e-05,6.251843e-05,6.24833e-05
0.06,6.244223e-05,6.25093e-05,6.248093e-05
0.08,6.244053e-05,6.250613e-05,6.248307e-05
0.1,6.243903e-05,6.249983e-05,6.247997e-05
0.12,6.24346e-05,6.249543e-05,6.248297e-05
0.14,6.24347e-05,6.24876e-05,6.248223e-05
0.16,6.243853e-05,6.248347e-05,6.248483e-05
0.18,6.2436e-05,6.24778e-05,6.24857e-05
0.2,6.24341e-05,6.247313e-05,6.248497e-05
0.22,6.243413e-05,6.246927e-05,6.248693e-05
0.24,6.243623e-05,6.246757e-05,6.248353e-05
0.26,6.243383e-05,6.24617e-05,6.24863e-05
0.28,6.243633e-05,6.245523e-05,6.248907e-05
0.3,6.243577e-05,6.24501e-05,6.248793e-05
0.32,6.243543e-05,6.245003e-05,6.248937e-05
0.34,6.243667e-05,6.244627e-05,6.249267e-05
0.36,6.243997e-05,6.244893e-05,6.249073e-05
0.38,6.244597e-05,6.244417e-05,6.249177e-05
0.4,6.244477e-05,6.24435e-05,6.249313e-05
0.42,6.244703e-05,6.244327e-05,6.249257e-05
0.44,6.24487e-05,6.244173e-05,6.249393e-05
0.46,6.244847e-05,6.244397e-05,6.2491e-05
0.48,6.245063e-05,6.244183e-05,6.24931e-05
0.5,6.245407e-05,6.244033e-05,6.24931e-05
0.52,6.245423e-05,6.244217e-05,6.2494e-05
0.54,6.245677e-05,6.243993e-05,6.24943e-05
0.56,6.2457e-05,6.24376e-05,6.249323e-05
0.58,6.245673e-05,6.244167e-05,6.249507e-05
0.6,6.246093e-05,6.24406e-05,6.24986e-05
-0.6,6.273127e-05,6.292737e-05,6.277453e-05
-0.58,6.260967e-05,6.277993e-05,6.262197e-05
-0.56,6.26012e-05,6.276413e-05,6.26108e-05
-0.54,6.259523e-05,6.27485e-05,6.260697e-05
-0.52,6.258583e-05,6.27429e-05,6.260253e-05
-0.5,6.258217e-05,6.27328e-05,6.25926e-05
-0.48,6.257373e-05,6.272387e-05,6.259063e-05
-0.46,6.25649e-05,6.271373e-05,6.258717e-05
-0.44,6.255677e-05,6.270223e-05,6.257803e-05
-0.42,6.254793e-05,6.26927e-05,6.257313e-05
-0.4,6.25443e-05,6.26882e-05,6.25687e-05
-0.38,6.253823e-05,6.267893e-05,6.255933e-05
-0.36,6.253123e-05,6.266897e-05,6.255447e-05
-0.34,6.252283e-05,6.266027e-05,6.25466e-05
-0.32,6.251683e-05,6.265843e-05,6.254127e-05
-0.3,6.25122e-05,6.265087e-05,6.25382e-05
-0.28,6.250923e-05,6.26395e-05,6.25345e-05
-0.26,6.250263e-05,6.26301e-05,6.253277e-05
-0.24,6.249493e-05,6.262217e-05,6.252643e-05
-0.22,6.24892e-05,6.261363e-05,6.25225e-05
-0.2,6.248647e-05,6.260627e-05,6.251693e-05
-0.18,6.248007e-05,6.259567e-05,6.25122e-05
-0.16,6.2474e-05,6.258853e-05,6.250573e-05
-0.14,6.246587e-05,6.257963e-05,6.25043e-05
-0.12,6.24591e-05,6.257243e-05,6.25006e-05
-0.1,6.245423e-05,6.256313e-05,6.24968e-05
-0.08,6.245167e-05,6.25539e-05,6.24932e-05
-0.06,6.244753e-05,6.25488e-05,6.249077e-05
-0.04,6.244843e-05,6.254037e-05,6.248777e-05
-0.02,6.24441e-05,6.253597e-05,6.248297e-05
0.0,6.243827e-05,6.252617e-05,6.247837e-05
0.02,6.24395e-05,6.252147e-05,6.248083e-05
0.04,6.24381e-05,6.251367e-05,6.247907e-05
0.06,6.24377e-05,6.251003e-05,6.247993e-05
0.08,6.24367e-05,6.250373e-05,6.247877e-05
0.1,6.243373e-05,6.24987e-05,6.248067e-05
0.12,6.24345e-05,6.249387e-05,6.248193e-05
0.14,6.243127e-05,6.248917e-05,6.248087e-05
0.16,6.243093e-05,6.248343e-05,6.24849e-05
0.18,6.242973e-05,6.24806e-05,6.248323e-05
0.2,6.24299e-05,6.247737e-05,6.248117e-05
0.22,6.242943e-05,6.247107e-05,6.248283e-05
0.24,6.243077e-05,6.246903e-05,6.24833e-05
0.26,6.242927e-05,6.246547e-05,6.248527e-05
