V,IDS 150,IDS 151,IDS 152
-0.6,1.73327e-05,2.300617e-05,1.665743e-05
-0.58,1.792277e-05,2.32702e-05,1.704787e-05
-0.56,1.785647e-05,2.305087e-05,1.696013e-05
-0.54,1.766003e-05,2.274153e-05,1.677567e-05
-0.52,1.739677e-05,2.238733e-05,1.65436e-05
-0.5,1.70948e-05,2.200597e-05,1.62822e-05
-0.48,1.676947e-05,2.160417e-05,1.600277e-05
-0.46,1.642533e-05,2.119093e-05,1.57185e-05
-0.44,1.607343e-05,2.07707e-05,1.542203e-05
-0.42,1.571663e-05,2.034863e-05,1.51206e-05
-0.4,1.535807e-05,1.992383e-05,1.481957e-05
-0.38,1.499833e-05,1.949877e-05,1.452e-05
-0.36,1.464333e-05,1.90746e-05,1.422253e-05
-0.34,1.429283e-05,1.865373e-05,1.393247e-05
-0.32,1.394847e-05,1.823673e-05,1.36474e-05
-0.3,1.36121e-05,1.782467e-05,1.336747e-05
-0.28,1.328227e-05,1.7417e-05,1.309487e-05
-0.26,1.296317e-05,1.701477e-05,1.283137e-05
-0.24,1.26535e-05,1.66191e-05,1.257573e-05
-0.22,1.23553e-05,1.622833e-05,1.233003e-05
-0.2,1.206853e-05,1.584393e-05,1.209327e-05
-0.18,1.179577e-05,1.546663e-05,1.186683e-05
-0.16,1.153657e-05,1.50981e-05,1.165317e-05
-0.14,1.129213e-05,1.47367e-05,1.145053e-05
-0.12,1.10651e-05,1.43854e-05,1.126107e-05
-0.1,1.085493e-05,1.404123e-05,1.108613e-05
-0.08,1.06637e-05,1.370703e-05,1.092613e-05
-0.06,1.049077e-05,1.338423e-05,1.078113e-05
-0.04,1.033873e-05,1.307383e-05,1.06523e-05
-0.02,1.02064e-05,1.277733e-05,1.05392e-05
0.0,1.009627e-05,1.24934e-05,1.04429e-05
0.02,1.000733e-05,1.222383e-05,1.036453e-05
0.04,9.94147e-06,1.197323e-05,1.030563e-05
0.06,9.897253e-06,1.173943e-05,1.026297e-05
0.08,9.8735e-06,1.152367e-05,1.023657e-05
0.1,9.870683e-06,1.132837e-05,1.022803e-05
0.12,9.886507e-06,1.115157e-05,1.023367e-05
0.14,9.919857e-06,1.09924e-05,1.025383e-05
0.16,9.965213e-06,1.084533e-05,1.027857e-05
0.18,1.00253e-05,1.07201e-05,1.0324e-05
0.2,1.010223e-05,1.062877e-05,1.037967e-05
0.22,1.018867e-05,1.055287e-05,1.044237e-05
0.24,1.028523e-05,1.04996e-05,1.0514e-05
0.26,1.0391e-05,1.046597e-05,1.058883e-05
0.28,1.05034e-05,1.044977e-05,1.0669e-05
0.3,1.062153e-05,1.045127e-05,1.07544e-05
0.32,1.07466e-05,1.04681e-05,1.08432e-05
0.34,1.087513e-05,1.050017e-05,1.093463e-05
0.36,1.100927e-05,1.054693e-05,1.10282e-05
0.38,1.11489e-05,1.06064e-05,1.112547e-05
0.4,1.12904e-05,1.0677e-05,1.122427e-05
0.42,1.143677e-05,1.07591e-05,1.132723e-05
0.44,1.158683e-05,1.085117e-05,1.143147e-05
0.46,1.17409e-05,1.095283e-05,1.153873e-05
0.48,1.189987e-05,1.1063e-05,1.164927e-05
0.5,1.206087e-05,1.11817e-05,1.176253e-05
0.52,1.222837e-05,1.130883e-05,1.187923e-05
0.54,1.23989e-05,1.144247e-05,1.199907e-05
0.56,1.25753e-05,1.158173e-05,1.212123e-05
0.58,1.275487e-05,1.172927e-05,1.22474e-05
0.6,1.29384e-05,1.188323e-05,1.237643e-05
-0.6,1.647627e-05,2.0714e-05,1.643737e-05
-0.58,1.721033e-05,2.177577e-05,1.698027e-05
-0.56,1.73429e-05,2.186587e-05,1.698217e-05
-0.54,1.725697e-05,2.170573e-05,1.68455e-05
-0.52,1.706077e-05,2.14387e-05,1.664107e-05
-0.5,1.680197e-05,2.110803e-05,1.639583e-05
-0.48,1.651087e-05,2.07453e-05,1.61264e-05
-0.46,1.619337e-05,2.035867e-05,1.584193e-05
-0.44,1.586247e-05,1.995963e-05,1.554937e-05
-0.42,1.55242e-05,1.955163e-05,1.525333e-05
-0.4,1.518033e-05,1.914097e-05,1.495543e-05
-0.38,1.483687e-05,1.87275e-05,1.465727e-05
-0.36,1.449517e-05,1.831343e-05,1.436123e-05
-0.34,1.415593e-05,1.79044e-05,1.40704e-05
-0.32,1.381983e-05,1.748993e-05,1.37762e-05
-0.3,1.349377e-05,1.709483e-05,1.350107e-05
-0.28,1.318423e-05,1.670607e-05,1.323373e-05
-0.26,1.28795e-05,1.632047e-05,1.29725e-05
-0.24,1.258193e-05,1.594107e-05,1.271733e-05
-0.22,1.22968e-05,1.55677e-05,1.24721e-05
-0.2,1.20243e-05,1.52026e-05,1.223653e-05
-0.18,1.17636e-05,1.484627e-05,1.200947e-05
-0.16,1.15171e-05,1.449823e-05,1.179603e-05
-0.14,1.12849e-05,1.416217e-05,1.159283e-05
-0.12,1.10681e-05,1.38343e-05,1.140077e-05
-0.1,1.086883e-05,1.351727e-05,1.122137e-05
-0.08,1.068753e-05,1.32104e-05,1.10561e-05
-0.06,1.0523e-05,1.291913e-05,1.09036e-05
-0.04,1.037817e-05,1.263737e-05,1.076507e-05
-0.02,1.02528e-05,1.236897e-05,1.064097e-05
0.0,1.01472e-05,1.21175e-05,1.05314e-05
0.02,1.006027e-05,1.18784e-05,1.043807e-05
0.04,9.994177e-06,1.165597e-05,1.035897e-05
0.06,9.94784e-06,1.145093e-05,1.029603e-05
0.08,9.919137e-06,1.126317e-05,1.024687e-05
0.1,9.909247e-06,1.109177e-05,1.021357e-05
0.12,9.917363e-06,1.094073e-05,1.019493e-05
0.14,9.94104e-06,1.080787e-05,1.018957e-05
0.16,9.97851e-06,1.0695e-05,1.019753e-05
0.18,1.003177e-05,1.060283e-05,1.021817e-05
0.2,1.009647e-05,1.05276e-05,1.025013e-05
0.22,1.017217e-05,1.04715e-05,1.02926e-05
0.24,1.025837e-05,1.043303e-05,1.034393e-05
0.26,1.035367e-05,1.04132e-05,1.04048e-05
0.28,1.0456e-05,1.041013e-05,1.047403e-05
0.3,1.056797e-05,1.04228e-05,1.055007e-05
0.32,1.068683e-05,1.04504e-05,1.063383e-05
0.34,1.081133e-05,1.04918e-05,1.072427e-05
0.36,1.094237e-05,1.054647e-05,1.08203e-05
0.38,1.107883e-05,1.06123e-05,1.092247e-05
0.4,1.122097e-05,1.069143e-05,1.10296e-05
0.42,1.137043e-05,1.077933e-05,1.11427e-05
0.44,1.152457e-05,1.087433e-05,1.125877e-05
0.46,1.168363e-05,1.098383e-05,1.138147e-05
0.48,1.184763e-05,1.109887e-05,1.150763e-05
0.5,1.201627e-05,1.122387e-05,1.163707e-05
0.52,1.218943e-05,1.135603e-05,1.177093e-05
0.54,1.23663e-05,1.149393e-05,1.19073e-05
0.56,1.254817e-05,1.16391e-05,1.20468e-05
0.58,1.273517e-05,1.17897e-05,1.218783e-05
0.6,1.29229e-05,1.19456e-05,1.233193e-05
-0.6,1.643607e-05,2.025323e-05,1.63431e-05
