Time,Estabilidade,Positivo,Negativo
0.0,1.15991e-05,1.12414e-05,1.24216e-05
0.04,1.15514e-05,1.11818e-05,1.23382e-05
0.08,1.15395e-05,1.12057e-05,1.2362e-05
0.12,1.15633e-05,1.11699e-05,1.23978e-05
0.16,1.15514e-05,1.1158e-05,1.2362e-05
0.2,1.15991e-05,1.11938e-05,1.23978e-05
0.24,1.15991e-05,1.12057e-05,1.23739e-05
0.28,1.15991e-05,1.1158e-05,1.23501e-05
0.32,1.16229e-05,1.11818e-05,1.23739e-05
0.36,1.15991e-05,1.11938e-05,1.2362e-05
0.4,1.16229e-05,1.12414e-05,1.23978e-05
0.44,1.15752e-05,1.12295e-05,1.24335e-05
0.48,1.15752e-05,1.12414e-05,1.24455e-05
0.52,1.1611e-05,1.12653e-05,1.24216e-05
0.56,1.15752e-05,1.12534e-05,1.24455e-05
0.6,1.16229e-05,1.12772e-05,1.24335e-05
0.64,1.16229e-05,1.12057e-05,1.24335e-05
0.68,1.16229e-05,1.12057e-05,1.24455e-05
0.72,1.16348e-05,1.12534e-05,1.25051e-05
0.76,1.15991e-05,1.12772e-05,1.24574e-05
0.8,1.1611e-05,1.12176e-05,1.24812e-05
0.84,1.16229e-05,1.12534e-05,1.24574e-05
0.88,1.15991e-05,1.12534e-05,1.24455e-05
0.92,1.15991e-05,1.12414e-05,1.24574e-05
0.96,1.16229e-05,1.12653e-05,1.24693e-05
1.0,1.16348e-05,1.12176e-05,1.24693e-05
1.04,1.1611e-05,1.12534e-05,1.25051e-05
1.08,1.16587e-05,1.12414e-05,1.25051e-05
1.12,1.16229e-05,1.12772e-05,1.24693e-05
1.16,1.16229e-05,1.12891e-05,1.24455e-05
1.2,1.16587e-05,1.12772e-05,1.24097e-05
1.24,1.16467e-05,1.12653e-05,1.24097e-05
1.28,1.16587e-05,1.12891e-05,1.23978e-05
1.32,1.16348e-05,1.1301e-05,1.24335e-05
1.36,1.16348e-05,1.1301e-05,1.24216e-05
1.4,1.16348e-05,1.12891e-05,1.24455e-05
1.44,1.16467e-05,1.12772e-05,1.24574e-05
1.48,1.16706e-05,1.1313e-05,1.24693e-05
1.52,1.16467e-05,1.12653e-05,1.24335e-05
1.56,1.16587e-05,1.12176e-05,1.24455e-05
1.6,1.15752e-05,1.12414e-05,1.24574e-05
1.64,1.15991e-05,1.12414e-05,1.24812e-05
1.68,1.16229e-05,1.12534e-05,1.24812e-05
1.72,1.16587e-05,1.12534e-05,1.24812e-05
1.76,1.16229e-05,1.12772e-05,1.24693e-05
1.8,1.16229e-05,1.12534e-05,1.24574e-05
1.84,1.15752e-05,1.12891e-05,1.24693e-05
1.88,1.1611e-05,1.1301e-05,1.24455e-05
1.92,1.15991e-05,1.12414e-05,1.24574e-05
1.96,1.15752e-05,1.12772e-05,1.24931e-05
2.0,1.15991e-05,1.12772e-05,1.24931e-05
2.04,1.1611e-05,1.12653e-05,1.24931e-05
2.08,1.16229e-05,1.12414e-05,1.24812e-05
2.12,1.16348e-05,1.12534e-05,1.24335e-05
2.16,1.15991e-05,1.13249e-05,1.24216e-05
2.2,1.16229e-05,1.12772e-05,1.24574e-05
2.24,1.15991e-05,1.12891e-05,1.24812e-05
2.28,1.16229e-05,1.12891e-05,1.24574e-05
2.32,1.15991e-05,1.12772e-05,1.24931e-05
2.36,1.16229e-05,1.12772e-05,1.24931e-05
2.4,1.16348e-05,1.12891e-05,1.24931e-05
2.44,1.16229e-05,1.12772e-05,1.24931e-05
2.48,1.15991e-05,1.12772e-05,1.24693e-05
2.52,1.16348e-05,1.12534e-05,1.25051e-05
2.56,1.15871e-05,1.12534e-05,1.25051e-05
2.6,1.1611e-05,1.12891e-05,1.2517e-05
2.64,1.16229e-05,1.12891e-05,1.24931e-05
2.68,1.15991e-05,1.12891e-05,1.24693e-05
2.72,1.1611e-05,1.1301e-05,1.24931e-05
2.76,1.16587e-05,1.12891e-05,1.24574e-05
2.8,1.16467e-05,1.13249e-05,1.24812e-05
2.84,1.16467e-05,1.1313e-05,1.24574e-05
2.88,1.16467e-05,1.12414e-05,1.24455e-05
2.92,1.16706e-05,1.12414e-05,1.25051e-05
2.96,1.16587e-05,1.12891e-05,1.24931e-05
3.0,1.16944e-05,1.12772e-05,1.24931e-05
3.04,1.16467e-05,1.12772e-05,1.2517e-05
3.08,1.15991e-05,1.1301e-05,1.25408e-05
3.12,1.15991e-05,1.13368e-05,1.25051e-05
3.16,1.15991e-05,1.12891e-05,1.2517e-05
3.2,1.15871e-05,1.12534e-05,1.25051e-05
3.24,1.15991e-05,1.12891e-05,1.25408e-05
3.28,1.15871e-05,1.12891e-05,1.25408e-05
3.32,1.15871e-05,1.13368e-05,1.25408e-05
3.36,1.1611e-05,1.12772e-05,1.24693e-05
3.4,1.16229e-05,1.1301e-05,1.24455e-05
3.44,1.16229e-05,1.1313e-05,1.24693e-05
3.48,1.16229e-05,1.13487e-05,1.24812e-05
3.52,1.1611e-05,1.12772e-05,1.24931e-05
3.56,1.15752e-05,1.12653e-05,1.25289e-05
3.6,1.15633e-05,1.12653e-05,1.2517e-05
3.64,1.15514e-05,1.12534e-05,1.24812e-05
3.68,1.15752e-05,1.12891e-05,1.25051e-05
3.72,1.15991e-05,1.12653e-05,1.25289e-05
3.76,1.15871e-05,1.1301e-05,1.24812e-05
3.8,1.15991e-05,1.12653e-05,1.25051e-05
3.84,1.15871e-05,1.12772e-05,1.25051e-05
3.88,1.15871e-05,1.12653e-05,1.25051e-05
3.92,1.16229e-05,1.12653e-05,1.24812e-05
3.96,1.15514e-05,1.12653e-05,1.25051e-05
4.0,1.15156e-05,1.12534e-05,1.24812e-05
4.04,1.15991e-05,1.12414e-05,1.25051e-05
4.08,1.1611e-05,1.1313e-05,1.25408e-05
4.12,1.16348e-05,1.12772e-05,1.2517e-05
4.16,1.15871e-05,1.12891e-05,1.25289e-05
4.2,1.15752e-05,1.12772e-05,1.2517e-05
4.24,1.15991e-05,1.1313e-05,1.25408e-05
4.28,1.15633e-05,1.12891e-05,1.24931e-05
4.32,1.15871e-05,1.12891e-05,1.2517e-05
4.36,1.15752e-05,1.13249e-05,1.24931e-05
4.4,1.15871e-05,1.13368e-05,1.25289e-05
4.44,1.15871e-05,1.13249e-05,1.25051e-05
4.48,1.15991e-05,1.12891e-05,1.25408e-05
4.52,1.15633e-05,1.13487e-05,1.25766e-05
4.56,1.15514e-05,1.1313e-05,1.25408e-05
4.6,1.15395e-05,1.12772e-05,1.25289e-05
4.64,1.15275e-05,1.12772e-05,1.25051e-05
4.68,1.15633e-05,1.1301e-05,1.2517e-05
4.72,1.15633e-05,1.13249e-05,1.2517e-05
4.76,1.15991e-05,1.13487e-05,1.2517e-05
4.8,1.15871e-05,1.13249e-05,1.2517e-05
4.84,1.15752e-05,1.12891e-05,1.25527e-05
4.88,1.15991e-05,1.12653e-05,1.25647e-05
4.92,1.16229e-05,1.1301e-05,1.25527e-05
4.96,1.16229e-05,1.1301e-05,1.25051e-05
5.0,1.15752e-05,1.12534e-05,1.25289e-05
5.04,1.15752e-05,1.12534e-05,1.25289e-05
5.08,1.15752e-05,1.1301e-05,1.25408e-05
5.12,1.15871e-05,1.12772e-05,1.25408e-05
5.16,1.15514e-05,1.12891e-05,1.25647e-05
5.2,1.15871e-05,1.13249e-05,1.25408e-05
5.24,1.15752e-05,1.1301e-05,1.25289e-05
5.28,1.15991e-05,1.1301e-05,1.25289e-05
5.32,1.15633e-05,1.12891e-05,1.25408e-05
5.36,1.1611e-05,1.12891e-05,1.25289e-05
5.4,1.15991e-05,1.12414e-05,1.25527e-05
5.44,1.15752e-05,1.12176e-05,1.25647e-05
5.48,1.15752e-05,1.12653e-05,1.25408e-05
5.52,1.15991e-05,1.12772e-05,1.25408e-05
5.56,1.15752e-05,1.12772e-05,1.25885e-05
5.6,1.15871e-05,1.12891e-05,1.25408e-05
5.64,1.1611e-05,1.12653e-05,1.25289e-05
5.68,1.15871e-05,1.1301e-05,1.25527e-05
5.72,1.15871e-05,1.1301e-05,1.25289e-05
5.76,1.16587e-05,1.12891e-05,1.25527e-05
5.8,1.15991e-05,1.12772e-05,1.25408e-05
5.84,1.15991e-05,1.1313e-05,1.25527e-05
5.88,1.15871e-05,1.12891e-05,1.25647e-05
5.92,1.16229e-05,1.12891e-05,1.25766e-05
5.96,1.1611e-05,1.12891e-05,1.25647e-05
6.0,1.15991e-05,1.12891e-05,1.25408e-05
6.04,1.15991e-05,1.1313e-05,1.25289e-05
6.08,1.15871e-05,1.1313e-05,1.25527e-05
6.12,1.1611e-05,1.1301e-05,1.25885e-05
6.16,1.1611e-05,1.12891e-05,1.25766e-05
6.2,1.15752e-05,1.12414e-05,1.25289e-05
6.24,1.15871e-05,1.12414e-05,1.25289e-05
6.28,1.15752e-05,1.12414e-05,1.25766e-05
6.32,1.15752e-05,1.12653e-05,1.26362e-05
6.36,1.15633e-05,1.1313e-05,1.25647e-05
6.4,1.15395e-05,1.12772e-05,1.26004e-05
6.44,1.15395e-05,1.1301e-05,1.25885e-05
6.48,1.15514e-05,1.1301e-05,1.25766e-05
6.52,1.15633e-05,1.12772e-05,1.25647e-05
6.56,1.15752e-05,1.12891e-05,1.25766e-05
6.6,1.15871e-05,1.1313e-05,1.25289e-05
6.64,1.15991e-05,1.12414e-05,1.25289e-05
6.68,1.15871e-05,1.12891e-05,1.25647e-05
6.72,1.15514e-05,1.12891e-05,1.25766e-05
6.76,1.15633e-05,1.12653e-05,1.25527e-05
6.8,1.15514e-05,1.13487e-05,1.25647e-05
6.84,1.15752e-05,1.13487e-05,1.25647e-05
6.88,1.15514e-05,1.13249e-05,1.25766e-05
6.92,1.15633e-05,1.13249e-05,1.25647e-05
6.96,1.15871e-05,1.13249e-05,1.25647e-05
7.0,1.15752e-05,1.13487e-05,1.25885e-05
7.04,1.15633e-05,1.13487e-05,1.25647e-05
7.08,1.15752e-05,1.13606e-05,1.25766e-05
7.12,1.15275e-05,1.1313e-05,1.25766e-05
7.16,1.15395e-05,1.1313e-05,1.25885e-05
7.2,1.15395e-05,1.13368e-05,1.25647e-05
7.24,1.15514e-05,1.13487e-05,1.25289e-05
7.28,1.15275e-05,1.13726e-05,1.25527e-05
7.32,1.15275e-05,1.13249e-05,1.25527e-05
7.36,1.15275e-05,1.1313e-05,1.25766e-05
