V,IDS 150,IDS 151,IDS 152
-0.6,1.611673e-05,2.240353e-05,1.52721e-05
-0.58,1.708243e-05,2.32407e-05,1.59242e-05
-0.56,1.707903e-05,2.30297e-05,1.58535e-05
-0.54,1.691623e-05,2.271077e-05,1.567673e-05
-0.52,1.668137e-05,2.234913e-05,1.54566e-05
-0.5,1.640947e-05,2.196703e-05,1.521247e-05
-0.48,1.611103e-05,2.157233e-05,1.495677e-05
-0.46,1.580033e-05,2.116947e-05,1.469473e-05
-0.44,1.54818e-05,2.076113e-05,1.443043e-05
-0.42,1.515783e-05,2.03497e-05,1.416737e-05
-0.4,1.48358e-05,1.993973e-05,1.390603e-05
-0.38,1.45141e-05,1.953137e-05,1.36482e-05
-0.36,1.419437e-05,1.912673e-05,1.3396e-05
-0.34,1.38819e-05,1.872607e-05,1.31485e-05
-0.32,1.357257e-05,1.83292e-05,1.290517e-05
-0.3,1.326947e-05,1.793707e-05,1.266897e-05
-0.28,1.297557e-05,1.75527e-05,1.243927e-05
-0.26,1.268897e-05,1.717373e-05,1.22165e-05
-0.24,1.24108e-05,1.679953e-05,1.199977e-05
-0.22,1.214427e-05,1.64325e-05,1.179187e-05
-0.2,1.18851e-05,1.607527e-05,1.159303e-05
-0.18,1.16371e-05,1.571697e-05,1.140213e-05
-0.16,1.13989e-05,1.536767e-05,1.122063e-05
-0.14,1.117407e-05,1.502787e-05,1.104813e-05
-0.12,1.096157e-05,1.469463e-05,1.088523e-05
-0.1,1.07621e-05,1.436803e-05,1.073403e-05
-0.08,1.05765e-05,1.40501e-05,1.059427e-05
-0.06,1.040667e-05,1.37414e-05,1.046613e-05
-0.04,1.025143e-05,1.344153e-05,1.035e-05
-0.02,1.01133e-05,1.315223e-05,1.024517e-05
0.0,9.992567e-06,1.287237e-05,1.015403e-05
0.02,9.89008e-06,1.260793e-05,1.00755e-05
0.04,9.804157e-06,1.235537e-05,1.001173e-05
0.06,9.735327e-06,1.211607e-05,9.959797e-06
0.08,9.6833e-06,1.189057e-05,9.92123e-06
0.1,9.648067e-06,1.168003e-05,9.8929e-06
0.12,9.627743e-06,1.148653e-05,9.87431e-06
0.14,9.621647e-06,1.130737e-05,9.865113e-06
0.16,9.624923e-06,1.112927e-05,9.860393e-06
0.18,9.637083e-06,1.096557e-05,9.859447e-06
0.2,9.669053e-06,1.083897e-05,9.874477e-06
0.22,9.711003e-06,1.072537e-05,9.895423e-06
0.24,9.76148e-06,1.062567e-05,9.919957e-06
0.26,9.818897e-06,1.053963e-05,9.948747e-06
0.28,9.882103e-06,1.04677e-05,9.980453e-06
0.3,9.952913e-06,1.040897e-05,1.001447e-05
0.32,1.002853e-05,1.03629e-05,1.005263e-05
0.34,1.010873e-05,1.032943e-05,1.009323e-05
0.36,1.019527e-05,1.030647e-05,1.013517e-05
0.38,1.028603e-05,1.029483e-05,1.017947e-05
0.4,1.038037e-05,1.029457e-05,1.02256e-05
0.42,1.047983e-05,1.03038e-05,1.027533e-05
0.44,1.058323e-05,1.032147e-05,1.032887e-05
0.46,1.069073e-05,1.034827e-05,1.038287e-05
0.48,1.080263e-05,1.03834e-05,1.04398e-05
0.5,1.0918e-05,1.042713e-05,1.049917e-05
0.52,1.103707e-05,1.047863e-05,1.056133e-05
0.54,1.115983e-05,1.05373e-05,1.06262e-05
0.56,1.12859e-05,1.06035e-05,1.069523e-05
0.58,1.141373e-05,1.067787e-05,1.0767e-05
0.6,1.15421e-05,1.075823e-05,1.08412e-05
-0.6,1.452553e-05,1.868663e-05,1.433827e-05
-0.58,1.600877e-05,2.08495e-05,1.551003e-05
-0.56,1.64171e-05,2.123503e-05,1.580413e-05
-0.54,1.646843e-05,2.121417e-05,1.57596e-05
-0.52,1.636893e-05,2.10344e-05,1.561377e-05
-0.5,1.61857e-05,2.077233e-05,1.541647e-05
-0.48,1.59529e-05,2.04609e-05,1.519113e-05
-0.46,1.569127e-05,2.01214e-05,1.494857e-05
-0.44,1.54085e-05,1.976183e-05,1.46963e-05
-0.42,1.5116e-05,1.939123e-05,1.44414e-05
-0.4,1.481693e-05,1.901657e-05,1.41851e-05
-0.38,1.451293e-05,1.863813e-05,1.393013e-05
-0.36,1.421153e-05,1.82578e-05,1.367783e-05
-0.34,1.391183e-05,1.788237e-05,1.34297e-05
-0.32,1.36107e-05,1.750793e-05,1.31844e-05
-0.3,1.331077e-05,1.712573e-05,1.29339e-05
-0.28,1.3033e-05,1.676217e-05,1.27063e-05
-0.26,1.2759e-05,1.64097e-05,1.24826e-05
-0.24,1.24896e-05,1.606113e-05,1.22646e-05
-0.22,1.222877e-05,1.57162e-05,1.20527e-05
-0.2,1.19778e-05,1.537913e-05,1.184827e-05
-0.18,1.173657e-05,1.50486e-05,1.165237e-05
-0.16,1.15051e-05,1.472433e-05,1.146433e-05
-0.14,1.128523e-05,1.440923e-05,1.128447e-05
-0.12,1.107713e-05,1.410193e-05,1.111333e-05
-0.1,1.08826e-05,1.380333e-05,1.095003e-05
-0.08,1.069967e-05,1.351253e-05,1.079717e-05
-0.06,1.053023e-05,1.323013e-05,1.06544e-05
-0.04,1.03766e-05,1.295877e-05,1.05225e-05
