V,IDS 150,IDS 151,IDS 152
-0.6,9.099437e-06,9.354367e-06,9.69111e-06
-0.58,8.10062e-06,8.411157e-06,8.554133e-06
-0.56,7.814063e-06,8.132783e-06,8.193677e-06
-0.54,7.61426e-06,7.938273e-06,7.939727e-06
-0.52,7.45313e-06,7.782527e-06,7.739227e-06
-0.5,7.315733e-06,7.64825e-06,7.571027e-06
-0.48,7.196e-06,7.531567e-06,7.426257e-06
-0.46,7.087717e-06,7.42468e-06,7.298193e-06
-0.44,6.989023e-06,7.32652e-06,7.182163e-06
-0.42,6.898463e-06,7.236833e-06,7.07728e-06
-0.4,6.814923e-06,7.15245e-06,6.981917e-06
-0.38,6.735917e-06,7.074113e-06,6.894203e-06
-0.36,6.660813e-06,7.000323e-06,6.812883e-06
-0.34,6.592667e-06,6.930073e-06,6.737347e-06
-0.32,6.527497e-06,6.866067e-06,6.668227e-06
-0.3,6.466627e-06,6.804247e-06,6.60425e-06
-0.28,6.40981e-06,6.74667e-06,6.54525e-06
-0.26,6.35802e-06,6.694363e-06,6.490023e-06
-0.24,6.3104e-06,6.645387e-06,6.440307e-06
-0.22,6.268583e-06,6.60064e-06,6.395693e-06
-0.2,6.23057e-06,6.560833e-06,6.3557e-06
-0.18,6.19927e-06,6.526423e-06,6.320577e-06
-0.16,6.17444e-06,6.496947e-06,6.291717e-06
-0.14,6.156657e-06,6.47384e-06,6.266207e-06
-0.12,6.145027e-06,6.456273e-06,6.247407e-06
-0.1,6.140953e-06,6.444797e-06,6.232583e-06
-0.08,6.144193e-06,6.43939e-06,6.22312e-06
-0.06,6.154213e-06,6.440487e-06,6.219343e-06
-0.04,6.17193e-06,6.44654e-06,6.219103e-06
-0.02,6.19664e-06,6.459697e-06,6.224527e-06
0.0,6.226073e-06,6.477987e-06,6.233707e-06
0.02,6.260347e-06,6.501283e-06,6.247267e-06
0.04,6.301007e-06,6.528687e-06,6.264267e-06
0.06,6.345423e-06,6.56051e-06,6.285937e-06
0.08,6.393883e-06,6.597257e-06,6.311897e-06
0.1,6.44363e-06,6.637417e-06,6.339707e-06
0.12,6.4967e-06,6.68143e-06,6.370403e-06
0.14,6.554147e-06,6.728517e-06,6.40685e-06
0.16,6.609997e-06,6.77674e-06,6.44666e-06
0.18,6.666767e-06,6.823567e-06,6.48754e-06
0.2,6.73557e-06,6.88312e-06,6.53952e-06
0.22,6.808113e-06,6.94635e-06,6.598317e-06
0.24,6.88556e-06,7.012413e-06,6.661363e-06
0.26,6.96672e-06,7.08236e-06,6.728513e-06
0.28,7.052043e-06,7.15424e-06,6.801703e-06
0.3,7.142443e-06,7.230377e-06,6.879767e-06
0.32,7.23917e-06,7.310807e-06,6.961273e-06
0.34,7.339317e-06,7.39305e-06,7.047467e-06
0.36,7.443467e-06,7.47924e-06,7.138917e-06
0.38,7.55428e-06,7.56822e-06,7.233533e-06
0.4,7.668183e-06,7.660257e-06,7.331263e-06
0.42,7.78467e-06,7.754693e-06,7.43328e-06
