Time,Estabilidade,Positivo,Negativo
0.0,6.3777e-05,6.39081e-05,6.39319e-05
0.04,6.37054e-05,6.38485e-05,6.38604e-05
0.08,6.36578e-05,6.38843e-05,6.37889e-05
0.12,6.37293e-05,6.38366e-05,6.38366e-05
0.16,6.36458e-05,6.38604e-05,6.38366e-05
0.2,6.36578e-05,6.38366e-05,6.37889e-05
0.24,6.3622e-05,6.38127e-05,6.3777e-05
0.28,6.36697e-05,6.38366e-05,6.38008e-05
0.32,6.36578e-05,6.38604e-05,6.3777e-05
0.36,6.3622e-05,6.38008e-05,6.37889e-05
0.4,6.36458e-05,6.38723e-05,6.38008e-05
0.44,6.36458e-05,6.38485e-05,6.38723e-05
0.48,6.36697e-05,6.38366e-05,6.38485e-05
0.52,6.36816e-05,6.38604e-05,6.3777e-05
0.56,6.3622e-05,6.38723e-05,6.37889e-05
0.6,6.36458e-05,6.38723e-05,6.38247e-05
0.64,6.36578e-05,6.38247e-05,6.3777e-05
0.68,6.36697e-05,6.38962e-05,6.38008e-05
0.72,6.36816e-05,6.3777e-05,6.38008e-05
0.76,6.36935e-05,6.38366e-05,6.38008e-05
0.8,6.36697e-05,6.37651e-05,6.38485e-05
0.84,6.36697e-05,6.38127e-05,6.38127e-05
0.88,6.36458e-05,6.38723e-05,6.38366e-05
0.92,6.37174e-05,6.38843e-05,6.38366e-05
0.96,6.37054e-05,6.38485e-05,6.38127e-05
1.0,6.37054e-05,6.38366e-05,6.38604e-05
1.04,6.36458e-05,6.38843e-05,6.3777e-05
1.08,6.37174e-05,6.38843e-05,6.37531e-05
1.12,6.37293e-05,6.38723e-05,6.38247e-05
1.16,6.37174e-05,6.38366e-05,6.38247e-05
1.2,6.37054e-05,6.38366e-05,6.37889e-05
1.24,6.36816e-05,6.38366e-05,6.38247e-05
1.28,6.37174e-05,6.38247e-05,6.38247e-05
1.32,6.36578e-05,6.38485e-05,6.38366e-05
1.36,6.36578e-05,6.38485e-05,6.38366e-05
1.4,6.36935e-05,6.38962e-05,6.38127e-05
1.44,6.36935e-05,6.38723e-05,6.38485e-05
1.48,6.37531e-05,6.38485e-05,6.38604e-05
1.52,6.37054e-05,6.38366e-05,6.38366e-05
1.56,6.36697e-05,6.38723e-05,6.38008e-05
1.6,6.36935e-05,6.38485e-05,6.38127e-05
1.64,6.37054e-05,6.38366e-05,6.38247e-05
1.68,6.3622e-05,6.38485e-05,6.38008e-05
1.72,6.37054e-05,6.38127e-05,6.37889e-05
1.76,6.36578e-05,6.38485e-05,6.38247e-05
1.8,6.36339e-05,6.38485e-05,6.37889e-05
1.84,6.36458e-05,6.38604e-05,6.37651e-05
1.88,6.36697e-05,6.38366e-05,6.37531e-05
1.92,6.37054e-05,6.38485e-05,6.38127e-05
1.96,6.37174e-05,6.38366e-05,6.38366e-05
2.0,6.37412e-05,6.38723e-05,6.38127e-05
2.04,6.37174e-05,6.38723e-05,6.37889e-05
2.08,6.36697e-05,6.39319e-05,6.3777e-05
2.12,6.37174e-05,6.39081e-05,6.38008e-05
2.16,6.37054e-05,6.38604e-05,6.37651e-05
2.2,6.37054e-05,6.38485e-05,6.37531e-05
2.24,6.37412e-05,6.38723e-05,6.37651e-05
2.28,6.36935e-05,6.38723e-05,6.3777e-05
2.32,6.36816e-05,6.38247e-05,6.37889e-05
2.36,6.37412e-05,6.38604e-05,6.37531e-05
2.4,6.37293e-05,6.38723e-05,6.3777e-05
2.44,6.36935e-05,6.38843e-05,6.37651e-05
2.48,6.37054e-05,6.38723e-05,6.37889e-05
2.52,6.37293e-05,6.38962e-05,6.37889e-05
2.56,6.37174e-05,6.38962e-05,6.38008e-05
2.6,6.37293e-05,6.38127e-05,6.38127e-05
2.64,6.37054e-05,6.38485e-05,6.38127e-05
2.68,6.37293e-05,6.38247e-05,6.38008e-05
2.72,6.37412e-05,6.38604e-05,6.38008e-05
2.76,6.37531e-05,6.38485e-05,6.38247e-05
2.8,6.36816e-05,6.38485e-05,6.38366e-05
2.84,6.36935e-05,6.38127e-05,6.38723e-05
2.88,6.37174e-05,6.38723e-05,6.38366e-05
2.92,6.37174e-05,6.38604e-05,6.38366e-05
2.96,6.37054e-05,6.38485e-05,6.38247e-05
3.0,6.37174e-05,6.38723e-05,6.38247e-05
3.04,6.37412e-05,6.38247e-05,6.37889e-05
3.08,6.36697e-05,6.38843e-05,6.38247e-05
3.12,6.37054e-05,6.38485e-05,6.38604e-05
3.16,6.37293e-05,6.38485e-05,6.38127e-05
3.2,6.37651e-05,6.38962e-05,6.38485e-05
3.24,6.37651e-05,6.39081e-05,6.38485e-05
3.28,6.3777e-05,6.38604e-05,6.38127e-05
3.32,6.38008e-05,6.38843e-05,6.38366e-05
3.36,6.37531e-05,6.39558e-05,6.38843e-05
