V,IDS 150,IDS 151,IDS 152
-0.6,6.361113e-05,6.409593e-05,6.366057e-05
-0.58,6.35773e-05,6.389477e-05,6.359217e-05
-0.56,6.3565e-05,6.38645e-05,6.35825e-05
-0.54,6.35547e-05,6.384233e-05,6.357493e-05
-0.52,6.354583e-05,6.38224e-05,6.35648e-05
-0.5,6.353423e-05,6.38045e-05,6.355563e-05
-0.48,6.35236e-05,6.37897e-05,6.354907e-05
-0.46,6.351123e-05,6.37729e-05,6.353733e-05
-0.44,6.35001e-05,6.375543e-05,6.352957e-05
-0.42,6.34857e-05,6.37412e-05,6.351907e-05
-0.4,6.34753e-05,6.37257e-05,6.350983e-05
-0.38,6.346453e-05,6.370957e-05,6.350113e-05
-0.36,6.34511e-05,6.36999e-05,6.349173e-05
-0.34,6.344197e-05,6.368587e-05,6.348513e-05
-0.32,6.34308e-05,6.367253e-05,6.347867e-05
-0.3,6.342283e-05,6.36581e-05,6.34713e-05
-0.28,6.341303e-05,6.36443e-05,6.346027e-05
-0.26,6.34038e-05,6.363057e-05,6.344877e-05
-0.24,6.339503e-05,6.361933e-05,6.344157e-05
-0.22,6.33857e-05,6.360097e-05,6.34322e-05
-0.2,6.33763e-05,6.35912e-05,6.342603e-05
-0.18,6.33667e-05,6.357907e-05,6.341843e-05
-0.16,6.335967e-05,6.356647e-05,6.341547e-05
-0.14,6.335153e-05,6.3553e-05,6.341153e-05
-0.12,6.334377e-05,6.353887e-05,6.340447e-05
-0.1,6.333647e-05,6.352087e-05,6.339753e-05
-0.08,6.333183e-05,6.35123e-05,6.339033e-05
-0.06,6.332627e-05,6.349863e-05,6.338757e-05
-0.04,6.332027e-05,6.348633e-05,6.338433e-05
-0.02,6.331553e-05,6.347297e-05,6.338237e-05
0.0,6.331297e-05,6.346237e-05,6.337883e-05
0.02,6.331153e-05,6.34539e-05,6.337443e-05
0.04,6.330487e-05,6.344163e-05,6.33703e-05
0.06,6.330387e-05,6.343597e-05,6.336497e-05
0.08,6.330087e-05,6.34276e-05,6.33621e-05
0.1,6.329997e-05,6.342097e-05,6.336357e-05
0.12,6.32986e-05,6.34095e-05,6.3364e-05
0.14,6.329753e-05,6.34e-05,6.33636e-05
0.16,6.329827e-05,6.339393e-05,6.336057e-05
0.18,6.329643e-05,6.338733e-05,6.336407e-05
0.2,6.329597e-05,6.337987e-05,6.336497e-05
0.22,6.329293e-05,6.33716e-05,6.33657e-05
0.24,6.329183e-05,6.33661e-05,6.33618e-05
0.26,6.329377e-05,6.33597e-05,6.336573e-05
0.28,6.329323e-05,6.33545e-05,6.3364e-05
0.3,6.329723e-05,6.335e-05,6.336173e-05
0.32,6.329783e-05,6.33425e-05,6.336293e-05
0.34,6.32973e-05,6.333807e-05,6.336203e-05
0.36,6.32989e-05,6.333163e-05,6.336233e-05
0.38,6.330067e-05,6.33282e-05,6.336217e-05
0.4,6.330343e-05,6.332783e-05,6.336327e-05
0.42,6.330347e-05,6.33253e-05,6.33617e-05
0.44,6.330313e-05,6.332407e-05,6.336373e-05
0.46,6.330337e-05,6.33206e-05,6.3365e-05
0.48,6.330913e-05,6.332097e-05,6.336467e-05
0.5,6.331273e-05,6.33179e-05,6.336783e-05
0.52,6.331277e-05,6.331737e-05,6.336987e-05
0.54,6.331597e-05,6.33171e-05,6.337083e-05
0.56,6.33182e-05,6.331877e-05,6.336813e-05
0.58,6.332003e-05,6.33176e-05,6.33698e-05
