V,IDS 150,IDS 151,IDS 152
-0.6,1.429793e-05,2.022577e-05,1.40067e-05
-0.58,1.33148e-05,1.876033e-05,1.293847e-05
-0.56,1.295283e-05,1.81658e-05,1.256637e-05
-0.54,1.261207e-05,1.762413e-05,1.223e-05
-0.52,1.22803e-05,1.711037e-05,1.191127e-05
-0.5,1.19565e-05,1.6619e-05,1.16062e-05
-0.48,1.164037e-05,1.61465e-05,1.131563e-05
-0.46,1.13316e-05,1.568807e-05,1.102947e-05
-0.44,1.102887e-05,1.5245e-05,1.075533e-05
-0.42,1.073417e-05,1.481913e-05,1.049013e-05
-0.4,1.044953e-05,1.440703e-05,1.02366e-05
-0.38,1.016947e-05,1.400567e-05,9.99095e-06
-0.36,9.90034e-06,1.361743e-05,9.755013e-06
-0.34,9.639317e-06,1.324237e-05,9.528283e-06
-0.32,9.386577e-06,1.287847e-05,9.308017e-06
-0.3,9.144323e-06,1.252563e-05,9.096837e-06
-0.28,8.90897e-06,1.218207e-05,8.89438e-06
-0.26,8.680977e-06,1.184917e-05,8.69791e-06
-0.24,8.4667e-06,1.152897e-05,8.511213e-06
-0.22,8.255387e-06,1.12133e-05,8.333563e-06
-0.2,8.058183e-06,1.091183e-05,8.163223e-06
-0.18,7.87188e-06,1.061813e-05,8.00282e-06
-0.16,7.69398e-06,1.03342e-05,7.850777e-06
-0.14,7.528743e-06,1.005907e-05,7.708363e-06
-0.12,7.375057e-06,9.79341e-06,7.57617e-06
-0.1,7.234633e-06,9.539013e-06,7.453103e-06
-0.08,7.108713e-06,9.29418e-06,7.340907e-06
-0.06,6.996457e-06,9.06e-06,7.240217e-06
-0.04,6.899517e-06,8.83802e-06,7.150763e-06
-0.02,6.816e-06,8.63004e-06,7.074163e-06
0.0,6.749343e-06,8.431393e-06,7.010147e-06
0.02,6.69767e-06,8.246863e-06,6.956617e-06
0.04,6.66254e-06,8.07623e-06,6.91616e-06
0.06,6.642253e-06,7.918983e-06,6.88667e-06
0.08,6.635813e-06,7.776743e-06,6.868253e-06
0.1,6.643717e-06,7.647537e-06,6.859693e-06
0.12,6.662707e-06,7.532723e-06,6.860377e-06
0.14,6.693237e-06,7.433557e-06,6.870093e-06
0.16,6.728913e-06,7.34271e-06,6.886943e-06
0.18,6.774717e-06,7.26359e-06,6.903683e-06
0.2,6.832893e-06,7.208167e-06,6.934207e-06
0.22,6.89712e-06,7.1638e-06,6.973303e-06
0.24,6.967287e-06,7.134287e-06,7.013847e-06
0.26,7.044753e-06,7.116753e-06,7.05934e-06
0.28,7.125417e-06,7.111347e-06,7.108523e-06
0.3,7.210363e-06,7.11682e-06,7.16113e-06
0.32,7.298907e-06,7.13312e-06,7.21796e-06
0.34,7.392587e-06,7.159073e-06,7.278523e-06
0.36,7.49144e-06,7.195153e-06,7.341967e-06
0.38,7.592017e-06,7.240307e-06,7.40835e-06
0.4,7.6969e-06,7.293123e-06,7.48008e-06
0.42,7.80686e-06,7.355767e-06,7.554497e-06
0.44,7.920063e-06,7.426743e-06,7.631437e-06
0.46,8.03801e-06,7.50242e-06,7.712953e-06
0.48,8.159533e-06,7.585367e-06,7.79904e-06
0.5,8.285427e-06,7.6757e-06,7.88837e-06
0.52,8.415583e-06,7.772443e-06,7.982413e-06
0.54,8.550977e-06,7.874163e-06,8.08023e-06
0.56,8.69174e-06,7.98251e-06,8.181647e-06
0.58,8.836067e-06,8.098197e-06,8.286647e-06
0.6,8.9857e-06,8.219307e-06,8.396997e-06
-0.6,1.44808e-05,2.031047e-05,1.451393e-05
-0.58,1.289907e-05,1.69552e-05,1.271517e-05
-0.56,1.257257e-05,1.65403e-05,1.233787e-05
-0.54,1.22645e-05,1.61327e-05,1.201767e-05
-0.52,1.19595e-05,1.572137e-05,1.171507e-05
-0.5,1.16565e-05,1.531133e-05,1.142253e-05
-0.48,1.13589e-05,1.490687e-05,1.113837e-05
-0.46,1.10664e-05,1.45074e-05,1.086603e-05
-0.44,1.078047e-05,1.411737e-05,1.06038e-05
-0.42,1.05026e-05,1.373613e-05,1.034987e-05
-0.4,1.023363e-05,1.336493e-05,1.0106e-05
-0.38,9.970707e-06,1.30038e-05,9.8692e-06
-0.36,9.718057e-06,1.265383e-05,9.643163e-06
-0.34,9.473833e-06,1.231447e-05,9.42471e-06
-0.32,9.23712e-06,1.198723e-05,9.215817e-06
-0.3,9.01478e-06,1.16726e-05,9.015003e-06
-0.28,8.796547e-06,1.136853e-05,8.822507e-06
-0.26,8.586787e-06,1.106873e-05,8.63946e-06
-0.24,8.385067e-06,1.078163e-05,8.46322e-06
-0.22,8.193753e-06,1.050267e-05,8.292977e-06
-0.2,8.01252e-06,1.023363e-05,8.134603e-06
-0.18,7.84091e-06,9.974913e-06,7.98244e-06
-0.16,7.680477e-06,9.724423e-06,7.840547e-06
-0.14,7.529887e-06,9.484693e-06,7.70486e-06
-0.12,7.389147e-06,9.253373e-06,7.580107e-06
-0.1,7.260917e-06,9.032007e-06,7.46335e-06
-0.08,7.144453e-06,8.822973e-06,7.355587e-06
-0.06,7.04149e-06,8.623067e-06,7.256943e-06
-0.04,6.950323e-06,8.43513e-06,7.1672e-06
-0.02,6.87268e-06,8.257597e-06,7.08896e-06
0.0,6.80747e-06,8.093173e-06,7.020483e-06
0.02,6.757177e-06,7.937563e-06,6.96014e-06
0.04,6.718613e-06,7.795683e-06,6.91201e-06
0.06,6.694183e-06,7.664157e-06,6.87193e-06
0.08,6.680927e-06,7.54678e-06,6.841683e-06
0.1,6.68138e-06,7.441993e-06,6.819843e-06
0.12,6.691607e-06,7.34899e-06,6.808697e-06
0.14,6.71185e-06,7.27043e-06,6.803697e-06
0.16,6.741983e-06,7.203653e-06,6.807847e-06
0.18,6.779153e-06,7.150487e-06,6.819307e-06
0.2,6.82658e-06,7.109073e-06,6.83824e-06
0.22,6.882457e-06,7.080067e-06,6.86441e-06
0.24,6.941937e-06,7.062767e-06,6.897323e-06
0.26,7.00921e-06,7.058163e-06,6.934533e-06
0.28,7.082007e-06,7.06317e-06,6.979427e-06
0.3,7.16153e-06,7.079863e-06,7.03117e-06
0.32,7.246297e-06,7.105833e-06,7.087793e-06
0.34,7.33609e-06,7.139707e-06,7.14985e-06
0.36,7.43116e-06,7.184613e-06,7.215793e-06
0.38,7.530153e-06,7.235863e-06,7.288533e-06
0.4,7.63504e-06,7.29694e-06,7.36549e-06
0.42,7.745097e-06,7.365823e-06,7.44647e-06
0.44,7.855427e-06,7.440227e-06,7.532337e-06
0.46,7.97389e-06,7.517673e-06,7.618323e-06
0.48,8.101813e-06,7.60831e-06,7.715447e-06
0.5,8.22206e-06,7.70546e-06,7.816603e-06
0.52,8.3697e-06,7.807677e-06,7.920993e-06
0.54,8.509633e-06,7.915707e-06,8.030787e-06
0.56,8.65435e-06,8.03037e-06,8.145467e-06
0.58,8.803317e-06,8.14943e-06,8.262257e-06
0.6,8.957747e-06,8.27471e-06,8.38246e-06
-0.6,1.445583e-05,1.793847e-05,1.417263e-05
-0.58,1.286377e-05,1.625613e-05,1.2479e-05
-0.56,1.254093e-05,1.587163e-05,1.213777e-05
-0.54,1.223587e-05,1.548997e-05,1.183577e-05
-0.52,1.193163e-05,1.51046e-05,1.154427e-05
-0.5,1.16318e-05,1.47145e-05,1.126173e-05
-0.48,1.13339e-05,1.433023e-05,1.09868e-05
-0.46,1.10458e-05,1.3949e-05,1.072123e-05
-0.44,1.07595e-05,1.35768e-05,1.04633e-05
-0.42,1.048353e-05,1.32129e-05,1.021513e-05
-0.4,1.021467e-05,1.286023e-05,9.975117e-06
-0.38,9.95303e-06,1.251577e-05,9.743987e-06
-0.36,9.702547e-06,1.218203e-05,9.522067e-06
-0.34,9.459933e-06,1.185943e-05,9.30939e-06
-0.32,9.223713e-06,1.154533e-05,9.102977e-06
-0.3,8.998493e-06,1.12436e-05,8.905577e-06
-0.28,8.78406e-06,1.09516e-05,8.716317e-06
-0.26,8.576533e-06,1.067003e-05,8.534793e-06
-0.24,8.380357e-06,1.03972e-05,8.363513e-06
-0.22,8.1906e-06,1.013363e-05,8.199307e-06
-0.2,8.012697e-06,9.88139e-06,8.042447e-06
-0.18,7.843943e-06,9.63994e-06,7.897253e-06
-0.16,7.68563e-06,9.405827e-06,7.759093e-06
-0.14,7.536993e-06,9.18216e-06,7.630123e-06
-0.12,7.401287e-06,8.967007e-06,7.50968e-06
-0.1,7.27585e-06,8.764497e-06,7.396063e-06
-0.08,7.161843e-06,8.573057e-06,7.29301e-06
-0.06,7.057843e-06,8.387713e-06,7.19741e-06
-0.04,6.968933e-06,8.215477e-06,7.11179e-06
-0.02,6.888393e-06,8.054743e-06,7.034673e-06
0.0,6.825127e-06,7.898293e-06,6.965377e-06
0.02,6.773827e-06,7.75968e-06,6.908067e-06
0.04,6.736263e-06,7.632427e-06,6.86069e-06
0.06,6.709297e-06,7.51597e-06,6.822537e-06
0.08,6.6961e-06,7.412233e-06,6.793207e-06
0.1,6.69244e-06,7.321543e-06,6.773393e-06
0.12,6.701743e-06,7.242203e-06,6.76166e-06
0.14,6.71865e-06,7.172523e-06,6.758933e-06
0.16,6.745453e-06,7.118757e-06,6.76287e-06
0.18,6.780313e-06,7.077223e-06,6.77481e-06
0.2,6.82497e-06,7.046823e-06,6.794677e-06
0.22,6.875603e-06,7.027733e-06,6.820653e-06
0.24,6.93422e-06,7.02049e-06,6.853497e-06
0.26,6.999437e-06,7.02505e-06,6.89396e-06
0.28,7.070237e-06,7.03822e-06,6.938563e-06
0.3,7.145777e-06,7.060237e-06,6.989197e-06
0.32,7.227573e-06,7.09264e-06,7.046263e-06
0.34,7.31377e-06,7.131853e-06,7.108053e-06
0.36,7.4074e-06,7.183003e-06,7.175503e-06
0.38,7.5046e-06,7.23941e-06,7.248413e-06
0.4,7.60858e-06,7.303407e-06,7.325933e-06
0.42,7.717243e-06,7.376507e-06,7.408677e-06
0.44,7.830473e-06,7.454523e-06,7.49801e-06
