V,IDS 150,IDS 151,IDS 152
-0.6,2.1787e-05,3.08144e-05,2.113133e-05
-0.58,2.143743e-05,2.981247e-05,2.062407e-05
-0.56,2.103127e-05,2.913723e-05,2.02188e-05
-0.54,2.062723e-05,2.851133e-05,1.98451e-05
-0.52,2.022633e-05,2.7911e-05,1.94875e-05
-0.5,1.98268e-05,2.733203e-05,1.913773e-05
-0.48,1.943303e-05,2.676903e-05,1.880007e-05
-0.46,1.904103e-05,2.62222e-05,1.846723e-05
-0.44,1.865437e-05,2.568807e-05,1.81429e-05
-0.42,1.82723e-05,2.51683e-05,1.782673e-05
-0.4,1.789903e-05,2.465653e-05,1.75161e-05
-0.38,1.75329e-05,2.41551e-05,1.72143e-05
-0.36,1.717373e-05,2.366243e-05,1.691653e-05
-0.34,1.682457e-05,2.3178e-05,1.66285e-05
-0.32,1.648297e-05,2.27009e-05,1.634717e-05
-0.3,1.61511e-05,2.223313e-05,1.607337e-05
-0.28,1.58298e-05,2.177137e-05,1.580777e-05
-0.26,1.551783e-05,2.13173e-05,1.55493e-05
-0.24,1.5218e-05,2.08722e-05,1.530033e-05
-0.22,1.49296e-05,2.043267e-05,1.506003e-05
-0.2,1.465327e-05,2.000193e-05,1.482927e-05
-0.18,1.439023e-05,1.957883e-05,1.460843e-05
-0.16,1.414157e-05,1.91661e-05,1.43988e-05
-0.14,1.390463e-05,1.875797e-05,1.41995e-05
-0.12,1.368697e-05,1.836023e-05,1.401267e-05
-0.1,1.348327e-05,1.79773e-05,1.383763e-05
-0.08,1.329747e-05,1.760873e-05,1.36768e-05
-0.06,1.312957e-05,1.725153e-05,1.352883e-05
-0.04,1.298273e-05,1.69064e-05,1.339537e-05
-0.02,1.285507e-05,1.657737e-05,1.32762e-05
0.0,1.27443e-05,1.626383e-05,1.317527e-05
0.02,1.265723e-05,1.59662e-05,1.30865e-05
0.04,1.258777e-05,1.568613e-05,1.301333e-05
0.06,1.253667e-05,1.54203e-05,1.295397e-05
0.08,1.249817e-05,1.51744e-05,1.29076e-05
0.1,1.247667e-05,1.49435e-05,1.287107e-05
0.12,1.247013e-05,1.47328e-05,1.284533e-05
0.14,1.247547e-05,1.45392e-05,1.282803e-05
0.16,1.248527e-05,1.4345e-05,1.281243e-05
0.18,1.24969e-05,1.41673e-05,1.27977e-05
0.2,1.253483e-05,1.40299e-05,1.280603e-05
0.22,1.25801e-05,1.390673e-05,1.281843e-05
0.24,1.263313e-05,1.364917e-05,1.283527e-05
0.26,1.269153e-05,1.358253e-05,1.28554e-05
0.28,1.27549e-05,1.352417e-05,1.287913e-05
0.3,1.282613e-05,1.347283e-05,1.29065e-05
0.32,1.29037e-05,1.343203e-05,1.29381e-05
0.34,1.298527e-05,1.340603e-05,1.297227e-05
0.36,1.307257e-05,1.338457e-05,1.301063e-05
0.38,1.316563e-05,1.337413e-05,1.305337e-05
0.4,1.326687e-05,1.337287e-05,1.310113e-05
0.42,1.337357e-05,1.33794e-05,1.315167e-05
0.44,1.348547e-05,1.33942e-05,1.32056e-05
0.46,1.360323e-05,1.342037e-05,1.326443e-05
0.48,1.37284e-05,1.345717e-05,1.332727e-05
0.5,1.386087e-05,1.350177e-05,1.33968e-05
0.52,1.40001e-05,1.355307e-05,1.347027e-05
0.54,1.41461e-05,1.361523e-05,1.354907e-05
0.56,1.42972e-05,1.368673e-05,1.363203e-05
0.58,1.445183e-05,1.376803e-05,1.37198e-05
0.6,1.461097e-05,1.385953e-05,1.381363e-05
