Time,Estabilidade,Positivo,Negativo
0.0,8.58307e-06,8.63075e-06,9.56059e-06
0.04,8.57115e-06,8.47578e-06,9.44138e-06
0.08,8.57115e-06,8.51154e-06,9.40561e-06
0.12,8.55923e-06,8.54731e-06,9.4533e-06
0.16,8.55923e-06,8.4877e-06,9.46522e-06
0.2,8.55923e-06,8.53538e-06,9.41753e-06
0.24,8.55923e-06,8.52346e-06,9.47714e-06
0.28,8.60691e-06,8.51154e-06,9.46522e-06
0.32,8.61883e-06,8.46386e-06,9.44138e-06
0.36,8.58307e-06,8.47578e-06,9.42945e-06
0.4,8.55923e-06,8.4877e-06,9.44138e-06
0.44,8.59499e-06,8.45194e-06,9.44138e-06
0.48,8.59499e-06,8.44002e-06,9.44138e-06
0.52,8.63075e-06,8.4281e-06,9.42945e-06
0.56,8.64267e-06,8.46386e-06,9.4533e-06
0.6,8.64267e-06,8.46386e-06,9.44138e-06
0.64,8.63075e-06,8.4877e-06,9.44138e-06
0.68,8.67844e-06,8.44002e-06,9.47714e-06
0.72,8.58307e-06,8.44002e-06,9.44138e-06
0.76,8.60691e-06,8.46386e-06,9.47714e-06
0.8,8.64267e-06,8.45194e-06,9.48906e-06
0.84,8.60691e-06,8.41618e-06,9.42945e-06
0.88,8.64267e-06,8.45194e-06,9.4533e-06
0.92,8.60691e-06,8.4877e-06,9.4533e-06
0.96,8.58307e-06,8.52346e-06,9.41753e-06
1.0,8.59499e-06,8.49962e-06,9.41753e-06
1.04,8.59499e-06,8.47578e-06,9.41753e-06
1.08,8.65459e-06,8.54731e-06,9.40561e-06
1.12,8.67844e-06,8.47578e-06,9.41753e-06
1.16,8.61883e-06,8.45194e-06,9.42945e-06
1.2,8.63075e-06,8.47578e-06,9.42945e-06
1.24,8.59499e-06,8.4877e-06,9.44138e-06
1.28,8.60691e-06,8.47578e-06,9.42945e-06
1.32,8.59499e-06,8.4877e-06,9.40561e-06
1.36,8.59499e-06,8.4877e-06,9.4533e-06
1.4,8.60691e-06,8.45194e-06,9.41753e-06
1.44,8.60691e-06,8.47578e-06,9.4533e-06
1.48,8.60691e-06,8.45194e-06,9.47714e-06
1.52,8.58307e-06,8.4877e-06,9.41753e-06
1.56,8.60691e-06,8.47578e-06,9.4533e-06
1.6,8.58307e-06,8.46386e-06,9.46522e-06
1.64,8.61883e-06,8.47578e-06,9.42945e-06
1.68,8.61883e-06,8.44002e-06,9.4533e-06
1.72,8.61883e-06,8.47578e-06,9.4533e-06
1.76,8.61883e-06,8.4877e-06,9.4533e-06
1.8,8.59499e-06,8.49962e-06,9.46522e-06
1.84,8.63075e-06,8.45194e-06,9.39369e-06
1.88,8.61883e-06,8.4877e-06,9.44138e-06
1.92,8.60691e-06,8.49962e-06,9.4533e-06
1.96,8.63075e-06,8.52346e-06,9.44138e-06
2.0,8.59499e-06,8.4877e-06,9.41753e-06
2.04,8.55923e-06,8.53538e-06,9.4533e-06
2.08,8.55923e-06,8.57115e-06,9.41753e-06
2.12,8.54731e-06,8.54731e-06,9.40561e-06
2.16,8.58307e-06,8.52346e-06,9.46522e-06
2.2,8.60691e-06,8.4877e-06,9.41753e-06
2.24,8.57115e-06,8.49962e-06,9.40561e-06
2.28,8.59499e-06,8.4877e-06,9.42945e-06
2.32,8.60691e-06,8.4877e-06,9.41753e-06
2.36,8.57115e-06,8.46386e-06,9.42945e-06
2.4,8.57115e-06,8.46386e-06,9.42945e-06
2.44,8.63075e-06,8.4877e-06,9.42945e-06
2.48,8.63075e-06,8.51154e-06,9.44138e-06
2.52,8.59499e-06,8.4877e-06,9.42945e-06
2.56,8.60691e-06,8.51154e-06,9.41753e-06
2.6,8.61883e-06,8.52346e-06,9.41753e-06
2.64,8.59499e-06,8.57115e-06,9.39369e-06
2.68,8.61883e-06,8.52346e-06,9.41753e-06
2.72,8.58307e-06,8.52346e-06,9.4533e-06
2.76,8.58307e-06,8.52346e-06,9.36985e-06
2.8,8.58307e-06,8.53538e-06,9.41753e-06
2.84,8.55923e-06,8.4877e-06,9.44138e-06
2.88,8.55923e-06,8.51154e-06,9.41753e-06
2.92,8.59499e-06,8.51154e-06,9.44138e-06
2.96,8.60691e-06,8.53538e-06,9.4533e-06
3.0,8.59499e-06,8.49962e-06,9.40561e-06
3.04,8.60691e-06,8.52346e-06,9.42945e-06
3.08,8.63075e-06,8.53538e-06,9.40561e-06
3.12,8.61883e-06,8.52346e-06,9.40561e-06
3.16,8.57115e-06,8.49962e-06,9.4533e-06
3.2,8.61883e-06,8.52346e-06,9.42945e-06
3.24,8.60691e-06,8.54731e-06,9.4533e-06
3.28,8.59499e-06,8.54731e-06,9.47714e-06
3.32,8.58307e-06,8.57115e-06,9.41753e-06
3.36,8.55923e-06,8.49962e-06,9.39369e-06
3.4,8.57115e-06,8.52346e-06,9.44138e-06
3.44,8.59499e-06,8.52346e-06,9.39369e-06
3.48,8.60691e-06,8.54731e-06,9.41753e-06
3.52,8.59499e-06,8.54731e-06,9.46522e-06
3.56,8.59499e-06,8.52346e-06,9.39369e-06
3.6,8.59499e-06,8.55923e-06,9.44138e-06
3.64,8.59499e-06,8.58307e-06,9.44138e-06
3.68,8.59499e-06,8.53538e-06,9.41753e-06
3.72,8.57115e-06,8.52346e-06,9.41753e-06
3.76,8.60691e-06,8.55923e-06,9.41753e-06
3.8,8.59499e-06,8.57115e-06,9.41753e-06
3.84,8.60691e-06,8.57115e-06,9.46522e-06
3.88,8.63075e-06,8.57115e-06,9.4533e-06
3.92,8.65459e-06,8.54731e-06,9.4533e-06
3.96,8.63075e-06,8.55923e-06,9.48906e-06
4.0,8.63075e-06,8.54731e-06,9.41753e-06
4.04,8.61883e-06,8.54731e-06,9.42945e-06
4.08,8.57115e-06,8.52346e-06,9.44138e-06
4.12,8.59499e-06,8.55923e-06,9.34601e-06
4.16,8.60691e-06,8.52346e-06,9.40561e-06
4.2,8.61883e-06,8.51154e-06,9.44138e-06
4.24,8.63075e-06,8.57115e-06,9.40561e-06
4.28,8.65459e-06,8.52346e-06,9.4533e-06
4.32,8.61883e-06,8.54731e-06,9.4533e-06
4.36,8.65459e-06,8.55923e-06,9.41753e-06
4.4,8.60691e-06,8.54731e-06,9.42945e-06
4.44,8.60691e-06,8.55923e-06,9.44138e-06
4.48,8.66652e-06,8.53538e-06,9.44138e-06
4.52,8.63075e-06,8.54731e-06,9.44138e-06
4.56,8.61883e-06,8.51154e-06,9.42945e-06
4.6,8.60691e-06,8.52346e-06,9.42945e-06
4.64,8.60691e-06,8.52346e-06,9.48906e-06
4.68,8.64267e-06,8.54731e-06,9.44138e-06
4.72,8.60691e-06,8.52346e-06,9.44138e-06
4.76,8.64267e-06,8.51154e-06,9.42945e-06
4.8,8.59499e-06,8.51154e-06,9.42945e-06
4.84,8.64267e-06,8.54731e-06,9.41753e-06
4.88,8.65459e-06,8.57115e-06,9.44138e-06
4.92,8.61883e-06,8.55923e-06,9.36985e-06
4.96,8.60691e-06,8.51154e-06,9.42945e-06
5.0,8.59499e-06,8.55923e-06,9.38177e-06
5.04,8.61883e-06,8.53538e-06,9.39369e-06
5.08,8.61883e-06,8.53538e-06,9.42945e-06
5.12,8.60691e-06,8.54731e-06,9.41753e-06
5.16,8.60691e-06,8.51154e-06,9.39369e-06
5.2,8.61883e-06,8.54731e-06,9.40561e-06
5.24,8.61883e-06,8.54731e-06,9.36985e-06
5.28,8.57115e-06,8.52346e-06,9.39369e-06
5.32,8.61883e-06,8.52346e-06,9.39369e-06
5.36,8.59499e-06,8.49962e-06,9.41753e-06
5.4,8.59499e-06,8.52346e-06,9.4533e-06
5.44,8.59499e-06,8.53538e-06,9.44138e-06
