Time,Estabilidade,Positivo,Negativo
0.0,7.28369e-06,7.35521e-06,7.83205e-06
0.04,7.21216e-06,7.25985e-06,7.71284e-06
0.08,7.236e-06,7.24792e-06,7.72476e-06
0.12,7.25985e-06,7.236e-06,7.76052e-06
0.16,7.20024e-06,7.21216e-06,7.72476e-06
0.2,7.236e-06,7.236e-06,7.72476e-06
0.24,7.22408e-06,7.236e-06,7.7486e-06
0.28,7.18832e-06,7.25985e-06,7.73668e-06
0.32,7.236e-06,7.21216e-06,7.72476e-06
0.36,7.18832e-06,7.21216e-06,7.73668e-06
0.4,7.21216e-06,7.236e-06,7.76052e-06
0.44,7.16448e-06,7.236e-06,7.77245e-06
0.48,7.21216e-06,7.27177e-06,7.79629e-06
0.52,7.22408e-06,7.27177e-06,7.83205e-06
0.56,7.20024e-06,7.27177e-06,7.80821e-06
0.6,7.21216e-06,7.28369e-06,7.80821e-06
0.64,7.21216e-06,7.28369e-06,7.78437e-06
0.68,7.20024e-06,7.30753e-06,7.7486e-06
0.72,7.22408e-06,7.22408e-06,7.76052e-06
0.76,7.21216e-06,7.25985e-06,7.80821e-06
0.8,7.236e-06,7.25985e-06,7.78437e-06
0.84,7.21216e-06,7.27177e-06,7.79629e-06
0.88,7.21216e-06,7.25985e-06,7.83205e-06
0.92,7.236e-06,7.27177e-06,7.84397e-06
0.96,7.21216e-06,7.22408e-06,7.85589e-06
1.0,7.22408e-06,7.27177e-06,7.84397e-06
1.04,7.21216e-06,7.236e-06,7.82013e-06
1.08,7.22408e-06,7.28369e-06,7.84397e-06
1.12,7.21216e-06,7.29561e-06,7.80821e-06
1.16,7.24792e-06,7.27177e-06,7.82013e-06
1.2,7.236e-06,7.25985e-06,7.78437e-06
1.24,7.236e-06,7.27177e-06,7.83205e-06
1.28,7.22408e-06,7.30753e-06,7.79629e-06
1.32,7.1764e-06,7.29561e-06,7.82013e-06
1.36,7.21216e-06,7.30753e-06,7.79629e-06
1.4,7.18832e-06,7.31945e-06,7.79629e-06
1.44,7.21216e-06,7.30753e-06,7.82013e-06
1.48,7.20024e-06,7.33137e-06,7.80821e-06
1.52,7.20024e-06,7.31945e-06,7.77245e-06
1.56,7.21216e-06,7.29561e-06,7.80821e-06
1.6,7.21216e-06,7.28369e-06,7.79629e-06
1.64,7.14064e-06,7.25985e-06,7.80821e-06
1.68,7.18832e-06,7.27177e-06,7.83205e-06
1.72,7.18832e-06,7.27177e-06,7.84397e-06
1.76,7.24792e-06,7.29561e-06,7.83205e-06
1.8,7.18832e-06,7.29561e-06,7.82013e-06
1.84,7.22408e-06,7.29561e-06,7.83205e-06
1.88,7.21216e-06,7.28369e-06,7.79629e-06
1.92,7.22408e-06,7.30753e-06,7.80821e-06
1.96,7.21216e-06,7.30753e-06,7.78437e-06
2.0,7.18832e-06,7.31945e-06,7.73668e-06
2.04,7.236e-06,7.24792e-06,7.84397e-06
2.08,7.236e-06,7.29561e-06,7.80821e-06
2.12,7.21216e-06,7.29561e-06,7.77245e-06
2.16,7.236e-06,7.30753e-06,7.77245e-06
2.2,7.21216e-06,7.25985e-06,7.76052e-06
2.24,7.21216e-06,7.27177e-06,7.77245e-06
2.28,7.22408e-06,7.30753e-06,7.78437e-06
