V,IDS 150,IDS 151,IDS 152
-0.6,1.601157e-05,2.226143e-05,1.492413e-05
-0.58,1.51012e-05,2.076267e-05,1.398833e-05
-0.56,1.468283e-05,2.008167e-05,1.36061e-05
-0.54,1.429067e-05,1.947497e-05,1.32554e-05
-0.52,1.391123e-05,1.890957e-05,1.29222e-05
-0.5,1.354347e-05,1.83728e-05,1.260287e-05
-0.48,1.31823e-05,1.78597e-05,1.22944e-05
-0.46,1.283093e-05,1.736563e-05,1.199797e-05
-0.44,1.248747e-05,1.688943e-05,1.171177e-05
-0.42,1.21539e-05,1.64293e-05,1.143477e-05
-0.4,1.18297e-05,1.598377e-05,1.116693e-05
-0.38,1.151337e-05,1.555143e-05,1.090827e-05
-0.36,1.12047e-05,1.5133e-05,1.065877e-05
-0.34,1.0906e-05,1.472667e-05,1.04187e-05
-0.32,1.06153e-05,1.433247e-05,1.018593e-05
-0.3,1.033603e-05,1.395093e-05,9.962373e-06
-0.28,1.006487e-05,1.357847e-05,9.74653e-06
-0.26,9.803687e-06,1.321667e-05,9.53847e-06
-0.24,9.551733e-06,1.28648e-05,9.338207e-06
-0.22,9.309007e-06,1.252383e-05,9.146977e-06
-0.2,9.077303e-06,1.219213e-05,8.963113e-06
-0.18,8.85679e-06,1.187127e-05,8.787687e-06
-0.16,8.64777e-06,1.15588e-05,8.622507e-06
-0.14,8.450917e-06,1.125417e-05,8.466503e-06
-0.12,8.267413e-06,1.095937e-05,8.31908e-06
-0.1,8.097693e-06,1.067743e-05,8.182137e-06
-0.08,7.942457e-06,1.040433e-05,8.05668e-06
-0.06,7.803137e-06,1.014343e-05,7.94315e-06
-0.04,7.679433e-06,9.894417e-06,7.840933e-06
-0.02,7.571367e-06,9.65691e-06,7.7505e-06
0.0,7.479523e-06,9.430647e-06,7.672703e-06
0.02,7.405067e-06,9.21792e-06,7.60652e-06
0.04,7.347307e-06,9.020203e-06,7.553363e-06
0.06,7.305127e-06,8.836183e-06,7.51129e-06
0.08,7.277193e-06,8.666993e-06,7.47913e-06
0.1,7.26295e-06,8.510657e-06,7.4584e-06
0.12,7.26086e-06,8.369773e-06,7.445957e-06
0.14,7.270927e-06,8.2427e-06,7.4419e-06
0.16,7.286803e-06,8.120097e-06,7.4428e-06
0.18,7.311303e-06,8.023727e-06,7.44846e-06
0.2,7.350447e-06,7.940817e-06,7.46582e-06
0.22,7.395747e-06,7.871393e-06,7.488537e-06
0.24,7.447537e-06,7.81548e-06,7.514693e-06
0.26,7.50474e-06,7.772223e-06,7.546143e-06
0.28,7.567397e-06,7.74011e-06,7.5806e-06
0.3,7.63497e-06,7.72033e-06,7.617047e-06
0.32,7.706363e-06,7.711647e-06,7.65703e-06
0.34,7.782307e-06,7.71256e-06,7.700153e-06
