V,IDS 150,IDS 151,IDS 152
-0.6,6.526013e-05,6.613217e-05,6.530707e-05
-0.58,6.52261e-05,6.594803e-05,6.527223e-05
-0.56,6.52157e-05,6.59089e-05,6.52641e-05
-0.54,6.52001e-05,6.58763e-05,6.52484e-05
-0.52,6.518057e-05,6.584687e-05,6.523363e-05
-0.5,6.515903e-05,6.581327e-05,6.521793e-05
-0.48,6.513567e-05,6.578303e-05,6.519923e-05
-0.46,6.51108e-05,6.57516e-05,6.517913e-05
-0.44,6.508887e-05,6.572543e-05,6.516047e-05
-0.42,6.506573e-05,6.569543e-05,6.51387e-05
-0.4,6.50379e-05,6.5667e-05,6.511747e-05
-0.38,6.501357e-05,6.563623e-05,6.509543e-05
-0.36,6.498883e-05,6.560587e-05,6.507297e-05
-0.34,6.496267e-05,6.557407e-05,6.505127e-05
-0.32,6.49344e-05,6.554417e-05,6.503083e-05
-0.3,6.491103e-05,6.551527e-05,6.501043e-05
-0.28,6.489173e-05,6.548587e-05,6.4992e-05
-0.26,6.487027e-05,6.54536e-05,6.497267e-05
-0.24,6.484597e-05,6.541837e-05,6.495333e-05
-0.22,6.482133e-05,6.538937e-05,6.49337e-05
-0.2,6.480107e-05,6.535757e-05,6.491677e-05
-0.18,6.477973e-05,6.53283e-05,6.4901e-05
-0.16,6.47608e-05,6.530017e-05,6.48885e-05
-0.14,6.474193e-05,6.526833e-05,6.487317e-05
-0.12,6.47249e-05,6.523697e-05,6.486077e-05
-0.1,6.47043e-05,6.520713e-05,6.484207e-05
-0.08,6.468973e-05,6.518153e-05,6.48291e-05
-0.06,6.46761e-05,6.515073e-05,6.48186e-05
-0.04,6.466133e-05,6.51222e-05,6.480563e-05
-0.02,6.465057e-05,6.50946e-05,6.479677e-05
0.0,6.463793e-05,6.507057e-05,6.478513e-05
0.02,6.463003e-05,6.504327e-05,6.47773e-05
0.04,6.462027e-05,6.50189e-05,6.477203e-05
0.06,6.461343e-05,6.499953e-05,6.477043e-05
0.08,6.46059e-05,6.497463e-05,6.4764e-05
0.1,6.460313e-05,6.495027e-05,6.475887e-05
0.12,6.459603e-05,6.492877e-05,6.474877e-05
0.14,6.459037e-05,6.490687e-05,6.474407e-05
0.16,6.458763e-05,6.48837e-05,6.474363e-05
0.18,6.45846e-05,6.486793e-05,6.474287e-05
0.2,6.458723e-05,6.48513e-05,6.473787e-05
0.22,6.458943e-05,6.483547e-05,6.473627e-05
0.24,6.458677e-05,6.48192e-05,6.473463e-05
0.26,6.458863e-05,6.480357e-05,6.473157e-05
0.28,6.459103e-05,6.478643e-05,6.472947e-05
0.3,6.45906e-05,6.477763e-05,6.472567e-05
0.32,6.45881e-05,6.476603e-05,6.472793e-05
0.34,6.459117e-05,6.4754e-05,6.47254e-05
0.36,6.45962e-05,6.474253e-05,6.472223e-05
0.38,6.459473e-05,6.47322e-05,6.472393e-05
0.4,6.459777e-05,6.472437e-05,6.472337e-05
0.42,6.459993e-05,6.471097e-05,6.472063e-05
0.44,6.46061e-05,6.470203e-05,6.471827e-05
0.46,6.461077e-05,6.469633e-05,6.471777e-05
0.48,6.461753e-05,6.469187e-05,6.471853e-05
0.5,6.462397e-05,6.468533e-05,6.472013e-05
0.52,6.46299e-05,6.46787e-05,6.472197e-05
0.54,6.463163e-05,6.46731e-05,6.472553e-05
0.56,6.463857e-05,6.46712e-05,6.472313e-05
0.58,6.464427e-05,6.467127e-05,6.472203e-05
0.6,6.465063e-05,6.46659e-05,6.471953e-05
-0.6,6.5231e-05,6.585533e-05,6.531987e-05
-0.58,6.51574e-05,6.575823e-05,6.521627e-05
-0.56,6.51591e-05,6.575387e-05,6.52174e-05
-0.54,6.51505e-05,6.574177e-05,6.5215e-05
-0.52,6.513813e-05,6.57225e-05,6.52035e-05
-0.5,6.51191e-05,6.570037e-05,6.518987e-05
-0.48,6.509927e-05,6.568e-05,6.5176e-05
-0.46,6.507797e-05,6.565463e-05,6.515873e-05
-0.44,6.505997e-05,6.56276e-05,6.514157e-05
-0.42,6.50377e-05,6.560027e-05,6.51252e-05
-0.4,6.501797e-05,6.557467e-05,6.510387e-05
-0.38,6.499107e-05,6.55474e-05,6.508267e-05
-0.36,6.497087e-05,6.551953e-05,6.50617e-05
-0.34,6.494753e-05,6.54938e-05,6.504427e-05
-0.32,6.49253e-05,6.54678e-05,6.50243e-05
-0.3,6.48997e-05,6.543947e-05,6.500717e-05
-0.28,6.487857e-05,6.541283e-05,6.49895e-05
-0.26,6.486e-05,6.538487e-05,6.49677e-05
-0.24,6.48378e-05,6.535647e-05,6.49493e-05
-0.22,6.48171e-05,6.532673e-05,6.493187e-05
-0.2,6.47967e-05,6.530197e-05,6.491583e-05
-0.18,6.477507e-05,6.52731e-05,6.48978e-05
-0.16,6.476083e-05,6.524547e-05,6.488043e-05
-0.14,6.474173e-05,6.521723e-05,6.486213e-05
-0.12,6.472467e-05,6.519003e-05,6.48466e-05
-0.1,6.470613e-05,6.516123e-05,6.483273e-05
-0.08,6.469097e-05,6.513377e-05,6.481847e-05
-0.06,6.467737e-05,6.510677e-05,6.48059e-05
-0.04,6.46653e-05,6.50802e-05,6.479303e-05
-0.02,6.46526e-05,6.50516e-05,6.47799e-05
0.0,6.464027e-05,6.502983e-05,6.4768e-05
0.02,6.46301e-05,6.500643e-05,6.4762e-05
0.04,6.46193e-05,6.49817e-05,6.475237e-05
0.06,6.461193e-05,6.495737e-05,6.47396e-05
0.08,6.46048e-05,6.493773e-05,6.47349e-05
0.1,6.460013e-05,6.49192e-05,6.472733e-05
0.12,6.459583e-05,6.490073e-05,6.472303e-05
0.14,6.458993e-05,6.488187e-05,6.471983e-05
0.16,6.458557e-05,6.48633e-05,6.47072e-05
0.18,6.45851e-05,6.4846e-05,6.470937e-05
0.2,6.45812e-05,6.483197e-05,6.470437e-05
0.22,6.457837e-05,6.481343e-05,6.47011e-05
0.24,6.45769e-05,6.479967e-05,6.469643e-05
0.26,6.457317e-05,6.478757e-05,6.469147e-05
0.28,6.45735e-05,6.47743e-05,6.469023e-05
0.3,6.45741e-05,6.47654e-05,6.46897e-05
0.32,6.45758e-05,6.475157e-05,6.468613e-05
0.34,6.457467e-05,6.47391e-05,6.468407e-05
0.36,6.457787e-05,6.47324e-05,6.468507e-05
0.38,6.45782e-05,6.472243e-05,6.468323e-05
0.4,6.458293e-05,6.471723e-05,6.468257e-05
0.42,6.458793e-05,6.470727e-05,6.46833e-05
0.44,6.45889e-05,6.46986e-05,6.4686e-05
0.46,6.459643e-05,6.46915e-05,6.46885e-05
0.48,6.460077e-05,6.468867e-05,6.46897e-05
0.5,6.460613e-05,6.468407e-05,6.469377e-05
0.52,6.461133e-05,6.46804e-05,6.4696e-05
0.54,6.461773e-05,6.46808e-05,6.469853e-05
0.56,6.46241e-05,6.467747e-05,6.46988e-05
0.58,6.463063e-05,6.467437e-05,6.470327e-05
0.6,6.46393e-05,6.467043e-05,6.470103e-05
-0.6,6.523797e-05,6.57855e-05,6.531713e-05
-0.58,6.51703e-05,6.57041e-05,6.52251e-05
-0.56,6.517327e-05,6.570623e-05,6.523307e-05
-0.54,6.516573e-05,6.569903e-05,6.522587e-05
-0.52,6.515337e-05,6.568513e-05,6.52182e-05
-0.5,6.513443e-05,6.566647e-05,6.5202e-05
-0.48,6.511783e-05,6.564587e-05,6.518673e-05
-0.46,6.50973e-05,6.562177e-05,6.51683e-05
-0.44,6.507347e-05,6.559173e-05,6.51497e-05
-0.42,6.50534e-05,6.55684e-05,6.51305e-05
-0.4,6.503e-05,6.554157e-05,6.51117e-05
-0.38,6.50073e-05,6.551467e-05,6.50909e-05
-0.36,6.498333e-05,6.548677e-05,6.50702e-05
-0.34,6.49596e-05,6.54613e-05,6.505057e-05
-0.32,6.4939e-05,6.543377e-05,6.503203e-05
-0.3,6.49181e-05,6.540537e-05,6.501333e-05
-0.28,6.489527e-05,6.53784e-05,6.499033e-05
-0.26,6.487483e-05,6.535233e-05,6.497557e-05
-0.24,6.485337e-05,6.53227e-05,6.495223e-05
-0.22,6.48375e-05,6.529283e-05,6.493403e-05
-0.2,6.481833e-05,6.526723e-05,6.491897e-05
-0.18,6.47978e-05,6.523877e-05,6.49014e-05
-0.16,6.477607e-05,6.521397e-05,6.488407e-05
-0.14,6.47574e-05,6.518787e-05,6.4867e-05
-0.12,6.473833e-05,6.51619e-05,6.484763e-05
-0.1,6.4721e-05,6.513797e-05,6.48304e-05
-0.08,6.47071e-05,6.51106e-05,6.481603e-05
-0.06,6.4695e-05,6.508367e-05,6.480127e-05
-0.04,6.467787e-05,6.50582e-05,6.47876e-05
-0.02,6.466327e-05,6.503193e-05,6.47743e-05
0.0,6.46497e-05,6.500687e-05,6.476187e-05
0.02,6.463707e-05,6.498217e-05,6.475297e-05
0.04,6.463317e-05,6.495907e-05,6.474257e-05
0.06,6.46228e-05,6.494057e-05,6.473247e-05
0.08,6.461563e-05,6.492163e-05,6.47271e-05
0.1,6.460793e-05,6.490047e-05,6.471787e-05
0.12,6.45987e-05,6.488433e-05,6.47145e-05
0.14,6.45938e-05,6.486733e-05,6.470837e-05
0.16,6.458803e-05,6.48501e-05,6.470203e-05
0.18,6.45844e-05,6.483873e-05,6.46972e-05
0.2,6.45784e-05,6.482207e-05,6.469307e-05
0.22,6.457767e-05,6.480637e-05,6.469173e-05
0.24,6.457927e-05,6.4795e-05,6.468567e-05
0.26,6.4579e-05,6.478257e-05,6.46828e-05
0.28,6.457743e-05,6.477003e-05,6.467973e-05
0.3,6.457527e-05,6.476103e-05,6.467633e-05
0.32,6.45755e-05,6.475183e-05,6.467363e-05
0.34,6.457533e-05,6.474167e-05,6.467313e-05
0.36,6.457523e-05,6.473167e-05,6.467143e-05
0.38,6.457657e-05,6.4721e-05,6.467107e-05
0.4,6.458243e-05,6.471533e-05,6.467367e-05
0.42,6.4587e-05,6.47097e-05,6.467293e-05
0.44,6.458907e-05,6.470157e-05,6.467273e-05
0.46,6.459433e-05,6.46976e-05,6.467643e-05
0.48,6.460013e-05,6.469293e-05,6.467817e-05
0.5,6.46005e-05,6.468643e-05,6.46803e-05
0.52,6.46087e-05,6.468433e-05,6.46862e-05
0.54,6.461717e-05,6.468177e-05,6.468883e-05
0.56,6.462423e-05,6.46777e-05,6.46942e-05
0.58,6.46311e-05,6.467647e-05,6.469553e-05
0.6,6.4636e-05,6.46765e-05,6.469733e-05
-0.6,6.525103e-05,6.573647e-05,6.532297e-05
-0.58,6.518597e-05,6.567063e-05,6.524067e-05
-0.56,6.51837e-05,6.567237e-05,6.524697e-05
-0.54,6.517787e-05,6.566237e-05,6.5243e-05
-0.52,6.51685e-05,6.56545e-05,6.52336e-05
-0.5,6.515583e-05,6.564187e-05,6.52205e-05
-0.48,6.513617e-05,6.562003e-05,6.520787e-05
-0.46,6.51156e-05,6.559823e-05,6.519127e-05
-0.44,6.509477e-05,6.55731e-05,6.517063e-05
-0.42,6.507263e-05,6.55458e-05,6.515317e-05
-0.4,6.504967e-05,6.551897e-05,6.513163e-05
-0.38,6.502057e-05,6.54918e-05,6.511023e-05
-0.36,6.500227e-05,6.546367e-05,6.50927e-05
-0.34,6.49811e-05,6.54383e-05,6.507347e-05
-0.32,6.495847e-05,6.541227e-05,6.50511e-05
-0.3,6.493227e-05,6.53874e-05,6.502953e-05
-0.28,6.490853e-05,6.535713e-05,6.500903e-05
-0.26,6.48895e-05,6.532937e-05,6.499183e-05
-0.24,6.486753e-05,6.530183e-05,6.497303e-05
-0.22,6.48449e-05,6.52707e-05,6.494927e-05
-0.2,6.482427e-05,6.524337e-05,6.49349e-05
-0.18,6.4802e-05,6.52185e-05,6.49176e-05
-0.16,6.47836e-05,6.519097e-05,6.48997e-05
-0.14,6.476497e-05,6.516537e-05,6.488003e-05
-0.12,6.47465e-05,6.513763e-05,6.486023e-05
-0.1,6.47304e-05,6.511103e-05,6.484567e-05
-0.08,6.47151e-05,6.508607e-05,6.483173e-05
-0.06,6.46986e-05,6.506423e-05,6.48198e-05
-0.04,6.468597e-05,6.503713e-05,6.48079e-05
-0.02,6.467317e-05,6.50141e-05,6.479467e-05
0.0,6.465737e-05,6.49944e-05,6.478133e-05
