Time,Estabilidade,Positivo,Negativo
0.0,4.84228e-05,4.72903e-05,4.85182e-05
0.04,4.84347e-05,4.73022e-05,4.85063e-05
0.08,4.84228e-05,4.73499e-05,4.85897e-05
0.12,4.84705e-05,4.73857e-05,4.85659e-05
0.16,4.84467e-05,4.74334e-05,4.85897e-05
0.2,4.84228e-05,4.73976e-05,4.86732e-05
0.24,4.84705e-05,4.73976e-05,4.86732e-05
0.28,4.84109e-05,4.7493e-05,4.8697e-05
0.32,4.84467e-05,4.75168e-05,4.87208e-05
0.36,4.84824e-05,4.75287e-05,4.87566e-05
0.4,4.85182e-05,4.75287e-05,4.87804e-05
0.44,4.84705e-05,4.75764e-05,4.88162e-05
0.48,4.85301e-05,4.75407e-05,4.88281e-05
0.52,4.85301e-05,4.75645e-05,4.8852e-05
0.56,4.85063e-05,4.75526e-05,4.88997e-05
0.6,4.85063e-05,4.7636e-05,4.89473e-05
0.64,4.85182e-05,4.76003e-05,4.89473e-05
0.68,4.85301e-05,4.75883e-05,4.89593e-05
0.72,4.8542e-05,4.76241e-05,4.89831e-05
0.76,4.85659e-05,4.7648e-05,4.8995e-05
0.8,4.85063e-05,4.76956e-05,4.90308e-05
0.84,4.84943e-05,4.77314e-05,4.90665e-05
0.88,4.84943e-05,4.77195e-05,4.91381e-05
0.92,4.84347e-05,4.76956e-05,4.91619e-05
0.96,4.85301e-05,4.77314e-05,4.91738e-05
1.0,4.84943e-05,4.77314e-05,4.91738e-05
1.04,4.85182e-05,4.77672e-05,4.91738e-05
1.08,4.85182e-05,4.78029e-05,4.91738e-05
1.12,4.85182e-05,4.77672e-05,4.92096e-05
1.16,4.8542e-05,4.77672e-05,4.92334e-05
1.2,4.85182e-05,4.77552e-05,4.91977e-05
1.24,4.85063e-05,4.7791e-05,4.91858e-05
1.28,4.85539e-05,4.77791e-05,4.92215e-05
1.32,4.85659e-05,4.7791e-05,4.92573e-05
1.36,4.85897e-05,4.7791e-05,4.92573e-05
1.4,4.85659e-05,4.78148e-05,4.9293e-05
1.44,4.8542e-05,4.78029e-05,4.92454e-05
1.48,4.85778e-05,4.78506e-05,4.9305e-05
1.52,4.85659e-05,4.78745e-05,4.93288e-05
1.56,4.8542e-05,4.78268e-05,4.92811e-05
1.6,4.85301e-05,4.79102e-05,4.93407e-05
1.64,4.85539e-05,4.78506e-05,4.93526e-05
1.68,4.85301e-05,4.78864e-05,4.93526e-05
1.72,4.85539e-05,4.78745e-05,4.9305e-05
1.76,4.85063e-05,4.79221e-05,4.93526e-05
1.8,4.85182e-05,4.79221e-05,4.93884e-05
1.84,4.85301e-05,4.78983e-05,4.93884e-05
1.88,4.84943e-05,4.78983e-05,4.93646e-05
1.92,4.84943e-05,4.79221e-05,4.94003e-05
1.96,4.84824e-05,4.79102e-05,4.93288e-05
2.0,4.84824e-05,4.78983e-05,4.93765e-05
2.04,4.84943e-05,4.79579e-05,4.94123e-05
2.08,4.84824e-05,4.79579e-05,4.94123e-05
2.12,4.84586e-05,4.79579e-05,4.94361e-05
2.16,4.84824e-05,4.79698e-05,4.94003e-05
2.2,4.84467e-05,4.79937e-05,4.94957e-05
2.24,4.85063e-05,4.79937e-05,4.94719e-05
2.28,4.85063e-05,4.7946e-05,4.94957e-05
2.32,4.84943e-05,4.79817e-05,4.94599e-05
2.36,4.85182e-05,4.79937e-05,4.95434e-05
2.4,4.85063e-05,4.80294e-05,4.95553e-05
2.44,4.84824e-05,4.79817e-05,4.9603e-05
2.48,4.84824e-05,4.80533e-05,4.95553e-05
2.52,4.84824e-05,4.79937e-05,4.95791e-05
2.56,4.84228e-05,4.79817e-05,4.95672e-05
2.6,4.85063e-05,4.79698e-05,4.95791e-05
2.64,4.84705e-05,4.80533e-05,4.9603e-05
2.68,4.84943e-05,4.80652e-05,4.96387e-05
2.72,4.84586e-05,4.80175e-05,4.96507e-05
2.76,4.84586e-05,4.80533e-05,4.96507e-05
2.8,4.84705e-05,4.80294e-05,4.9603e-05
2.84,4.84824e-05,4.81248e-05,4.96387e-05
2.88,4.84347e-05,4.81009e-05,4.96268e-05
2.92,4.84347e-05,4.81129e-05,4.96507e-05
2.96,4.84943e-05,4.81009e-05,4.96149e-05
3.0,4.84705e-05,4.80652e-05,4.96984e-05
3.04,4.85182e-05,4.8089e-05,4.96745e-05
3.08,4.84467e-05,4.80413e-05,4.97222e-05
3.12,4.84943e-05,4.80652e-05,4.96984e-05
3.16,4.84824e-05,4.8089e-05,4.96984e-05
3.2,4.85182e-05,4.8089e-05,4.96984e-05
3.24,4.84943e-05,4.81129e-05,4.96984e-05
3.28,4.84467e-05,4.81367e-05,4.97341e-05
3.32,4.84347e-05,4.8089e-05,4.97341e-05
3.36,4.84467e-05,4.80533e-05,4.97103e-05
3.4,4.84705e-05,4.81009e-05,4.97103e-05
3.44,4.84467e-05,4.81129e-05,4.97103e-05
3.48,4.84705e-05,4.81725e-05,4.97341e-05
3.52,4.84347e-05,4.81606e-05,4.9746e-05
3.56,4.84705e-05,4.81486e-05,4.97341e-05
3.6,4.84586e-05,4.81129e-05,4.97341e-05
3.64,4.84586e-05,4.8089e-05,4.96984e-05
3.68,4.84705e-05,4.81129e-05,4.97222e-05
3.72,4.84824e-05,4.81248e-05,4.9746e-05
3.76,4.85063e-05,4.81248e-05,4.97222e-05
3.8,4.85182e-05,4.81248e-05,4.97699e-05
3.84,4.84586e-05,4.8089e-05,4.9746e-05
