Time,Estabilidade,Positivo,Negativo
0.0,4.20451e-05,3.96729e-05,4.15802e-05
0.04,4.20332e-05,3.96252e-05,4.15325e-05
0.08,4.20451e-05,3.9649e-05,4.1604e-05
0.12,4.20213e-05,3.95894e-05,4.1604e-05
0.16,4.20213e-05,3.96252e-05,4.16517e-05
0.2,4.20332e-05,3.96132e-05,4.16398e-05
0.24,4.20332e-05,3.96848e-05,4.17709e-05
0.28,4.20213e-05,3.96729e-05,4.17113e-05
0.32,4.2069e-05,3.96729e-05,4.18186e-05
0.36,4.2069e-05,3.97444e-05,4.18425e-05
0.4,4.21047e-05,3.97205e-05,4.18901e-05
0.44,4.21166e-05,3.97682e-05,4.19259e-05
0.48,4.20809e-05,3.97444e-05,4.19259e-05
0.52,4.21166e-05,3.97682e-05,4.19259e-05
0.56,4.2069e-05,3.97682e-05,4.20094e-05
0.6,4.21166e-05,3.97682e-05,4.19974e-05
0.64,4.20809e-05,3.97801e-05,4.20094e-05
0.68,4.20094e-05,3.98397e-05,4.20809e-05
0.72,4.20332e-05,3.97563e-05,4.20451e-05
0.76,4.2057e-05,3.98397e-05,4.21166e-05
0.8,4.20451e-05,3.97682e-05,4.21166e-05
0.84,4.2057e-05,3.98517e-05,4.20928e-05
0.88,4.2069e-05,3.98755e-05,4.21166e-05
0.92,4.2057e-05,3.98517e-05,4.21643e-05
0.96,4.20332e-05,3.98517e-05,4.2212e-05
1.0,4.2069e-05,3.98517e-05,4.21643e-05
1.04,4.20451e-05,3.99113e-05,4.22001e-05
1.08,4.20451e-05,3.98994e-05,4.2212e-05
1.12,4.2069e-05,3.98755e-05,4.22001e-05
1.16,4.20451e-05,3.98755e-05,4.22359e-05
1.2,4.2057e-05,3.98994e-05,4.21882e-05
1.24,4.19974e-05,3.98994e-05,4.2212e-05
1.28,4.20094e-05,3.9959e-05,4.22001e-05
1.32,4.19855e-05,3.99351e-05,4.22359e-05
1.36,4.19855e-05,3.99828e-05,4.23074e-05
1.4,4.19736e-05,3.99709e-05,4.22478e-05
1.44,4.19736e-05,3.99828e-05,4.23074e-05
1.48,4.19974e-05,4.00066e-05,4.23074e-05
1.52,4.20213e-05,3.99709e-05,4.23312e-05
1.56,4.19736e-05,4.00066e-05,4.23312e-05
1.6,4.19021e-05,4.00543e-05,4.2367e-05
1.64,4.19497e-05,4.00305e-05,4.24147e-05
1.68,4.19855e-05,3.99828e-05,4.24385e-05
1.72,4.1914e-05,4.00066e-05,4.23789e-05
1.76,4.19497e-05,3.99947e-05,4.23789e-05
1.8,4.19855e-05,4.00782e-05,4.24027e-05
1.84,4.19378e-05,4.00186e-05,4.24266e-05
1.88,4.1914e-05,4.00186e-05,4.24624e-05
1.92,4.18782e-05,4.00305e-05,4.24385e-05
1.96,4.19259e-05,4.0102e-05,4.24862e-05
2.0,4.18663e-05,4.00901e-05,4.24743e-05
2.04,4.18663e-05,4.01258e-05,4.24743e-05
2.08,4.18782e-05,4.00782e-05,4.24981e-05
2.12,4.19021e-05,4.01139e-05,4.25577e-05
2.16,4.19497e-05,4.01855e-05,4.25577e-05
2.2,4.19617e-05,4.02093e-05,4.26054e-05
2.24,4.19259e-05,4.01855e-05,4.25339e-05
2.28,4.1914e-05,4.01974e-05,4.25696e-05
2.32,4.19855e-05,4.02451e-05,4.25816e-05
2.36,4.19021e-05,4.01974e-05,4.26173e-05
2.4,4.1914e-05,4.02212e-05,4.25577e-05
2.44,4.19378e-05,4.01855e-05,4.26173e-05
2.48,4.1914e-05,4.02212e-05,4.25816e-05
2.52,4.19497e-05,4.02212e-05,4.26173e-05
2.56,4.19378e-05,4.02212e-05,4.26173e-05
2.6,4.19497e-05,4.02212e-05,4.26292e-05
2.64,4.19021e-05,4.02093e-05,4.26292e-05
2.68,4.1914e-05,4.02451e-05,4.2665e-05
2.72,4.1914e-05,4.02212e-05,4.26412e-05
2.76,4.1914e-05,4.01974e-05,4.27008e-05
2.8,4.18901e-05,4.02808e-05,4.27127e-05
2.84,4.18663e-05,4.03166e-05,4.27008e-05
2.88,4.18901e-05,4.02927e-05,4.27246e-05
2.92,4.19259e-05,4.02808e-05,4.2665e-05
2.96,4.19259e-05,4.02808e-05,4.27008e-05
3.0,4.18782e-05,4.03285e-05,4.27246e-05
3.04,4.19497e-05,4.0257e-05,4.27127e-05
3.08,4.18663e-05,4.02808e-05,4.27604e-05
3.12,4.19021e-05,4.02808e-05,4.27961e-05
3.16,4.19259e-05,4.03285e-05,4.282e-05
3.2,4.19021e-05,4.03166e-05,4.27604e-05
3.24,4.18782e-05,4.04e-05,4.27723e-05
3.28,4.18544e-05,4.03523e-05,4.27604e-05
3.32,4.18305e-05,4.03166e-05,4.27365e-05
3.36,4.18782e-05,4.03523e-05,4.27127e-05
3.4,4.18305e-05,4.03643e-05,4.27365e-05
3.44,4.18544e-05,4.03881e-05,4.27842e-05
3.48,4.18663e-05,4.03285e-05,4.282e-05
3.52,4.18305e-05,4.03762e-05,4.28081e-05
3.56,4.18901e-05,4.03285e-05,4.28677e-05
3.6,4.18544e-05,4.03762e-05,4.282e-05
3.64,4.18425e-05,4.03762e-05,4.28319e-05
3.68,4.18067e-05,4.04239e-05,4.28796e-05
3.72,4.18901e-05,4.04239e-05,4.28915e-05
3.76,4.18425e-05,4.04835e-05,4.28796e-05
3.8,4.18782e-05,4.04239e-05,4.28319e-05
3.84,4.18186e-05,4.04954e-05,4.28557e-05
3.88,4.18067e-05,4.04835e-05,4.28557e-05
3.92,4.18067e-05,4.04596e-05,4.28796e-05
3.96,4.18305e-05,4.04477e-05,4.28557e-05
4.0,4.18425e-05,4.04119e-05,4.28438e-05
4.04,4.18544e-05,4.04e-05,4.28915e-05
4.08,4.18544e-05,4.05073e-05,4.28915e-05
4.12,4.18663e-05,4.04596e-05,4.28796e-05
4.16,4.18782e-05,4.04596e-05,4.29153e-05
4.2,4.18186e-05,4.05312e-05,4.29273e-05
4.24,4.18186e-05,4.04716e-05,4.28915e-05
4.28,4.18544e-05,4.05312e-05,4.29392e-05
4.32,4.18901e-05,4.05192e-05,4.2963e-05
4.36,4.18425e-05,4.05431e-05,4.2963e-05
4.4,4.18305e-05,4.05192e-05,4.29153e-05
4.44,4.18425e-05,4.05192e-05,4.29988e-05
4.48,4.18425e-05,4.04716e-05,4.29153e-05
4.52,4.18067e-05,4.04835e-05,4.2963e-05
4.56,4.17709e-05,4.04954e-05,4.29511e-05
4.6,4.18663e-05,4.05192e-05,4.29869e-05
4.64,4.18305e-05,4.0555e-05,4.29749e-05
4.68,4.18305e-05,4.0555e-05,4.29511e-05
4.72,4.1759e-05,4.0555e-05,4.29273e-05
4.76,4.17709e-05,4.05312e-05,4.29511e-05
4.8,4.17709e-05,4.05788e-05,4.30226e-05
4.84,4.17113e-05,4.05669e-05,4.29988e-05
4.88,4.17709e-05,4.06265e-05,4.30107e-05
4.92,4.17709e-05,4.05908e-05,4.30226e-05
4.96,4.17113e-05,4.06146e-05,4.30346e-05
5.0,4.17233e-05,4.06265e-05,4.30822e-05
5.04,4.16756e-05,4.0555e-05,4.29988e-05
5.08,4.17113e-05,4.05669e-05,4.30346e-05
5.12,4.17352e-05,4.06265e-05,4.30584e-05
5.16,4.17352e-05,4.06504e-05,4.30822e-05
5.2,4.17113e-05,4.06027e-05,4.30584e-05
5.24,4.16994e-05,4.06623e-05,4.31061e-05
5.28,4.16756e-05,4.05788e-05,4.31657e-05
5.32,4.17352e-05,4.05788e-05,4.31299e-05
5.36,4.17233e-05,4.05669e-05,4.30822e-05
5.4,4.17233e-05,4.06265e-05,4.30822e-05
5.44,4.16756e-05,4.06146e-05,4.30822e-05
5.48,4.16517e-05,4.06623e-05,4.30822e-05
5.52,4.16636e-05,4.06265e-05,4.31061e-05
5.56,4.16398e-05,4.06384e-05,4.31418e-05
5.6,4.16875e-05,4.06504e-05,4.30942e-05
5.64,4.17113e-05,4.06742e-05,4.31061e-05
5.68,4.16875e-05,4.06742e-05,4.30584e-05
5.72,4.17233e-05,4.06981e-05,4.30822e-05
5.76,4.16517e-05,4.06861e-05,4.31061e-05
5.8,4.16756e-05,4.071e-05,4.31061e-05
5.84,4.16756e-05,4.07219e-05,4.30942e-05
5.88,4.16994e-05,4.07219e-05,4.30822e-05
5.92,4.17113e-05,4.07577e-05,4.31538e-05
5.96,4.16517e-05,4.06981e-05,4.30822e-05
6.0,4.16994e-05,4.07696e-05,4.30942e-05
6.04,4.16636e-05,4.07457e-05,4.3118e-05
6.08,4.16398e-05,4.07934e-05,4.31418e-05
6.12,4.16398e-05,4.07934e-05,4.31657e-05
6.16,4.16636e-05,4.08053e-05,4.31299e-05
6.2,4.16756e-05,4.07934e-05,4.31418e-05
6.24,4.1616e-05,4.08173e-05,4.31538e-05
6.28,4.1604e-05,4.08292e-05,4.32014e-05
6.32,4.16279e-05,4.0853e-05,4.31657e-05
6.36,4.16398e-05,4.08411e-05,4.32134e-05
6.4,4.16517e-05,4.08411e-05,4.32014e-05
6.44,4.1604e-05,4.08411e-05,4.31418e-05
6.48,4.1616e-05,4.08411e-05,4.31895e-05
6.52,4.1616e-05,4.08173e-05,4.31299e-05
6.56,4.15802e-05,4.08411e-05,4.32253e-05
6.6,4.15921e-05,4.09007e-05,4.31895e-05
6.64,4.15444e-05,4.08292e-05,4.31895e-05
6.68,4.15683e-05,4.08292e-05,4.32491e-05
6.72,4.15564e-05,4.0853e-05,4.32491e-05
6.76,4.15444e-05,4.08173e-05,4.32372e-05
6.8,4.15444e-05,4.08769e-05,4.32491e-05
6.84,4.15683e-05,4.08769e-05,4.32253e-05
6.88,4.15564e-05,4.08649e-05,4.32253e-05
6.92,4.15683e-05,4.0853e-05,4.32491e-05
6.96,4.15444e-05,4.08888e-05,4.32849e-05
7.0,4.15325e-05,4.08769e-05,4.33207e-05
7.04,4.15087e-05,4.09603e-05,4.32491e-05
7.08,4.14968e-05,4.09603e-05,4.32849e-05
7.12,4.14968e-05,4.09246e-05,4.3273e-05
7.16,4.15444e-05,4.08649e-05,4.32968e-05
7.2,4.15325e-05,4.09603e-05,4.32372e-05
7.24,4.15087e-05,4.08769e-05,4.32491e-05
7.28,4.14848e-05,4.09365e-05,4.32372e-05
7.32,4.15444e-05,4.09246e-05,4.32491e-05
7.36,4.15206e-05,4.09603e-05,4.32849e-05
7.4,4.15564e-05,4.09126e-05,4.32372e-05
7.44,4.14848e-05,4.09484e-05,4.32849e-05
7.48,4.1461e-05,4.09365e-05,4.32611e-05
7.52,4.14491e-05,4.09007e-05,4.32611e-05
7.56,4.1461e-05,4.09722e-05,4.32611e-05
7.6,4.14729e-05,4.09484e-05,4.33207e-05
7.64,4.14491e-05,4.09365e-05,4.32849e-05
7.68,4.14252e-05,4.09484e-05,4.32849e-05
7.72,4.14491e-05,4.09246e-05,4.33087e-05
7.76,4.14491e-05,4.09007e-05,4.32611e-05
7.8,4.14252e-05,4.09365e-05,4.32849e-05
7.84,4.14491e-05,4.08888e-05,4.32849e-05
7.88,4.14014e-05,4.09246e-05,4.32611e-05
7.92,4.1461e-05,4.09722e-05,4.33207e-05
7.96,4.14133e-05,4.1008e-05,4.33207e-05
8.0,4.14491e-05,4.09246e-05,4.33326e-05
8.04,4.14491e-05,4.09961e-05,4.33445e-05
8.08,4.14848e-05,4.1008e-05,4.33326e-05
8.12,4.14491e-05,4.09722e-05,4.33683e-05
8.16,4.14371e-05,4.09484e-05,4.33326e-05
8.2,4.1461e-05,4.09961e-05,4.34041e-05
8.24,4.14133e-05,4.09842e-05,4.33326e-05
8.28,4.14491e-05,4.09961e-05,4.34041e-05
8.32,4.1461e-05,4.10199e-05,4.33922e-05
8.36,4.14729e-05,4.10438e-05,4.33922e-05
8.4,4.14252e-05,4.10557e-05,4.33922e-05
8.44,4.14252e-05,4.09961e-05,4.33683e-05
8.48,4.14014e-05,4.09842e-05,4.33683e-05
8.52,4.14133e-05,4.09961e-05,4.33564e-05
