Time,Estabilidade,Positivo,Negativo
0.0,1.32203e-05,1.31607e-05,1.32918e-05
0.100001,1.31726e-05,1.31488e-05,1.32442e-05
0.200002,1.32084e-05,1.31249e-05,1.32442e-05
0.300003,1.32084e-05,1.31845e-05,1.31965e-05
0.400004,1.32442e-05,1.31965e-05,1.32084e-05
0.500005,1.32322e-05,1.31965e-05,1.32442e-05
0.600006,1.32442e-05,1.31965e-05,1.32442e-05
0.700007,1.32203e-05,1.31726e-05,1.32322e-05
0.800008,1.32322e-05,1.31607e-05,1.32799e-05
0.900009,1.32322e-05,1.31369e-05,1.33276e-05
1.00001,1.32203e-05,1.31607e-05,1.32918e-05
1.10001,1.3268e-05,1.31607e-05,1.32799e-05
1.20001,1.3268e-05,1.31726e-05,1.33038e-05
1.30001,1.32918e-05,1.31965e-05,1.3268e-05
1.40001,1.3268e-05,1.31607e-05,1.33514e-05
1.50001,1.32322e-05,1.31845e-05,1.33276e-05
1.60002,1.32322e-05,1.31488e-05,1.33157e-05
1.70002,1.3268e-05,1.31607e-05,1.33157e-05
1.80002,1.32561e-05,1.32442e-05,1.33395e-05
1.90002,1.32322e-05,1.32442e-05,1.33514e-05
2.00002,1.32561e-05,1.32442e-05,1.33634e-05
2.10002,1.32442e-05,1.32442e-05,1.33634e-05
2.20002,1.32799e-05,1.32442e-05,1.33276e-05
2.30002,1.32561e-05,1.32561e-05,1.32799e-05
2.40002,1.32322e-05,1.32561e-05,1.32442e-05
2.50002,1.32322e-05,1.31965e-05,1.32799e-05
2.60003,1.32322e-05,1.31845e-05,1.33038e-05
2.70003,1.32561e-05,1.32322e-05,1.32918e-05
2.80003,1.3268e-05,1.32442e-05,1.33157e-05
2.90003,1.32561e-05,1.32203e-05,1.33276e-05
3.00003,1.32561e-05,1.32084e-05,1.33634e-05
3.10003,1.32322e-05,1.32322e-05,1.33634e-05
3.20003,1.32442e-05,1.31965e-05,1.33514e-05
3.30003,1.32799e-05,1.32442e-05,1.33634e-05
3.40003,1.32918e-05,1.31965e-05,1.33395e-05
3.50004,1.32918e-05,1.32322e-05,1.33395e-05
3.60004,1.3268e-05,1.32322e-05,1.32918e-05
3.70004,1.32561e-05,1.32203e-05,1.32799e-05
3.80004,1.32322e-05,1.32322e-05,1.33395e-05
3.90004,1.32203e-05,1.32561e-05,1.33514e-05
4.00004,1.31965e-05,1.32918e-05,1.33276e-05
4.10004,1.31607e-05,1.33038e-05,1.33157e-05
4.20004,1.31607e-05,1.32322e-05,1.33038e-05
4.30004,1.31965e-05,1.32561e-05,1.33276e-05
4.40004,1.31965e-05,1.32203e-05,1.33157e-05
4.50005,1.32203e-05,1.32322e-05,1.33514e-05
4.60005,1.32442e-05,1.31965e-05,1.33157e-05
4.70005,1.32322e-05,1.31845e-05,1.33038e-05
4.80005,1.31965e-05,1.32203e-05,1.33634e-05
4.90005,1.32084e-05,1.32084e-05,1.33157e-05
5.00005,1.32203e-05,1.32203e-05,1.32799e-05
5.10005,1.32203e-05,1.32442e-05,1.3268e-05
5.20005,1.32084e-05,1.32322e-05,1.33157e-05
5.30005,1.31488e-05,1.32203e-05,1.33395e-05
5.40005,1.31726e-05,1.32084e-05,1.33276e-05
5.50005,1.31965e-05,1.32322e-05,1.33276e-05
5.60006,1.32084e-05,1.32084e-05,1.33395e-05
5.70006,1.32203e-05,1.31726e-05,1.33872e-05
5.80006,1.32442e-05,1.32203e-05,1.33514e-05
5.90006,1.32084e-05,1.31845e-05,1.33395e-05
6.00006,1.32442e-05,1.32203e-05,1.33991e-05
6.10006,1.3268e-05,1.32084e-05,1.33872e-05
6.20006,1.32561e-05,1.32203e-05,1.33991e-05
6.30006,1.32084e-05,1.32203e-05,1.33753e-05
6.40006,1.32322e-05,1.31845e-05,1.33395e-05
6.50006,1.31845e-05,1.31965e-05,1.33634e-05
6.60007,1.31845e-05,1.31607e-05,1.33991e-05
6.70007,1.32203e-05,1.32084e-05,1.3423e-05
6.80007,1.32561e-05,1.31845e-05,1.34349e-05
6.90007,1.32799e-05,1.31845e-05,1.33395e-05
7.00007,1.32442e-05,1.31726e-05,1.33395e-05
7.10007,1.32561e-05,1.31607e-05,1.33872e-05
7.20007,1.32322e-05,1.31845e-05,1.33514e-05
7.30007,1.32442e-05,1.31726e-05,1.33753e-05
7.40007,1.32442e-05,1.32203e-05,1.33157e-05
7.50007,1.32442e-05,1.31965e-05,1.33872e-05
7.60008,1.32203e-05,1.31845e-05,1.33753e-05
7.70008,1.32203e-05,1.32084e-05,1.33514e-05
7.80008,1.32203e-05,1.32084e-05,1.33753e-05
7.90008,1.32799e-05,1.32084e-05,1.33872e-05
8.00008,1.32322e-05,1.31965e-05,1.33872e-05
8.10008,1.3268e-05,1.32084e-05,1.34349e-05
8.20008,1.32561e-05,1.32203e-05,1.3411e-05
8.30008,1.32084e-05,1.31726e-05,1.33634e-05
8.40008,1.31965e-05,1.31845e-05,1.33991e-05
8.50009,1.32561e-05,1.31845e-05,1.33753e-05
8.60009,1.32203e-05,1.31726e-05,1.3423e-05
8.70009,1.32442e-05,1.31965e-05,1.3411e-05
8.80009,1.32442e-05,1.31965e-05,1.3423e-05
8.90009,1.32322e-05,1.31607e-05,1.33872e-05
9.00009,1.32084e-05,1.31845e-05,1.3411e-05
