Time,Estabilidade,Positivo,Negativo
0.0,8.40783e-05,8.51154e-05,8.74043e-05
0.100001,8.40068e-05,8.51512e-05,8.744e-05
0.200002,8.40425e-05,8.51393e-05,8.74043e-05
0.300003,8.40187e-05,8.51512e-05,8.75235e-05
0.400004,8.40545e-05,8.51274e-05,8.75592e-05
0.500005,8.40187e-05,8.51631e-05,8.75592e-05
0.600006,8.4126e-05,8.5187e-05,8.76427e-05
0.700007,8.40664e-05,8.5187e-05,8.76188e-05
0.800008,8.40902e-05,8.51631e-05,8.76665e-05
0.900009,8.40664e-05,8.5175e-05,8.76188e-05
1.00001,8.40783e-05,8.51989e-05,8.76665e-05
1.10001,8.40187e-05,8.5175e-05,8.76308e-05
1.20001,8.40068e-05,8.51631e-05,8.76308e-05
1.30001,8.40306e-05,8.5187e-05,8.76546e-05
1.40001,8.40068e-05,8.5175e-05,8.76546e-05
1.50001,8.40068e-05,8.51989e-05,8.76904e-05
1.60002,8.39829e-05,8.52346e-05,8.77023e-05
1.70002,8.40187e-05,8.52346e-05,8.77142e-05
1.80002,8.40068e-05,8.52466e-05,8.77142e-05
1.90002,8.3971e-05,8.52823e-05,8.77142e-05
2.00002,8.39949e-05,8.52823e-05,8.7738e-05
2.10002,8.40187e-05,8.53419e-05,8.77619e-05
2.20002,8.40068e-05,8.533e-05,8.7738e-05
2.30002,8.39829e-05,8.52823e-05,8.7738e-05
2.40002,8.40187e-05,8.52585e-05,8.77738e-05
2.50002,8.40425e-05,8.52942e-05,8.775e-05
2.60003,8.40545e-05,8.52466e-05,8.775e-05
2.70003,8.40425e-05,8.52704e-05,8.7738e-05
2.80003,8.40545e-05,8.53062e-05,8.775e-05
2.90003,8.40664e-05,8.52942e-05,8.77261e-05
3.00003,8.40187e-05,8.52823e-05,8.77023e-05
3.10003,8.40664e-05,8.52823e-05,8.7738e-05
3.20003,8.40425e-05,8.53419e-05,8.775e-05
3.30003,8.40545e-05,8.53181e-05,8.77738e-05
3.40003,8.40783e-05,8.53419e-05,8.77619e-05
3.50004,8.41022e-05,8.53181e-05,8.77857e-05
3.60004,8.40783e-05,8.52823e-05,8.7738e-05
3.70004,8.40545e-05,8.52823e-05,8.77261e-05
3.80004,8.40425e-05,8.52346e-05,8.77738e-05
3.90004,8.40425e-05,8.52466e-05,8.77619e-05
4.00004,8.40664e-05,8.52823e-05,8.775e-05
4.10004,8.40902e-05,8.52704e-05,8.77619e-05
4.20004,8.40902e-05,8.52704e-05,8.77619e-05
4.30004,8.41022e-05,8.52823e-05,8.7738e-05
4.40004,8.41022e-05,8.52942e-05,8.77738e-05
4.50005,8.41379e-05,8.52942e-05,8.77619e-05
4.60005,8.41856e-05,8.52466e-05,8.77261e-05
4.70005,8.41498e-05,8.52466e-05,8.77261e-05
4.80005,8.4126e-05,8.52704e-05,8.775e-05
4.90005,8.4126e-05,8.52466e-05,8.775e-05
5.00005,8.41618e-05,8.52466e-05,8.7738e-05
5.10005,8.41737e-05,8.52585e-05,8.7738e-05
5.20005,8.41498e-05,8.53181e-05,8.77857e-05
