Time,Estabilidade,Positivo,Negativo
0.0,7.05719e-06,6.97374e-06,7.15256e-06
0.100001,7.06911e-06,6.90222e-06,7.10487e-06
0.200002,7.06911e-06,6.91414e-06,7.10487e-06
0.300003,7.06911e-06,6.92606e-06,7.10487e-06
0.400004,7.08103e-06,6.9499e-06,7.10487e-06
0.500005,7.09295e-06,6.92606e-06,7.14064e-06
0.600006,7.04527e-06,6.92606e-06,7.11679e-06
0.700007,7.03335e-06,6.93798e-06,7.14064e-06
0.800008,7.05719e-06,6.93798e-06,7.12872e-06
0.900009,7.05719e-06,6.9499e-06,7.15256e-06
1.00001,7.06911e-06,6.9499e-06,7.12872e-06
1.10001,7.10487e-06,6.98566e-06,7.12872e-06
1.20001,7.11679e-06,6.97374e-06,7.12872e-06
1.30001,7.12872e-06,6.93798e-06,7.14064e-06
1.40001,7.12872e-06,6.97374e-06,7.16448e-06
1.50001,7.10487e-06,6.96182e-06,7.14064e-06
1.60002,7.11679e-06,6.96182e-06,7.14064e-06
1.70002,7.12872e-06,6.9499e-06,7.11679e-06
1.80002,7.11679e-06,6.93798e-06,7.11679e-06
1.90002,7.14064e-06,6.9499e-06,7.14064e-06
2.00002,7.09295e-06,6.97374e-06,7.10487e-06
2.10002,7.15256e-06,6.96182e-06,7.11679e-06
2.20002,7.10487e-06,6.9499e-06,7.11679e-06
2.30002,7.08103e-06,6.96182e-06,7.11679e-06
2.40002,7.09295e-06,6.93798e-06,7.12872e-06
2.50002,7.10487e-06,6.98566e-06,7.10487e-06
2.60003,7.06911e-06,6.99759e-06,7.14064e-06
2.70003,7.06911e-06,6.9499e-06,7.11679e-06
2.80003,7.06911e-06,6.9499e-06,7.11679e-06
2.90003,7.10487e-06,6.91414e-06,7.10487e-06
3.00003,7.09295e-06,6.9499e-06,7.10487e-06
3.10003,7.04527e-06,6.97374e-06,7.12872e-06
3.20003,7.09295e-06,6.9499e-06,7.14064e-06
3.30003,7.06911e-06,6.93798e-06,7.11679e-06
3.40003,7.06911e-06,6.9499e-06,7.08103e-06
3.50004,7.08103e-06,6.98566e-06,7.11679e-06
3.60004,7.08103e-06,6.99759e-06,7.11679e-06
3.70004,7.05719e-06,6.96182e-06,7.12872e-06
3.80004,7.08103e-06,6.99759e-06,7.15256e-06
3.90004,7.12872e-06,6.99759e-06,7.14064e-06
4.00004,7.11679e-06,6.99759e-06,7.12872e-06
4.10004,7.05719e-06,7.02143e-06,7.16448e-06
4.20004,7.08103e-06,7.02143e-06,7.1764e-06
4.30004,7.08103e-06,7.00951e-06,7.12872e-06
4.40004,7.10487e-06,6.98566e-06,7.12872e-06
4.50005,7.14064e-06,7.00951e-06,7.14064e-06
4.60005,7.12872e-06,7.00951e-06,7.15256e-06
4.70005,7.10487e-06,6.96182e-06,7.14064e-06
4.80005,7.14064e-06,6.99759e-06,7.12872e-06
4.90005,7.09295e-06,6.97374e-06,7.16448e-06
5.00005,7.11679e-06,6.99759e-06,7.16448e-06
5.10005,7.14064e-06,6.99759e-06,7.16448e-06
5.20005,7.12872e-06,7.00951e-06,7.15256e-06
5.30005,7.14064e-06,6.98566e-06,7.16448e-06
5.40005,7.11679e-06,6.98566e-06,7.16448e-06
5.50005,7.15256e-06,6.96182e-06,7.12872e-06
5.60006,7.15256e-06,6.97374e-06,7.12872e-06
5.70006,7.16448e-06,6.9499e-06,7.11679e-06
5.80006,7.14064e-06,6.96182e-06,7.14064e-06
5.90006,7.12872e-06,6.99759e-06,7.12872e-06
6.00006,7.12872e-06,7.00951e-06,7.16448e-06
6.10006,7.12872e-06,7.02143e-06,7.15256e-06
6.20006,7.12872e-06,7.04527e-06,7.1764e-06
6.30006,7.10487e-06,6.98566e-06,7.15256e-06
6.40006,7.15256e-06,7.02143e-06,7.14064e-06
6.50006,7.14064e-06,7.03335e-06,7.12872e-06
6.60007,7.11679e-06,7.04527e-06,7.11679e-06
6.70007,7.12872e-06,7.00951e-06,7.11679e-06
6.80007,7.15256e-06,7.03335e-06,7.14064e-06
6.90007,7.16448e-06,6.99759e-06,7.16448e-06
7.00007,7.14064e-06,7.02143e-06,7.14064e-06
7.10007,7.15256e-06,6.98566e-06,7.14064e-06
7.20007,7.14064e-06,6.99759e-06,7.11679e-06
7.30007,7.14064e-06,7.00951e-06,7.10487e-06
7.40007,7.10487e-06,6.99759e-06,7.10487e-06
7.50007,7.10487e-06,6.97374e-06,7.11679e-06
7.60008,7.10487e-06,6.98566e-06,7.10487e-06
7.70008,7.09295e-06,6.99759e-06,7.11679e-06
7.80008,7.12872e-06,6.99759e-06,7.10487e-06
7.90008,7.10487e-06,6.98566e-06,7.11679e-06
8.00008,7.10487e-06,6.98566e-06,7.10487e-06
8.10008,7.11679e-06,6.9499e-06,7.09295e-06
8.20008,7.08103e-06,6.97374e-06,7.10487e-06
8.30008,7.08103e-06,6.98566e-06,7.09295e-06
8.40008,7.09295e-06,6.98566e-06,7.10487e-06
8.50009,7.12872e-06,6.98566e-06,7.09295e-06
8.60009,7.11679e-06,6.96182e-06,7.11679e-06
8.70009,7.09295e-06,6.98566e-06,7.12872e-06
8.80009,7.10487e-06,6.93798e-06,7.09295e-06
8.90009,7.10487e-06,6.96182e-06,7.09295e-06
9.00009,7.14064e-06,6.96182e-06,7.12872e-06
9.10009,7.12872e-06,7.00951e-06,7.11679e-06
9.20009,7.14064e-06,6.98566e-06,7.12872e-06
9.30009,7.14064e-06,7.02143e-06,7.12872e-06
9.40009,7.12872e-06,7.00951e-06,7.16448e-06
9.50009,7.15256e-06,6.99759e-06,7.16448e-06
