Time,Estabilidade,Positivo,Negativo
0.0,8.95262e-06,8.92878e-06,8.96454e-06
0.100001,8.98838e-06,8.88109e-06,8.95262e-06
0.200002,9.0003e-06,8.92878e-06,8.95262e-06
0.300003,9.01222e-06,8.90493e-06,8.91686e-06
0.400004,9.04799e-06,8.89301e-06,8.95262e-06
0.500005,9.07183e-06,8.92878e-06,9.0003e-06
0.600006,9.01222e-06,8.92878e-06,9.0003e-06
0.700007,9.04799e-06,8.98838e-06,9.03606e-06
0.800008,9.02414e-06,8.96454e-06,8.98838e-06
0.900009,9.03606e-06,8.97646e-06,8.98838e-06
1.00001,9.05991e-06,8.96454e-06,8.98838e-06
1.10001,9.05991e-06,8.97646e-06,9.0003e-06
1.20001,9.07183e-06,9.0003e-06,9.01222e-06
1.30001,9.09567e-06,8.9407e-06,9.02414e-06
1.40001,9.07183e-06,8.97646e-06,9.02414e-06
1.50001,9.09567e-06,8.96454e-06,9.04799e-06
1.60002,9.10759e-06,8.98838e-06,9.04799e-06
1.70002,9.05991e-06,8.96454e-06,9.07183e-06
1.80002,9.05991e-06,8.97646e-06,9.02414e-06
1.90002,9.05991e-06,8.9407e-06,9.02414e-06
2.00002,9.07183e-06,8.98838e-06,9.01222e-06
2.10002,9.07183e-06,9.0003e-06,9.04799e-06
2.20002,9.07183e-06,8.98838e-06,9.03606e-06
2.30002,9.07183e-06,9.02414e-06,9.03606e-06
2.40002,9.05991e-06,9.0003e-06,9.02414e-06
2.50002,9.08375e-06,8.97646e-06,9.05991e-06
2.60003,9.08375e-06,9.01222e-06,9.05991e-06
2.70003,9.05991e-06,9.01222e-06,9.05991e-06
2.80003,9.05991e-06,9.0003e-06,9.05991e-06
2.90003,9.05991e-06,9.02414e-06,9.05991e-06
3.00003,9.07183e-06,9.0003e-06,9.04799e-06
3.10003,9.04799e-06,8.98838e-06,9.07183e-06
3.20003,9.07183e-06,9.01222e-06,9.05991e-06
3.30003,9.08375e-06,9.0003e-06,9.04799e-06
3.40003,9.09567e-06,9.0003e-06,9.08375e-06
3.50004,9.08375e-06,9.01222e-06,9.03606e-06
3.60004,9.09567e-06,9.0003e-06,9.03606e-06
3.70004,9.10759e-06,9.0003e-06,9.03606e-06
3.80004,9.10759e-06,9.0003e-06,9.02414e-06
3.90004,9.08375e-06,9.05991e-06,9.03606e-06
4.00004,9.07183e-06,9.01222e-06,8.98838e-06
4.10004,9.07183e-06,8.98838e-06,9.01222e-06
4.20004,9.07183e-06,9.02414e-06,9.07183e-06
4.30004,9.04799e-06,8.98838e-06,9.03606e-06
4.40004,9.08375e-06,8.97646e-06,9.07183e-06
4.50005,9.09567e-06,8.96454e-06,9.03606e-06
4.60005,9.09567e-06,8.98838e-06,9.05991e-06
4.70005,9.09567e-06,8.98838e-06,9.09567e-06
4.80005,9.08375e-06,9.0003e-06,9.07183e-06
4.90005,9.10759e-06,8.97646e-06,9.08375e-06
5.00005,9.09567e-06,9.01222e-06,9.07183e-06
5.10005,9.09567e-06,9.01222e-06,9.03606e-06
