Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
Standard,KCl,-0.8,0.01,0.05,1.7589205157936826e-06,9.516495078113374e-07,1.7754505803012128e-06,9.905518093481306e-07,1.6530064507530324e-08,3.8993002807896264e-08,1.0038537668087864,0.01566826462842268
Standard,KCl,-0.7,0.01,0.05,1.790323660669066e-06,1.0172951061989507e-06,1.7838126124216983e-06,1.0105927244642913e-06,-6.511048247367694e-09,5.387639661592649e-08,0.9982513057896026,0.04458430496012445
Standard,KCl,-0.6,0.01,0.05,1.8044831772624283e-06,9.79533468076519e-07,1.8112722375049982e-06,1.032269860648103e-06,6.789060242569838e-09,5.31415463233267e-08,0.9947609104231526,0.026000689548195184
Standard,KCl,-0.5,0.01,0.05,1.7873985886978541e-06,1.0059669456595734e-06,1.801300799946688e-06,1.016299057383336e-06,1.390221124883364e-08,1.1674695235497563e-08,1.0073699568902386,0.004573336699625589
Standard,KCl,-0.4,0.01,0.05,1.8191989208316675e-06,1.0291853458023066e-06,1.8251189241103558e-06,1.0040841813619433e-06,5.920003278688359e-09,2.6634421861187004e-08,1.0084786587061239,0.015182181532521778
Standard,KCl,-0.3,0.01,0.05,1.8489433837131818e-06,1.0678527367095053e-06,1.8293277275756365e-06,1.0390726300125841e-06,-1.961565613754491e-08,3.270850183679285e-08,0.992424657180409,0.013927416499816901
Standard,KCl,-0.2,0.01,0.05,1.8340322653605222e-06,1.0672478437764924e-06,1.8347647676929231e-06,1.0988067030777005e-06,7.325023324005038e-10,4.1641580375328003e-08,0.9938920806365045,0.029401604763110146
Standard,KCl,-0.1,0.01,0.05,1.8433172888178065e-06,1.1149395837257677e-06,1.8483761705984274e-06,1.102580726780688e-06,5.05888178062096e-09,1.247136176817971e-08,1.0058586809735146,0.008002881570720542
Standard,KCl,0.1,0.01,0.05,1.8386049123017465e-06,1.1255419799501099e-06,1.8669924836731975e-06,1.1046590813241533e-06,2.8387571371451123e-08,2.3421553513076307e-08,1.0235005287789243,0.022586978122350002
Standard,KCl,0.2,0.01,0.05,1.8375515898973745e-06,1.126375301123524e-06,1.876847870585099e-06,1.1174777668062578e-06,3.929628068772466e-08,1.7580090590889504e-08,1.02854777286839,0.022863604176943633
Standard,KCl,0.3,0.01,0.05,1.8096422375049979e-06,1.0939780901111603e-06,1.8213089288284685e-06,1.0577104165862244e-06,1.1666691323470742e-08,3.813613222219048e-08,1.0150521598885094,0.022606650841191078
Standard,KCl,0.4,0.01,0.05,1.7992020413034787e-06,1.0420733611620454e-06,1.836371007330401e-06,1.0439199829821715e-06,3.7168966026922435e-08,2.4431749053331745e-08,1.025126520660882,0.02433715719014428
Standard,KCl,0.5,0.01,0.05,1.7911434466213513e-06,1.0024883275132772e-06,1.7901075597760897e-06,1.0334743429367503e-06,-1.0358868452618198e-09,3.158187975063575e-08,0.9934420604163003,0.017092175427589465
Standard,KCl,0.6,0.01,0.05,1.7725764848727178e-06,1.0040319613145402e-06,1.8255462702918836e-06,9.90680779367291e-07,5.2969785419165766e-08,1.744322443966958e-08,1.0384342391035668,0.025225922505400178
Standard,KCl,0.7,0.01,0.05,1.7785297755564442e-06,1.0174282847350513e-06,1.7887332155137945e-06,9.940480149251093e-07,1.0203439957350172e-08,2.357154832098823e-08,1.0113663657029182,0.014826986322768677
Standard,KCl,0.8,0.01,0.05,1.7842924278288683e-06,9.944380100454677e-07,1.811335862721578e-06,9.922197056009366e-07,2.7043434892709754e-08,5.82225773016043e-09,1.018341634032333,0.00941076414172409
