Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
Standard,KCl,-0.7,0.1,0.2,1.0573015921490351e-05,3.225278197762905e-06,1.0437936813040587e-05,3.2064410280187377e-06,-1.3507910844976638e-07,3.0839744182612185e-08,0.9867295935417234,0.0038260082769865904
Standard,KCl,-0.6,0.1,0.2,1.0573920964737193e-05,3.204144666835358e-06,1.0502706154357951e-05,3.1900727057663634e-06,-7.121481037924163e-08,1.886108999081939e-08,0.9930855003519645,0.0017051313576711264
Standard,KCl,-0.5,0.1,0.2,1.0591709893546242e-05,3.253549471188305e-06,1.0555995316034598e-05,3.283085766587717e-06,-3.5714577511643376e-08,3.326301252293023e-08,0.9958064737278508,0.004607513678320753
Standard,KCl,-0.4,0.1,0.2,1.0617423186959415e-05,3.2455729192006354e-06,1.0629684797072524e-05,3.2442597631600395e-06,1.2261610113108135e-08,2.4925268087234936e-08,1.0011778264499562,0.0026050706643331776
Standard,KCl,-0.3,0.1,0.2,1.0666375668662676e-05,3.2403515557180214e-06,1.0679018722554891e-05,3.28670400698079e-06,1.26430538922164e-08,5.9175495846302065e-08,1.000290776980208,0.006358521911483807
Standard,KCl,-0.2,0.1,0.2,1.0746435495675315e-05,3.2785652132369835e-06,1.0776067890884896e-05,3.269482918610835e-06,2.9632395209580926e-08,1.4240212520830345e-08,1.0031272956112196,0.0023109079858127713
Standard,KCl,-0.1,0.1,0.2,1.0805396307385228e-05,3.272528091494173e-06,1.0827333180306056e-05,3.282665565561046e-06,2.1936872920826688e-08,2.205379840200345e-08,1.0019115608134521,0.002201064389494325
Standard,KCl,0.1,0.1,0.2,1.0817545768463073e-05,3.259775545627612e-06,1.087393767797738e-05,3.271680427829204e-06,5.639190951430478e-08,2.3790507941257312e-08,1.0053662666975702,0.002368526934917683
Standard,KCl,0.2,0.1,0.2,1.0758776833000664e-05,3.24095920218541e-06,1.0784608383233533e-05,3.279265668696877e-06,2.583155023286784e-08,3.9127987141458424e-08,1.001866985209233,0.0026922278925208044
Standard,KCl,0.3,0.1,0.2,1.0681040445775116e-05,3.273867709822731e-06,1.0750345236194278e-05,3.287413775788548e-06,6.930479041916174e-08,1.3752587691010047e-08,1.0066398766625089,0.0008261582101929944
Standard,KCl,0.4,0.1,0.2,1.0640075469061876e-05,3.2325445929475007e-06,1.0672213459747173e-05,3.2569597373021145e-06,3.2137990685296006e-08,4.270273624755327e-08,1.0028548363069383,0.003636364129029893
Standard,KCl,0.5,0.1,0.2,1.0548285888223552e-05,3.2352255505535323e-06,1.064127250166334e-05,3.2640275687502066e-06,9.298661343978568e-08,2.940765203227693e-08,1.0087917430231315,0.0006586427324052061
Standard,KCl,0.6,0.1,0.2,1.0501642761144378e-05,3.2643506998852583e-06,1.0654747771124418e-05,3.2727735384016602e-06,1.53105009980041e-07,6.267087518772777e-08,1.0151545252730305,0.006768214507586403
Standard,KCl,0.7,0.1,0.2,1.0456543300066534e-05,3.190439851027453e-06,1.0701060399201597e-05,3.2302377007723784e-06,2.445170991350636e-07,4.45149073967707e-08,1.0239915424990493,0.0034089072206799575
