Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
Standard,KCl,-0.7,1.0,0.2,8.6038124e-06,1.5388651741877843e-06,8.4686279e-06,1.4940186236473019e-06,-1.351845000000001e-07,4.4846550540483075e-08,0.984506151839779,0.002441197717487051
Standard,KCl,-0.6,1.0,0.2,8.576392899999999e-06,1.5027867477340141e-06,8.536339800000001e-06,1.4515377695539584e-06,-4.0053099999998697e-08,5.1248978180056326e-08,0.9957887250922937,0.005237671662371061
Standard,KCl,-0.5,1.0,0.2,8.5548158e-06,1.5110495733148919e-06,8.572578899999999e-06,1.4909859840841485e-06,1.7763099999998773e-08,2.0063589230743354e-08,1.0023196984509541,0.0027550293467776847
Standard,KCl,-0.4,1.0,0.2,8.6047662e-06,1.5456098415094546e-06,8.5854527e-06,1.5274014176298318e-06,-1.931349999999981e-08,1.8208423879621848e-08,0.997911850160908,0.001741007087185652
Standard,KCl,-0.3,1.0,0.2,8.597851600000002e-06,1.549655623668692e-06,8.6035734e-06,1.5166102610421442e-06,5.7217999999984025e-09,3.3045362626546604e-08,1.0010285650538568,0.004028830207602883
Standard,KCl,-0.2,1.0,0.2,8.612873100000001e-06,1.5499934792887437e-06,8.6431513e-06,1.581010576824133e-06,3.027819999999922e-08,3.101709753538981e-08,1.003243943980461,0.003017460633257915
Standard,KCl,-0.1,1.0,0.2,8.6477984e-06,1.6324318062160876e-06,8.6852326e-06,1.6105148901118546e-06,3.74341999999994e-08,2.1916916104234293e-08,1.0046508243292775,0.003412321645295233
Standard,KCl,0.1,1.0,0.2,8.6768858e-06,1.574098608038035e-06,8.6634159e-06,1.5368432730576599e-06,-1.3469900000000038e-08,3.7255334980374885e-08,0.9988176145282199,0.004079129825020998
Standard,KCl,0.2,1.0,0.2,8.6119182e-06,1.5715736711437762e-06,8.648039e-06,1.5666807750606745e-06,3.612079999999961e-08,4.892896083099513e-09,1.0043180203993705,0.0013561419166999305
Standard,KCl,0.3,1.0,0.2,8.5552921e-06,1.530942042704589e-06,8.6368339e-06,1.5528581102806852e-06,8.154180000000043e-08,2.1916067576096784e-08,1.0094533061600512,0.0008700583973181883
Standard,KCl,0.4,1.0,0.2,8.5736514e-06,1.4938524535537239e-06,8.6455354e-06,1.5385283085172273e-06,7.188400000000094e-08,4.467585496350475e-08,1.0080525638077893,0.0038077723526106096
Standard,KCl,0.5,1.0,0.2,8.5037964e-06,1.526222670625594e-06,8.6036921e-06,1.5012690137388769e-06,9.989570000000017e-08,2.495365688671686e-08,1.012207120640368,0.005125292175516717
Standard,KCl,0.6,1.0,0.2,8.5006968e-06,1.5090269650779859e-06,8.648039000000001e-06,1.5184685376631017e-06,1.4734220000000088e-07,9.441572585115769e-09,1.0175102700371543,0.001997706478220524
Standard,KCl,0.7,1.0,0.2,8.4236867e-06,1.4901448098572498e-06,8.6735483e-06,1.5093648206980386e-06,2.4986160000000045e-07,1.9220010840787753e-08,1.029928252754801,0.0030126262494872004
