Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
Standard,KCl,-0.5,40.0,0.4,1.650839880952381e-05,2.1722370825678003e-06,1.6193873015873015e-05,2.160259479368693e-06,-3.145257936507957e-07,1.1977603199106311e-08,0.9808293003164494,0.0017970065961308837
Standard,KCl,-0.4,40.0,0.4,1.604651666666667e-05,2.2293797284255425e-06,1.6251111507936508e-05,2.3074415110892426e-06,2.0459484126983838e-07,7.806178266369816e-08,1.0125331344668442,0.003123460860125405
Standard,KCl,-0.3,40.0,0.4,1.5785390476190477e-05,2.069342383183853e-06,1.6147464285714285e-05,2.1651474952926133e-06,3.620738095238082e-07,9.580511210876006e-08,1.0227348095087683,0.003088869248575231
Standard,KCl,-0.2,40.0,0.4,1.557550396825397e-05,2.2022773356552098e-06,1.5890882936507936e-05,2.189221114016869e-06,3.1537896825396623e-07,1.3056221638339771e-08,1.02051270428093,0.0037386196612268336
Standard,KCl,-0.1,40.0,0.4,1.562323293650794e-05,2.1719620965973364e-06,1.5713911904761904e-05,2.23598949324206e-06,9.067896825396735e-08,6.402739664472327e-08,1.0055730960497402,0.003323437823336775
Standard,KCl,0.1,40.0,0.4,1.5701800396825394e-05,2.171900365052943e-06,1.5801527380952385e-05,2.2021420874534103e-06,9.972698412698943e-08,3.0241722400466356e-08,1.006278164551301,0.0010575968423971432
Standard,KCl,0.2,40.0,0.4,1.5523463492063493e-05,2.1822022374198027e-06,1.573354246031746e-05,2.1492179508608855e-06,2.100789682539674e-07,3.298428655891643e-08,1.013818881016866,0.004067383523325179
Standard,KCl,0.3,40.0,0.4,1.5537844841269843e-05,2.084527781907761e-06,1.6011984920634918e-05,2.016493446836312e-06,4.741400793650776e-07,6.803433507144744e-08,1.0310886633966985,0.008549417179878855
Standard,KCl,0.4,40.0,0.4,1.5648492460317462e-05,2.177851285932079e-06,1.646109682539683e-05,2.103201574085523e-06,8.126043650793663e-07,7.464971184655597e-08,1.0527716322889416,0.012114807836505941
Standard,KCl,0.5,40.0,0.4,1.5612588095238095e-05,2.270773534917857e-06,1.7131743650793653e-05,2.074223664757469e-06,1.5191555555555567e-06,1.965498701603875e-07,1.099268745780488,0.027027338987564077
