Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
Standard,MgCl2,-0.8,0.1,0.05,3.02095996007984e-06,8.587816836695718e-07,3.019294544244844e-06,8.589513280254486e-07,-1.665415834996248e-09,3.200730520403236e-08,0.9990890151181335,0.011237496479109061
Standard,MgCl2,-0.7,0.1,0.05,2.988837950765137e-06,8.466066722622285e-07,3.0239424351297407e-06,8.313197950044399e-07,3.510448436460412e-08,1.674607923589115e-08,1.0134006145319796,0.008806029381248864
Standard,MgCl2,-0.6,0.1,0.05,2.987854431137725e-06,8.203863940909247e-07,2.9932319560878245e-06,8.123890804011043e-07,5.377524950099824e-09,1.0549502907868753e-08,1.0023529329995058,0.003530534922501057
Standard,MgCl2,-0.5,0.1,0.05,2.995357651363939e-06,8.170398724875594e-07,2.9913840385894877e-06,8.191763675823325e-07,-3.973612774451128e-09,2.5381742803227658e-08,0.9982286077388723,0.009247431878846427
Standard,MgCl2,-0.4,0.1,0.05,2.990138609447771e-06,8.294681795729993e-07,2.9828495608782434e-06,8.23335046363023e-07,-7.289048569527872e-09,1.3889247815091871e-08,0.9979758653492935,0.005052103332034378
Standard,MgCl2,-0.3,0.1,0.05,2.957937132401863e-06,8.461025060610305e-07,2.9720232268795745e-06,8.641790778077228e-07,1.4086094477711077e-08,3.206572891183442e-08,1.0040936775543166,0.009020169331826661
Standard,MgCl2,-0.2,0.1,0.05,2.980961962741184e-06,8.40356212804753e-07,3.014623067198935e-06,8.411049497525344e-07,3.366110445775086e-08,2.0311687582074384e-08,1.0116804378827235,0.0068036322645814665
Standard,MgCl2,-0.1,0.1,0.05,2.989789787092482e-06,7.931584665936252e-07,2.9940646773120426e-06,8.011912496695782e-07,4.274890219560696e-09,2.430578492559937e-08,1.0012355272530928,0.007603225597718663
Standard,MgCl2,0.1,0.1,0.05,2.99797502994012e-06,8.113675211746387e-07,3.004050339321358e-06,8.189672828020244e-07,6.075309381237749e-09,8.262788288785978e-09,1.0016712496852314,0.002116058272935018
Standard,MgCl2,0.2,0.1,0.05,2.996269747172322e-06,8.340577369439891e-07,2.9841266400532267e-06,8.301161307623668e-07,-1.214310711909542e-08,1.2081140552386815e-08,0.9961133751730887,0.0039891962825380645
Standard,MgCl2,0.3,0.1,0.05,3.013123858948769e-06,8.55772903571442e-07,2.997332687957419e-06,8.402119403312414e-07,-1.579117099135057e-08,3.0749622402919656e-08,0.995249593213583,0.008693428118181686
Standard,MgCl2,0.4,0.1,0.05,2.974275695276115e-06,8.257834192758392e-07,2.980842987358616e-06,8.243267985802752e-07,6.5672920825013e-09,2.7221920134617988e-08,1.0021643976764565,0.009234998419942303
Standard,MgCl2,0.5,0.1,0.05,2.9941598802395212e-06,8.421610316969407e-07,3.0121722222222224e-06,8.252470663222414e-07,1.8012341982701217e-08,1.919447939216437e-08,1.007410923857157,0.007653848389170374
Standard,MgCl2,0.6,0.1,0.05,2.959444011976048e-06,8.356715343397273e-07,2.999989427811044e-06,8.360080779415279e-07,4.0545415834996576e-08,6.742131839455959e-09,1.014399398849464,0.004067863222912476
Standard,MgCl2,0.7,0.1,0.05,2.9861572455089822e-06,8.018065618263597e-07,3.0254254357950767e-06,8.204333312432536e-07,3.9268190286094205e-08,3.826115756648882e-08,1.013001842285087,0.011046191666012846
Standard,MgCl2,0.8,0.1,0.05,3.018945675316034e-06,8.260275720226946e-07,3.0517339387890887e-06,8.609785235115692e-07,3.278826347305458e-08,4.2354384773219406e-08,1.0094229831978498,0.010401748788132456
