Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
Standard,MgCl2,-0.8,0.1,0.1,5.294645508982035e-06,1.7350793240374519e-06,5.25722500998004e-06,1.780955202011382e-06,-3.742049900199596e-08,4.592123667730018e-08,0.9901614695991957,0.012970036807391885
Standard,MgCl2,-0.7,0.1,0.1,5.249253845642049e-06,1.7256148859064906e-06,5.258732022621424e-06,1.7404105501817775e-06,9.478176979374045e-09,4.764761799514493e-08,1.0016594587809031,0.008231290684659207
Standard,MgCl2,-0.6,0.1,0.1,5.236063998669328e-06,1.6942827442859864e-06,5.240759394544245e-06,1.724263075718696e-06,4.695395874916906e-09,3.004049716841151e-08,0.9995542261454807,0.006268488320427496
Standard,MgCl2,-0.5,0.1,0.1,5.193202328675982e-06,1.684030793684253e-06,5.232272787757819e-06,1.7346341563418465e-06,3.9070459081836236e-08,5.4091407607329524e-08,1.0058480960132286,0.008063012743742737
Standard,MgCl2,-0.4,0.1,0.1,5.204314451097804e-06,1.7781035233042038e-06,5.213911516966068e-06,1.7626286382822337e-06,9.597065868263397e-09,1.7323250903800254e-08,1.0028883888063282,0.005123522124327303
Standard,MgCl2,-0.3,0.1,0.1,5.192528230206254e-06,1.7985238020527549e-06,5.220375568862276e-06,1.7851551268298237e-06,2.7847338656021323e-08,2.44485406520297e-08,1.006377756041321,0.005294083863355729
Standard,MgCl2,-0.2,0.1,0.1,5.215434351297405e-06,1.747962449424851e-06,5.212491803060546e-06,1.7428329829920343e-06,-2.942548236859824e-09,8.439513921407875e-09,0.9997064916972859,0.0018925790189703127
Standard,MgCl2,-0.1,0.1,0.1,5.21568e-06,1.804315297432154e-06,5.233034031936128e-06,1.7980563319165173e-06,1.7354031936127517e-08,1.4209854334472985e-08,1.0040984020793198,0.004475789055812962
Standard,MgCl2,0.1,0.1,0.1,5.2062813639387885e-06,1.7801121185153745e-06,5.246692035928145e-06,1.7870301803908473e-06,4.041067198935531e-08,7.131900891877608e-09,1.0081337524523357,0.0017482665003493085
Standard,MgCl2,0.2,0.1,0.1,5.199960093147039e-06,1.7800479375978446e-06,5.215124936793081e-06,1.7477044864039417e-06,1.5164843646041412e-08,3.457056715353128e-08,1.004983543635104,0.009870189382205715
Standard,MgCl2,0.3,0.1,0.1,5.201411663339987e-06,1.7615824188500282e-06,5.2273948569527606e-06,1.7635461678400742e-06,2.598319361277374e-08,3.4739333717360574e-09,1.0053174090152608,0.001451014058209138
Standard,MgCl2,0.4,0.1,0.1,5.193813166999335e-06,1.80499272410892e-06,5.193139041916168e-06,1.7829575304486552e-06,-6.741250831675204e-10,2.901898743836859e-08,1.000843950693011,0.004983256928419897
Standard,MgCl2,0.5,0.1,0.1,5.183867092481703e-06,1.7322830419092299e-06,5.204243107119095e-06,1.7433765269815802e-06,2.0376014637392724e-08,1.2988633934289901e-08,1.0037770224042537,0.001325186433880893
Standard,MgCl2,0.6,0.1,0.1,5.219170039920159e-06,1.7359772743679252e-06,5.223159421157685e-06,1.7263700073089814e-06,3.98938123752477e-09,9.710592829725468e-09,1.0013227268662084,0.0026170283792799035
Standard,MgCl2,0.7,0.1,0.1,5.2314955023286765e-06,1.693382330432553e-06,5.246065568862276e-06,1.7350235855360895e-06,1.457006653359929e-08,4.75700140600663e-08,1.0012286366322667,0.0078206954338677
Standard,MgCl2,0.8,0.1,0.1,5.230971929474385e-06,1.7380000825885435e-06,5.292852947438457e-06,1.7916557640150926e-06,6.188101796407227e-08,6.842968681471591e-08,1.0106213869309817,0.008881039762919306
