Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
Standard,MgCl2,-0.5,0.1,0.4,2.0803053226879576e-05,7.0141485689475464e-06,2.0854893280106457e-05,7.008839258738363e-06,5.18400532268813e-08,4.1368868138686586e-08,1.0028474473608886,0.002321184901040674
Standard,MgCl2,-0.4,0.1,0.4,2.0918066467065865e-05,7.013374723391618e-06,2.099120192947439e-05,7.058845705255604e-06,7.313546240851951e-08,4.9178540753619314e-08,1.0031979254260157,0.001517331340895633
Standard,MgCl2,-0.3,0.1,0.4,2.1055835861610108e-05,7.088087322591164e-06,2.1153718895542246e-05,7.168360136762327e-06,9.788303393213562e-08,8.346320652645696e-08,1.003967076414373,0.0031534517966898697
Standard,MgCl2,-0.2,0.1,0.4,2.1189242514970064e-05,7.147637190051003e-06,2.1308903193612775e-05,7.167024191303408e-06,1.1966067864271256e-07,2.464722952550702e-08,1.005946819300407,0.0014494581957001916
Standard,MgCl2,-0.1,0.1,0.4,2.1368093147039252e-05,7.191756212093659e-06,2.1470939454424487e-05,7.247431136913601e-06,1.0284630738522964e-07,6.226693519102189e-08,1.0045015827586157,0.0017923256571816756
Standard,MgCl2,0.1,0.1,0.4,2.147019254823686e-05,7.202712328685066e-06,2.1569906852960746e-05,7.2691755683551144e-06,9.971430472388567e-08,8.010989603203266e-08,1.0041621608734312,0.0028121823898441907
Standard,MgCl2,0.2,0.1,0.4,2.1260403393213574e-05,7.166774720373304e-06,2.1394488423153693e-05,7.216963716677469e-06,1.340850299401181e-07,5.0402746211590025e-08,1.0062361881746693,0.0003603016737414098
Standard,MgCl2,0.3,0.1,0.4,2.111487112441783e-05,7.121558286090826e-06,2.1240875116433796e-05,7.156465247831591e-06,1.2600399201596625e-07,4.145205497705952e-08,1.0060705038083475,0.0009907976915128902
Standard,MgCl2,0.4,0.1,0.4,2.094901536926148e-05,7.06849631790478e-06,2.1102583033932133e-05,7.072597258661426e-06,1.5356766467065908e-07,1.6294547368220514e-08,1.0080374420568121,0.0032206282055405678
Standard,MgCl2,0.5,0.1,0.4,2.0812397272122425e-05,6.9916201871245195e-06,2.0994800864936795e-05,7.080174166050796e-06,1.8240359281437183e-07,8.961125482086418e-08,1.008358269285858,0.0019109539553019892
