Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
Standard,MgCl2,-0.8,1.0,0.05,3.2296177999999997e-06,9.132811361058104e-07,3.1967150000000004e-06,8.904636200748693e-07,-3.290279999999971e-08,3.918413072711923e-08,0.9904694187427977,0.009319034547927969
Standard,MgCl2,-0.7,1.0,0.05,3.1022224666666667e-06,8.532465377674926e-07,3.0894275333333336e-06,8.580897535000483e-07,-1.2794933333333139e-08,1.554666390751832e-08,0.9951788474230795,0.006370032569763832
Standard,MgCl2,-0.6,1.0,0.05,3.0249752000000005e-06,7.979572557714107e-07,3.0436513333333334e-06,8.008549009336794e-07,1.8676133333333363e-08,3.1317407122132234e-08,1.006051126610801,0.010169451237066003
Standard,MgCl2,-0.5,1.0,0.05,3.0342740666666667e-06,8.082630901360854e-07,3.0450035333333334e-06,8.152051771396534e-07,1.0729466666666722e-08,9.365676510179912e-09,1.0032090550654946,0.0028999018287078483
Standard,MgCl2,-0.4,1.0,0.05,3.020605666666666e-06,8.148108849551366e-07,3.0124978666666666e-06,7.958568645113601e-07,-8.107799999999892e-09,2.709453915533522e-08,0.9982376896495833,0.007476955511337643
Standard,MgCl2,-0.3,1.0,0.05,2.9958886666666668e-06,8.080368020141988e-07,3.0355456e-06,8.380533505526248e-07,3.965693333333291e-08,3.0964668294901846e-08,1.0120141715905266,0.006964923911890189
Standard,MgCl2,-0.2,1.0,0.05,3.006778000000001e-06,8.368861082292147e-07,3.010512e-06,8.101307545443019e-07,3.733999999999876e-09,2.7010394241477064e-08,1.003123406732015,0.010147057176681889
Standard,MgCl2,-0.1,1.0,0.05,3.045558266666667e-06,8.372146653800407e-07,3.0333203333333335e-06,7.899551600997699e-07,-1.223793333333364e-08,4.794449640337574e-08,0.99897661890816,0.017107754741447524
Standard,MgCl2,0.1,1.0,0.05,3.0277573333333335e-06,8.066630158440472e-07,3.022194733333333e-06,8.073255223990459e-07,-5.562599999999854e-09,4.145312740915754e-09,0.9980645685989322,0.001359743414388763
Standard,MgCl2,0.2,1.0,0.05,3.0260094e-06,8.16814192167325e-07,3.033002333333333e-06,8.132282482748944e-07,6.9929333333333624e-09,4.0532382121130176e-08,1.0023271404061727,0.013193706877548408
Standard,MgCl2,0.3,1.0,0.05,2.999782933333333e-06,7.966170171734303e-07,2.9939016666666663e-06,7.924479399755252e-07,-5.881266666666565e-09,4.173268437727564e-09,0.9982080734787703,0.0009558326713436071
Standard,MgCl2,0.4,1.0,0.05,3.040631533333334e-06,8.188680298223969e-07,3.0293467333333337e-06,8.046277015430508e-07,-1.1284800000000416e-08,1.6620764084722778e-08,0.9971059267104277,0.0056885835988219405
Standard,MgCl2,0.5,1.0,0.05,2.9846830666666668e-06,7.826838046140044e-07,3.0213201999999994e-06,8.196222062936314e-07,3.663713333333272e-08,4.1647087530502684e-08,1.0103438649676264,0.013674729540498106
Standard,MgCl2,0.6,1.0,0.05,3.003755733333333e-06,8.215900016785094e-07,3.0281544e-06,8.078394951243468e-07,2.4398666666666627e-08,2.8673338323490598e-08,1.0098051774597103,0.013056602975627291
Standard,MgCl2,0.7,1.0,0.05,3.0055042e-06,8.283096939481513e-07,3.0997581333333333e-06,8.552006710473594e-07,9.425393333333347e-08,2.9170238527878955e-08,1.0314124680644732,0.0036425490473524147
Standard,MgCl2,0.8,1.0,0.05,3.0326850666666666e-06,8.199980866878247e-07,3.2662548e-06,8.863565664897621e-07,2.3356973333333314e-07,6.823079698503722e-08,1.076961151930189,0.005091597781723075
