Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
Standard,KCl,-0.8,40.0,0.05,3.5875057407407405e-06,9.983740161106894e-07,3.025267195767196e-06,8.870351856399388e-07,-5.622385449735446e-07,1.3447303086967114e-07,0.8408939985635806,0.027382774039859534
Standard,KCl,-0.7,40.0,0.05,3.18437164021164e-06,9.02271693737235e-07,3.0206946031746033e-06,8.253812307296994e-07,-1.6367703703703635e-07,9.177052056041828e-08,0.9501387113594967,0.018949620040173833
Standard,KCl,-0.6,40.0,0.05,2.8849590211640214e-06,8.116825779097558e-07,2.857301904761905e-06,8.221649857839365e-07,-2.765711640211652e-08,9.040081893997722e-08,0.989440093953482,0.03776123980511326
Standard,KCl,-0.5,40.0,0.05,2.749918888888889e-06,7.995286843698506e-07,2.7847040476190474e-06,8.073004411844157e-07,3.47851587301583e-08,5.635402460794178e-08,1.0126602468694623,0.024145521668289083
Standard,KCl,-0.4,40.0,0.05,2.718003412698413e-06,8.237532042859891e-07,2.742003253968254e-06,8.282953437394856e-07,2.39998412698414e-08,6.238922922088786e-08,1.0088403974502194,0.02736922769982149
Standard,KCl,-0.3,40.0,0.05,2.7423490740740746e-06,7.896778993252927e-07,2.7587813492063493e-06,8.267583351247844e-07,1.6432275132274895e-08,7.603362095230772e-08,1.0038394042331762,0.03210189388215715
Standard,KCl,-0.2,40.0,0.05,2.743327301587302e-06,8.091721954926735e-07,2.81059537037037e-06,8.386069712291405e-07,6.726806878306838e-08,2.950610623826071e-08,1.0238887494923787,0.003396090628275464
Standard,KCl,-0.1,40.0,0.05,2.7589694973544977e-06,8.365389781972051e-07,2.770071507936508e-06,7.935340101371678e-07,1.1102010582010252e-08,4.303465757367983e-08,1.0071212179821838,0.015422230431604825
Standard,KCl,0.1,40.0,0.05,2.75994828042328e-06,8.199833087040562e-07,2.7815501587301585e-06,8.000833792869409e-07,2.160187830687852e-08,2.0145590375234238e-08,1.0095816130709705,0.009110040710713654
Standard,KCl,0.2,40.0,0.05,2.7413721164021164e-06,8.49002537860389e-07,2.7433284126984128e-06,8.230710545336352e-07,1.9562962962963662e-09,2.739309931729888e-08,1.002491155591357,0.009163855763524407
Standard,KCl,0.3,40.0,0.05,2.7057665873015874e-06,8.042098090228087e-07,2.715133227513228e-06,8.20848151628554e-07,9.366640211640046e-09,1.7881865084663485e-08,1.002495388082176,0.005896238333425736
Standard,KCl,0.4,40.0,0.05,2.669215026455027e-06,8.071775449673297e-07,2.6864981481481483e-06,8.185610310125782e-07,1.7283121693121875e-08,4.0513748449833556e-08,1.0063664513114496,0.017328310120184952
Standard,KCl,0.5,40.0,0.05,2.675333148148148e-06,8.190583438948546e-07,2.7436111111111113e-06,7.944199186760331e-07,6.827796296296311e-08,6.202442570657124e-08,1.0293243545710278,0.03254764851838238
Standard,KCl,0.6,40.0,0.05,2.655843624338624e-06,7.599888500552682e-07,2.854432301587301e-06,8.207518375874987e-07,1.9858867724867688e-07,7.720851145621626e-08,1.0749451289222502,0.0217844329723363
Standard,KCl,0.7,40.0,0.05,2.6907883862433866e-06,7.555975328716283e-07,3.09909544973545e-06,8.685812945487382e-07,4.0830706349206375e-07,1.3360526262842127e-07,1.1525673798920522,0.03361595281514729
Standard,KCl,0.8,40.0,0.05,2.8150745767195766e-06,7.656830269106015e-07,3.5057307671957667e-06,9.447024582578685e-07,6.906561904761903e-07,1.9600282131456972e-07,1.2466439728906682,0.037626704129283525
