Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
Standard,MgCl2,-0.7,1.0,0.2,1.1521021466666666e-05,3.883678555032285e-06,1.1358101133333333e-05,3.833649037163817e-06,-1.6292033333333314e-07,5.0188648680087975e-08,0.9857250568818919,0.0006712715886211176
Standard,MgCl2,-0.6,1.0,0.2,1.1289918200000001e-05,3.8106594774940096e-06,1.1277597e-05,3.836209986569166e-06,-1.2321199999999971e-08,2.5926077657834058e-08,0.9981020636891249,0.0035918734409052244
Standard,MgCl2,-0.5,1.0,0.2,1.1192875800000002e-05,3.7503287895782313e-06,1.1247002733333333e-05,3.772178405929234e-06,5.412693333333198e-08,2.379676383488571e-08,1.004739557070461,0.0008227816948694809
Standard,MgCl2,-0.4,1.0,0.2,1.1192081733333333e-05,3.7031729900340626e-06,1.1212429933333333e-05,3.744422970923453e-06,2.034819999999998e-08,5.220043995714909e-08,1.0009077342225052,0.004757541063207036
Standard,MgCl2,-0.3,1.0,0.2,1.1214729266666667e-05,3.75220274437275e-06,1.1258759199999999e-05,3.7442744812111627e-06,4.4029933333332286e-08,1.1706362749092028e-08,1.0045384623448756,0.0028118727889055815
Standard,MgCl2,-0.2,1.0,0.2,1.1260355266666668e-05,3.7163438901524203e-06,1.1295636266666666e-05,3.7268385225019096e-06,3.528099999999803e-08,1.276577968633129e-08,1.0031606855122122,0.0005555616858377683
Standard,MgCl2,-0.1,1.0,0.2,1.13320328e-05,3.7525415371160277e-06,1.1340219666666667e-05,3.764279663259138e-06,8.186866666667218e-09,1.2136633052594597e-08,1.0004848953209422,0.0010968713754589397
Standard,MgCl2,0.1,1.0,0.2,1.1302551333333332e-05,3.761103694084667e-06,1.1346812266666669e-05,3.7757981815538037e-06,4.426093333333592e-08,3.391552132303586e-08,1.0039306475237122,0.0022759234592150185
Standard,MgCl2,0.2,1.0,0.2,1.12849112e-05,3.718223514067588e-06,1.1279663733333333e-05,3.7347669344665952e-06,-5.247466666666162e-09,2.6678877938424756e-08,0.9990438570012268,0.0027542883707209706
Standard,MgCl2,0.3,1.0,0.2,1.1220693733333335e-05,3.7123370899946324e-06,1.1264960866666666e-05,3.73691838950104e-06,4.4267133333332705e-08,3.594831720474831e-08,1.0036715207317286,0.0023450629954872427
Standard,MgCl2,0.4,1.0,0.2,1.1161242666666667e-05,3.6838151316157728e-06,1.1215050266666665e-05,3.7148342747572733e-06,5.380760000000014e-08,3.660725219515874e-08,1.004460417114087,0.00221669977313612
Standard,MgCl2,0.5,1.0,0.2,1.1102039066666666e-05,3.694622481523033e-06,1.1254153666666667e-05,3.74203341233778e-06,1.521146000000011e-07,4.7448796417612685e-08,1.0137898727223167,0.00042652726836580674
Standard,MgCl2,0.6,1.0,0.2,1.1086783466666667e-05,3.7082685713534895e-06,1.1374080266666669e-05,3.808346152034427e-06,2.8729680000000204e-07,1.0993341685002031e-07,1.0258364107491038,0.0034998858247182814
Standard,MgCl2,0.7,1.0,0.2,1.1100924733333331e-05,3.718655901153643e-06,1.1620836933333334e-05,3.9566164085706645e-06,5.199122000000004e-07,2.4713566932865163e-07,1.045154478400907,0.009033792807753826
