Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,5.71013e-06,5.66244e-06,5.55515e-06,5.47171e-06,5.54323e-06,5.53131e-06,5.49555e-06,5.44786e-06
0.01,5.36442e-06,5.32866e-06,5.22137e-06,5.36442e-06,5.43594e-06,5.31673e-06,5.36442e-06,5.32866e-06
0.02,5.3525e-06,5.28097e-06,5.28097e-06,5.30481e-06,5.28097e-06,5.4121e-06,5.31673e-06,5.38826e-06
0.03,5.36442e-06,5.31673e-06,5.24521e-06,5.1856e-06,5.31673e-06,5.37634e-06,5.25713e-06,5.43594e-06
0.04,5.29289e-06,5.32866e-06,5.19753e-06,5.23329e-06,5.20945e-06,5.25713e-06,5.3525e-06,5.31673e-06
0.05,5.31673e-06,5.28097e-06,5.13792e-06,5.28097e-06,5.37634e-06,5.29289e-06,5.28097e-06,5.31673e-06
0.06,5.25713e-06,5.32866e-06,5.126e-06,5.1856e-06,5.19753e-06,5.38826e-06,5.16176e-06,5.37634e-06
0.07,5.28097e-06,5.32866e-06,5.25713e-06,5.24521e-06,5.1856e-06,5.36442e-06,5.32866e-06,5.24521e-06
0.08,5.3525e-06,5.32866e-06,5.22137e-06,5.32866e-06,5.3525e-06,5.31673e-06,5.25713e-06,5.19753e-06
0.09,5.38826e-06,5.29289e-06,5.14984e-06,5.16176e-06,5.26905e-06,5.3525e-06,5.1856e-06,5.34058e-06
0.1,5.4121e-06,5.22137e-06,5.13792e-06,5.14984e-06,5.26905e-06,5.28097e-06,5.28097e-06,5.29289e-06
0.11,5.31673e-06,5.30481e-06,5.19753e-06,5.28097e-06,5.19753e-06,5.25713e-06,5.25713e-06,5.24521e-06
0.12,5.32866e-06,5.25713e-06,5.25713e-06,5.29289e-06,5.31673e-06,5.29289e-06,5.28097e-06,5.3525e-06
0.13,5.31673e-06,5.28097e-06,5.13792e-06,5.25713e-06,5.19753e-06,5.26905e-06,5.16176e-06,5.29289e-06
0.14,5.20945e-06,5.20945e-06,5.126e-06,5.30481e-06,5.22137e-06,5.34058e-06,5.25713e-06,5.29289e-06
0.15,5.32866e-06,5.20945e-06,5.09024e-06,5.36442e-06,5.29289e-06,5.36442e-06,5.26905e-06,5.22137e-06
0.16,5.3525e-06,5.34058e-06,5.20945e-06,5.29289e-06,5.25713e-06,5.25713e-06,5.16176e-06,5.34058e-06
0.17,5.3525e-06,5.3525e-06,5.126e-06,5.126e-06,5.22137e-06,5.31673e-06,5.34058e-06,5.25713e-06
0.18,5.30481e-06,5.29289e-06,5.17368e-06,5.22137e-06,5.32866e-06,5.37634e-06,5.29289e-06,5.30481e-06
0.19,5.25713e-06,5.30481e-06,5.14984e-06,5.26905e-06,5.30481e-06,5.3525e-06,5.25713e-06,5.32866e-06
0.2,5.28097e-06,5.4121e-06,5.22137e-06,5.22137e-06,5.25713e-06,5.22137e-06,5.16176e-06,5.3525e-06
0.21,5.24521e-06,5.31673e-06,5.30481e-06,5.19753e-06,5.22137e-06,5.29289e-06,5.24521e-06,5.25713e-06
0.22,5.28097e-06,5.25713e-06,5.126e-06,5.24521e-06,5.24521e-06,5.3525e-06,5.31673e-06,5.31673e-06
0.23,5.32866e-06,5.10216e-06,5.10216e-06,5.23329e-06,5.1856e-06,5.31673e-06,5.29289e-06,5.31673e-06
0.24,5.28097e-06,5.37634e-06,5.16176e-06,5.17368e-06,5.1856e-06,5.38826e-06,5.22137e-06,5.28097e-06
0.25,5.4121e-06,5.37634e-06,5.19753e-06,5.28097e-06,5.28097e-06,5.32866e-06,5.38826e-06,5.28097e-06
0.26,5.28097e-06,5.31673e-06,5.17368e-06,5.30481e-06,5.30481e-06,5.34058e-06,5.32866e-06,5.31673e-06
0.27,5.30481e-06,5.23329e-06,5.16176e-06,5.23329e-06,5.25713e-06,5.3525e-06,5.19753e-06,5.28097e-06
0.28,5.24521e-06,5.25713e-06,5.16176e-06,5.23329e-06,5.16176e-06,5.26905e-06,5.31673e-06,5.19753e-06
0.29,5.13792e-06,5.37634e-06,5.22137e-06,5.32866e-06,5.28097e-06,5.28097e-06,5.37634e-06,5.3525e-06
0.3,5.28097e-06,5.30481e-06,5.16176e-06,5.28097e-06,5.19753e-06,5.37634e-06,5.24521e-06,5.31673e-06
0.31,5.43594e-06,5.28097e-06,5.13792e-06,5.17368e-06,5.30481e-06,5.32866e-06,5.25713e-06,5.29289e-06
0.32,5.4121e-06,5.3525e-06,5.17368e-06,5.23329e-06,5.22137e-06,5.20945e-06,5.34058e-06,5.3525e-06
0.33,5.37634e-06,5.34058e-06,5.16176e-06,5.28097e-06,5.25713e-06,5.36442e-06,5.24521e-06,5.37634e-06
0.34,5.23329e-06,5.26905e-06,5.19753e-06,5.19753e-06,5.1856e-06,5.3525e-06,5.13792e-06,5.32866e-06
0.35,5.32866e-06,5.28097e-06,5.1856e-06,5.26905e-06,5.19753e-06,5.26905e-06,5.28097e-06,5.23329e-06
0.36,5.31673e-06,5.34058e-06,5.13792e-06,5.25713e-06,5.25713e-06,5.3525e-06,5.31673e-06,5.3525e-06
0.37,5.40018e-06,5.32866e-06,5.28097e-06,5.23329e-06,5.22137e-06,5.29289e-06,5.24521e-06,5.28097e-06
0.38,5.37634e-06,5.31673e-06,5.25713e-06,5.11408e-06,5.16176e-06,5.32866e-06,5.25713e-06,5.32866e-06
0.39,5.37634e-06,5.22137e-06,5.22137e-06,5.26905e-06,5.30481e-06,5.34058e-06,5.37634e-06,5.30481e-06
0.4,5.4121e-06,5.34058e-06,5.13792e-06,5.26905e-06,5.24521e-06,5.31673e-06,5.31673e-06,5.26905e-06
0.41,5.3525e-06,5.36442e-06,5.17368e-06,5.20945e-06,5.19753e-06,5.30481e-06,5.24521e-06,5.22137e-06
0.42,5.3525e-06,5.30481e-06,5.23329e-06,5.1856e-06,5.19753e-06,5.37634e-06,5.3525e-06,5.34058e-06
0.43,5.29289e-06,5.3525e-06,5.1856e-06,5.28097e-06,5.25713e-06,5.30481e-06,5.34058e-06,5.4121e-06
0.44,5.20945e-06,5.34058e-06,5.19753e-06,5.25713e-06,5.25713e-06,5.22137e-06,5.30481e-06,5.28097e-06
0.45,5.3525e-06,5.34058e-06,5.10216e-06,5.16176e-06,5.17368e-06,5.34058e-06,5.31673e-06,5.29289e-06
0.46,5.47171e-06,5.31673e-06,5.31673e-06,5.29289e-06,5.22137e-06,5.30481e-06,5.28097e-06,5.31673e-06
0.47,5.37634e-06,5.29289e-06,5.26905e-06,5.36442e-06,5.29289e-06,5.38826e-06,5.24521e-06,5.32866e-06
0.48,5.32866e-06,5.22137e-06,5.20945e-06,5.29289e-06,5.16176e-06,5.3525e-06,5.16176e-06,5.20945e-06
0.49,5.23329e-06,5.36442e-06,5.04255e-06,5.31673e-06,5.31673e-06,5.28097e-06,5.3525e-06,5.31673e-06
0.5,5.31673e-06,5.37634e-06,5.16176e-06,5.37634e-06,5.30481e-06,5.40018e-06,5.29289e-06,5.3525e-06
0.51,5.25713e-06,5.29289e-06,5.28097e-06,5.30481e-06,5.25713e-06,5.43594e-06,5.25713e-06,5.29289e-06
0.52,5.3525e-06,5.31673e-06,5.16176e-06,5.24521e-06,5.23329e-06,5.30481e-06,5.22137e-06,5.30481e-06
0.53,5.37634e-06,5.34058e-06,5.13792e-06,5.30481e-06,5.28097e-06,5.37634e-06,5.30481e-06,5.40018e-06
0.54,5.4121e-06,5.36442e-06,5.16176e-06,5.37634e-06,5.3525e-06,5.30481e-06,5.24521e-06,5.37634e-06
0.55,5.38826e-06,5.31673e-06,5.22137e-06,5.22137e-06,5.19753e-06,5.24521e-06,5.19753e-06,5.24521e-06
0.56,5.28097e-06,5.38826e-06,5.13792e-06,5.29289e-06,5.36442e-06,5.34058e-06,5.24521e-06,5.37634e-06
0.57,5.34058e-06,5.3525e-06,5.14984e-06,5.32866e-06,5.37634e-06,5.28097e-06,5.28097e-06,5.34058e-06
0.58,5.26905e-06,5.38826e-06,5.17368e-06,5.25713e-06,5.32866e-06,5.28097e-06,5.24521e-06,5.25713e-06
0.59,5.36442e-06,5.29289e-06,5.28097e-06,5.22137e-06,5.30481e-06,5.37634e-06,5.3525e-06,5.31673e-06
0.6,5.37634e-06,5.31673e-06,5.22137e-06,5.37634e-06,5.40018e-06,5.37634e-06,5.24521e-06,5.37634e-06
0.61,5.45979e-06,5.31673e-06,5.13792e-06,5.31673e-06,5.3525e-06,5.19753e-06,5.14984e-06,5.36442e-06
0.62,5.42402e-06,5.4121e-06,5.10216e-06,5.26905e-06,5.22137e-06,5.37634e-06,5.32866e-06,5.28097e-06
0.63,5.4121e-06,5.38826e-06,5.25713e-06,5.25713e-06,5.38826e-06,5.3525e-06,5.28097e-06,5.34058e-06
0.64,5.34058e-06,5.32866e-06,5.22137e-06,5.31673e-06,5.31673e-06,5.23329e-06,5.25713e-06,5.32866e-06
0.65,5.34058e-06,5.34058e-06,5.16176e-06,5.24521e-06,5.22137e-06,5.26905e-06,5.30481e-06,5.31673e-06
0.66,5.25713e-06,5.4121e-06,5.24521e-06,5.20945e-06,5.28097e-06,5.32866e-06,5.29289e-06,5.29289e-06
0.67,5.3525e-06,5.29289e-06,5.20945e-06,5.24521e-06,5.31673e-06,5.25713e-06,5.26905e-06,5.40018e-06
0.68,5.38826e-06,5.29289e-06,5.22137e-06,5.19753e-06,5.24521e-06,5.3525e-06,5.11408e-06,5.32866e-06
0.69,5.3525e-06,5.36442e-06,5.14984e-06,5.24521e-06,5.1856e-06,5.34058e-06,5.31673e-06,5.28097e-06
0.7,5.37634e-06,5.40018e-06,5.20945e-06,5.28097e-06,5.29289e-06,5.31673e-06,5.30481e-06,5.23329e-06
0.71,5.28097e-06,5.36442e-06,5.20945e-06,5.31673e-06,5.34058e-06,5.36442e-06,5.29289e-06,5.3525e-06
0.72,5.28097e-06,5.29289e-06,5.23329e-06,5.19753e-06,5.26905e-06,5.34058e-06,5.22137e-06,5.26905e-06
0.73,5.1856e-06,5.26905e-06,5.28097e-06,5.30481e-06,5.28097e-06,5.25713e-06,5.36442e-06,5.30481e-06
0.74,5.25713e-06,5.47171e-06,5.10216e-06,5.24521e-06,5.29289e-06,5.3525e-06,5.28097e-06,5.38826e-06
0.75,5.4121e-06,5.4121e-06,5.19753e-06,5.26905e-06,5.23329e-06,5.32866e-06,5.24521e-06,5.3525e-06
0.76,5.36442e-06,5.25713e-06,5.26905e-06,5.22137e-06,5.16176e-06,5.28097e-06,5.37634e-06,5.19753e-06
0.77,5.38826e-06,5.28097e-06,5.22137e-06,5.32866e-06,5.20945e-06,5.3525e-06,5.25713e-06,5.3525e-06
0.78,5.28097e-06,5.28097e-06,5.24521e-06,5.24521e-06,5.28097e-06,5.3525e-06,5.25713e-06,5.32866e-06
0.79,5.26905e-06,5.43594e-06,5.22137e-06,5.20945e-06,5.23329e-06,5.3525e-06,5.25713e-06,5.34058e-06
0.8,5.28097e-06,5.3525e-06,5.22137e-06,5.29289e-06,5.26905e-06,5.37634e-06,5.31673e-06,5.3525e-06
0.81,5.34058e-06,5.36442e-06,5.26905e-06,5.28097e-06,5.36442e-06,5.23329e-06,5.26905e-06,5.36442e-06
0.82,5.3525e-06,5.1856e-06,5.1856e-06,5.23329e-06,5.23329e-06,5.3525e-06,5.25713e-06,5.3525e-06
0.83,5.3525e-06,5.28097e-06,5.13792e-06,5.25713e-06,5.22137e-06,5.3525e-06,5.30481e-06,5.22137e-06
0.84,5.42402e-06,5.37634e-06,5.19753e-06,5.25713e-06,5.3525e-06,5.3525e-06,5.19753e-06,5.37634e-06
0.85,5.3525e-06,5.28097e-06,5.25713e-06,5.30481e-06,5.23329e-06,5.31673e-06,5.19753e-06,5.31673e-06
0.86,5.28097e-06,5.26905e-06,5.22137e-06,5.19753e-06,5.23329e-06,5.24521e-06,5.29289e-06,5.31673e-06
0.87,5.30481e-06,5.31673e-06,5.1856e-06,5.30481e-06,5.34058e-06,5.28097e-06,5.31673e-06,5.37634e-06
0.88,5.22137e-06,5.32866e-06,5.17368e-06,5.37634e-06,5.32866e-06,5.31673e-06,5.25713e-06,5.34058e-06
0.89,5.20945e-06,5.28097e-06,5.28097e-06,5.26905e-06,5.25713e-06,5.3525e-06,5.31673e-06,5.28097e-06
