Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,4.00543e-06,5.54323e-06,5.54323e-06,5.37634e-06,5.37634e-06,5.4121e-06,5.4121e-06,5.11408e-06
0.002,3.8743e-06,4.30346e-06,4.0412e-06,4.30346e-06,4.3869e-06,4.43459e-06,4.56572e-06,4.43459e-06
0.004,3.82662e-06,4.35114e-06,4.17233e-06,4.35114e-06,4.25577e-06,4.30346e-06,4.22001e-06,4.13656e-06
0.006,3.82662e-06,3.61204e-06,4.13656e-06,4.30346e-06,4.30346e-06,3.65973e-06,3.95775e-06,3.92199e-06
0.008,3.49283e-06,4.08888e-06,3.95775e-06,4.00543e-06,4.0412e-06,4.0412e-06,4.30346e-06,4.30346e-06
0.01,4.08888e-06,4.08888e-06,4.00543e-06,4.17233e-06,4.22001e-06,3.95775e-06,3.5286e-06,3.82662e-06
0.012,3.79086e-06,3.8743e-06,4.30346e-06,3.39746e-06,4.08888e-06,4.0412e-06,3.92199e-06,3.74317e-06
0.014,3.65973e-06,4.00543e-06,4.0412e-06,4.13656e-06,3.74317e-06,4.08888e-06,4.00543e-06,4.00543e-06
0.016,3.92199e-06,4.08888e-06,4.0412e-06,3.95775e-06,4.22001e-06,4.51803e-06,3.74317e-06,4.00543e-06
0.018,3.8743e-06,3.92199e-06,4.00543e-06,3.95775e-06,3.5286e-06,4.0412e-06,4.00543e-06,3.82662e-06
0.02,3.57628e-06,4.08888e-06,3.92199e-06,4.00543e-06,3.74317e-06,4.25577e-06,3.92199e-06,3.79086e-06
0.022,3.92199e-06,3.82662e-06,4.35114e-06,3.92199e-06,3.82662e-06,4.08888e-06,4.08888e-06,3.57628e-06
0.024,3.92199e-06,3.95775e-06,3.5286e-06,3.92199e-06,3.79086e-06,4.08888e-06,4.0412e-06,3.95775e-06
0.026,3.79086e-06,4.22001e-06,4.17233e-06,4.08888e-06,3.57628e-06,4.0412e-06,3.82662e-06,3.79086e-06
0.028,3.8743e-06,3.5286e-06,3.95775e-06,4.08888e-06,4.00543e-06,3.79086e-06,3.82662e-06,3.8743e-06
0.03,3.8743e-06,4.17233e-06,3.95775e-06,3.8743e-06,4.17233e-06,4.00543e-06,4.30346e-06,4.22001e-06
0.032,4.17233e-06,3.79086e-06,4.00543e-06,4.0412e-06,4.25577e-06,3.8743e-06,3.65973e-06,3.70741e-06
0.034,4.0412e-06,3.82662e-06,4.0412e-06,3.57628e-06,4.08888e-06,3.92199e-06,4.13656e-06,3.8743e-06
