Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,7.27177e-06,7.1764e-06,6.96182e-06,6.99759e-06,7.02143e-06,7.08103e-06,7.06911e-06,7.59363e-06
0.01,7.15256e-06,7.02143e-06,6.97374e-06,6.87838e-06,6.81877e-06,6.93798e-06,7.03335e-06,7.48634e-06
0.02,7.11679e-06,6.99759e-06,6.93798e-06,6.8903e-06,6.87838e-06,6.99759e-06,7.09295e-06,7.4029e-06
0.03,7.05719e-06,7.06911e-06,6.96182e-06,6.9499e-06,6.87838e-06,6.90222e-06,7.09295e-06,7.43866e-06
0.04,7.04527e-06,6.97374e-06,6.98566e-06,6.97374e-06,6.90222e-06,6.90222e-06,7.03335e-06,7.48634e-06
0.05,7.10487e-06,6.99759e-06,6.99759e-06,6.9499e-06,6.97374e-06,6.93798e-06,7.04527e-06,7.43866e-06
0.06,7.1764e-06,6.99759e-06,6.93798e-06,6.86646e-06,6.87838e-06,6.86646e-06,7.04527e-06,7.4029e-06
0.07,7.08103e-06,7.02143e-06,6.91414e-06,6.87838e-06,6.78301e-06,6.96182e-06,7.02143e-06,7.54595e-06
0.08,7.15256e-06,6.96182e-06,6.90222e-06,6.80685e-06,6.84261e-06,7.03335e-06,6.99759e-06,7.45058e-06
0.09,7.04527e-06,6.8903e-06,6.85453e-06,6.99759e-06,6.8903e-06,6.92606e-06,7.02143e-06,7.4625e-06
0.1,7.11679e-06,6.98566e-06,6.91414e-06,6.99759e-06,6.84261e-06,6.97374e-06,7.08103e-06,7.4625e-06
0.11,7.21216e-06,7.08103e-06,6.96182e-06,6.97374e-06,6.9499e-06,6.93798e-06,7.10487e-06,7.51019e-06
0.12,7.06911e-06,6.96182e-06,7.02143e-06,6.93798e-06,6.90222e-06,6.93798e-06,6.98566e-06,7.42674e-06
0.13,7.22408e-06,6.96182e-06,6.96182e-06,6.84261e-06,6.87838e-06,6.81877e-06,7.11679e-06,7.34329e-06
0.14,7.22408e-06,6.99759e-06,6.90222e-06,6.90222e-06,6.84261e-06,6.90222e-06,7.02143e-06,7.39098e-06
0.15,7.11679e-06,7.03335e-06,6.96182e-06,6.99759e-06,6.90222e-06,7.02143e-06,7.04527e-06,7.51019e-06
0.16,7.16448e-06,6.93798e-06,6.7234e-06,6.97374e-06,6.85453e-06,6.91414e-06,7.05719e-06,7.47442e-06
0.17,7.15256e-06,6.91414e-06,6.90222e-06,6.87838e-06,6.85453e-06,6.99759e-06,6.96182e-06,7.48634e-06
0.18,7.14064e-06,7.02143e-06,6.87838e-06,6.92606e-06,6.96182e-06,6.99759e-06,7.02143e-06,7.48634e-06
0.19,7.16448e-06,7.00951e-06,6.90222e-06,6.87838e-06,6.92606e-06,6.86646e-06,7.00951e-06,7.53403e-06
0.2,7.21216e-06,7.02143e-06,6.96182e-06,6.8903e-06,6.84261e-06,6.97374e-06,6.99759e-06,7.47442e-06
0.21,7.236e-06,6.97374e-06,6.9499e-06,6.9499e-06,6.96182e-06,6.96182e-06,7.10487e-06,7.4625e-06
0.22,7.15256e-06,7.00951e-06,6.93798e-06,6.99759e-06,6.87838e-06,6.8903e-06,7.05719e-06,7.45058e-06
0.23,7.11679e-06,6.98566e-06,6.96182e-06,6.97374e-06,6.87838e-06,6.93798e-06,6.97374e-06,7.51019e-06
