Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,6.40154e-06,6.38962e-06,6.42538e-06,6.44922e-06,6.4373e-06,6.48499e-06,6.60419e-06,6.59227e-06
0.100001,6.3777e-06,6.3777e-06,6.41346e-06,6.3777e-06,6.44922e-06,6.44922e-06,6.54459e-06,6.56843e-06
0.200002,6.36578e-06,6.36578e-06,6.36578e-06,6.3777e-06,6.42538e-06,6.47306e-06,6.58035e-06,6.56843e-06
0.300003,6.35386e-06,6.35386e-06,6.42538e-06,6.38962e-06,6.44922e-06,6.47306e-06,6.56843e-06,6.53267e-06
0.400004,6.38962e-06,6.36578e-06,6.40154e-06,6.40154e-06,6.4373e-06,6.47306e-06,6.61612e-06,6.53267e-06
0.500005,6.42538e-06,6.3777e-06,6.38962e-06,6.41346e-06,6.42538e-06,6.50883e-06,6.62804e-06,6.58035e-06
0.600006,6.42538e-06,6.38962e-06,6.40154e-06,6.46114e-06,6.4373e-06,6.50883e-06,6.62804e-06,6.59227e-06
0.700007,6.41346e-06,6.41346e-06,6.40154e-06,6.42538e-06,6.41346e-06,6.52075e-06,6.60419e-06,6.60419e-06
0.800008,6.40154e-06,6.38962e-06,6.40154e-06,6.42538e-06,6.41346e-06,6.52075e-06,6.60419e-06,6.59227e-06
0.900009,6.4373e-06,6.3777e-06,6.40154e-06,6.42538e-06,6.4373e-06,6.56843e-06,6.61612e-06,6.59227e-06
1.00001,6.42538e-06,6.40154e-06,6.38962e-06,6.41346e-06,6.46114e-06,6.58035e-06,6.60419e-06,6.58035e-06
1.10001,6.4373e-06,6.36578e-06,6.42538e-06,6.4373e-06,6.4373e-06,6.55651e-06,6.59227e-06,6.55651e-06
1.20001,6.47306e-06,6.3777e-06,6.3777e-06,6.42538e-06,6.47306e-06,6.54459e-06,6.60419e-06,6.59227e-06
1.30001,6.4373e-06,6.40154e-06,6.41346e-06,6.42538e-06,6.48499e-06,6.56843e-06,6.61612e-06,6.56843e-06
1.40001,6.47306e-06,6.38962e-06,6.41346e-06,6.42538e-06,6.47306e-06,6.54459e-06,6.60419e-06,6.54459e-06
1.50001,6.44922e-06,6.40154e-06,6.38962e-06,6.41346e-06,6.50883e-06,6.59227e-06,6.63996e-06,6.56843e-06
1.60002,6.44922e-06,6.42538e-06,6.40154e-06,6.42538e-06,6.50883e-06,6.58035e-06,6.62804e-06,6.58035e-06
1.70002,6.46114e-06,6.38962e-06,6.3777e-06,6.42538e-06,6.52075e-06,6.54459e-06,6.60419e-06,6.56843e-06
1.80002,6.42538e-06,6.3777e-06,6.3777e-06,6.38962e-06,6.49691e-06,6.55651e-06,6.56843e-06,6.60419e-06
1.90002,6.4373e-06,6.38962e-06,6.3777e-06,6.42538e-06,6.47306e-06,6.56843e-06,6.59227e-06,6.58035e-06
2.00002,6.46114e-06,6.41346e-06,6.36578e-06,6.41346e-06,6.47306e-06,6.54459e-06,6.59227e-06,6.58035e-06
2.10002,6.44922e-06,6.40154e-06,6.4373e-06,6.44922e-06,6.48499e-06,6.56843e-06,6.60419e-06,6.61612e-06
2.20002,6.4373e-06,6.38962e-06,6.42538e-06,6.44922e-06,6.47306e-06,6.58035e-06,6.61612e-06,6.62804e-06
2.30002,6.44922e-06,6.40154e-06,6.44922e-06,6.42538e-06,6.48499e-06,6.55651e-06,6.65188e-06,6.61612e-06
2.40002,6.48499e-06,6.42538e-06,6.4373e-06,6.44922e-06,6.48499e-06,6.55651e-06,6.62804e-06,6.59227e-06
2.50002,6.4373e-06,6.3777e-06,6.40154e-06,6.42538e-06,6.48499e-06,6.53267e-06,6.61612e-06,6.60419e-06
2.60003,6.46114e-06,6.38962e-06,6.42538e-06,6.4373e-06,6.52075e-06,6.54459e-06,6.62804e-06,6.58035e-06
2.70003,6.48499e-06,6.38962e-06,6.41346e-06,6.4373e-06,6.52075e-06,6.56843e-06,6.59227e-06,6.59227e-06
2.80003,6.49691e-06,6.41346e-06,6.42538e-06,6.46114e-06,6.52075e-06,6.59227e-06,6.59227e-06,6.63996e-06
2.90003,6.44922e-06,6.41346e-06,6.44922e-06,6.38962e-06,6.52075e-06,6.59227e-06,6.62804e-06,6.60419e-06
3.00003,6.47306e-06,6.41346e-06,6.46114e-06,6.4373e-06,6.53267e-06,6.59227e-06,6.62804e-06,6.61612e-06
3.10003,6.49691e-06,6.40154e-06,6.4373e-06,6.46114e-06,6.53267e-06,6.59227e-06,6.62804e-06,6.61612e-06
3.20003,6.46114e-06,6.38962e-06,6.44922e-06,6.4373e-06,6.54459e-06,6.59227e-06,6.65188e-06,6.60419e-06
3.30003,6.46114e-06,6.41346e-06,6.4373e-06,6.46114e-06,6.50883e-06,6.61612e-06,6.63996e-06,6.59227e-06
3.40003,6.48499e-06,6.41346e-06,6.40154e-06,6.44922e-06,6.50883e-06,6.61612e-06,6.61612e-06,6.63996e-06
