Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,3.46899e-06,3.45707e-06,3.38554e-06,3.45707e-06,3.40939e-06,3.49283e-06,3.57628e-06,3.69549e-06
0.100001,3.45707e-06,3.44515e-06,3.39746e-06,3.46899e-06,3.42131e-06,3.46899e-06,3.54052e-06,3.70741e-06
0.200002,3.46899e-06,3.42131e-06,3.42131e-06,3.46899e-06,3.43323e-06,3.50475e-06,3.56436e-06,3.73125e-06
0.300003,3.48091e-06,3.44515e-06,3.43323e-06,3.45707e-06,3.42131e-06,3.50475e-06,3.56436e-06,3.70741e-06
0.400004,3.48091e-06,3.42131e-06,3.42131e-06,3.45707e-06,3.43323e-06,3.48091e-06,3.56436e-06,3.73125e-06
0.500005,3.46899e-06,3.42131e-06,3.42131e-06,3.50475e-06,3.48091e-06,3.45707e-06,3.55244e-06,3.76701e-06
0.600006,3.44515e-06,3.43323e-06,3.38554e-06,3.5286e-06,3.45707e-06,3.50475e-06,3.5882e-06,3.77893e-06
0.700007,3.48091e-06,3.44515e-06,3.43323e-06,3.49283e-06,3.49283e-06,3.51667e-06,3.60012e-06,3.75509e-06
0.800008,3.44515e-06,3.44515e-06,3.43323e-06,3.49283e-06,3.49283e-06,3.50475e-06,3.60012e-06,3.75509e-06
0.900009,3.44515e-06,3.42131e-06,3.42131e-06,3.50475e-06,3.48091e-06,3.5286e-06,3.5882e-06,3.74317e-06
1.00001,3.45707e-06,3.43323e-06,3.44515e-06,3.50475e-06,3.48091e-06,3.51667e-06,3.61204e-06,3.70741e-06
1.10001,3.44515e-06,3.45707e-06,3.46899e-06,3.49283e-06,3.48091e-06,3.50475e-06,3.63588e-06,3.75509e-06
1.20001,3.46899e-06,3.45707e-06,3.48091e-06,3.49283e-06,3.45707e-06,3.50475e-06,3.61204e-06,3.76701e-06
1.30001,3.46899e-06,3.46899e-06,3.43323e-06,3.50475e-06,3.51667e-06,3.51667e-06,3.5882e-06,3.77893e-06
1.40001,3.43323e-06,3.48091e-06,3.43323e-06,3.44515e-06,3.49283e-06,3.51667e-06,3.5882e-06,3.77893e-06
1.50001,3.40939e-06,3.45707e-06,3.45707e-06,3.46899e-06,3.50475e-06,3.50475e-06,3.57628e-06,3.75509e-06
1.60002,3.45707e-06,3.45707e-06,3.50475e-06,3.45707e-06,3.45707e-06,3.51667e-06,3.60012e-06,3.76701e-06
1.70002,3.45707e-06,3.45707e-06,3.48091e-06,3.44515e-06,3.46899e-06,3.51667e-06,3.62396e-06,3.71933e-06
1.80002,3.48091e-06,3.45707e-06,3.45707e-06,3.48091e-06,3.44515e-06,3.49283e-06,3.62396e-06,3.75509e-06
1.90002,3.48091e-06,3.44515e-06,3.46899e-06,3.50475e-06,3.45707e-06,3.5286e-06,3.60012e-06,3.74317e-06
2.00002,3.46899e-06,3.43323e-06,3.45707e-06,3.46899e-06,3.46899e-06,3.51667e-06,3.61204e-06,3.75509e-06
2.10002,3.48091e-06,3.42131e-06,3.45707e-06,3.50475e-06,3.46899e-06,3.46899e-06,3.57628e-06,3.73125e-06
