Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,6.93798e-06,6.85453e-06,6.80685e-06,6.71148e-06,6.69956e-06,6.84261e-06,7.06911e-06,7.37906e-06
0.04,6.8903e-06,6.80685e-06,6.74725e-06,6.68764e-06,6.65188e-06,6.84261e-06,7.05719e-06,7.28369e-06
0.08,6.92606e-06,6.86646e-06,6.7234e-06,6.71148e-06,6.68764e-06,6.84261e-06,7.09295e-06,7.30753e-06
0.12,6.9499e-06,6.93798e-06,6.75917e-06,6.71148e-06,6.6638e-06,6.80685e-06,7.08103e-06,7.31945e-06
0.16,6.93798e-06,6.91414e-06,6.79493e-06,6.69956e-06,6.62804e-06,6.81877e-06,7.08103e-06,7.33137e-06
0.2,6.9499e-06,6.92606e-06,6.83069e-06,6.7234e-06,6.62804e-06,6.86646e-06,7.04527e-06,7.31945e-06
0.24,6.93798e-06,6.93798e-06,6.86646e-06,6.73532e-06,6.60419e-06,6.85453e-06,7.06911e-06,7.33137e-06
0.28,6.96182e-06,6.91414e-06,6.8903e-06,6.7234e-06,6.61612e-06,6.87838e-06,7.04527e-06,7.4029e-06
0.32,6.97374e-06,6.91414e-06,6.8903e-06,6.7234e-06,6.6638e-06,6.93798e-06,7.06911e-06,7.4029e-06
0.36,6.92606e-06,6.93798e-06,6.85453e-06,6.73532e-06,6.67572e-06,6.90222e-06,7.10487e-06,7.35521e-06
0.4,6.97374e-06,6.92606e-06,6.90222e-06,6.74725e-06,6.63996e-06,6.8903e-06,7.15256e-06,7.35521e-06
0.44,6.98566e-06,6.92606e-06,6.87838e-06,6.74725e-06,6.65188e-06,6.87838e-06,7.10487e-06,7.37906e-06
0.48,6.96182e-06,6.90222e-06,6.92606e-06,6.77109e-06,6.61612e-06,6.85453e-06,7.10487e-06,7.35521e-06
0.52,7.03335e-06,6.93798e-06,6.87838e-06,6.78301e-06,6.6638e-06,6.91414e-06,7.09295e-06,7.39098e-06
0.56,7.02143e-06,6.96182e-06,6.91414e-06,6.77109e-06,6.67572e-06,6.8903e-06,7.11679e-06,7.39098e-06
0.6,7.02143e-06,6.9499e-06,6.8903e-06,6.73532e-06,6.67572e-06,6.8903e-06,7.15256e-06,7.42674e-06
0.64,6.99759e-06,6.96182e-06,6.86646e-06,6.77109e-06,6.67572e-06,6.90222e-06,7.15256e-06,7.37906e-06
0.68,6.99759e-06,6.91414e-06,6.84261e-06,6.79493e-06,6.6638e-06,6.87838e-06,7.12872e-06,7.42674e-06
0.72,6.98566e-06,6.92606e-06,6.87838e-06,6.78301e-06,6.67572e-06,6.90222e-06,7.10487e-06,7.4029e-06
0.76,7.04527e-06,6.96182e-06,6.86646e-06,6.79493e-06,6.67572e-06,6.92606e-06,7.10487e-06,7.43866e-06
0.8,7.00951e-06,6.96182e-06,6.90222e-06,6.79493e-06,6.67572e-06,6.90222e-06,7.12872e-06,7.43866e-06
0.84,7.04527e-06,6.9499e-06,6.87838e-06,6.77109e-06,6.68764e-06,6.93798e-06,7.11679e-06,7.42674e-06
0.88,7.05719e-06,6.92606e-06,6.87838e-06,6.78301e-06,6.68764e-06,6.8903e-06,7.12872e-06,7.41482e-06
0.92,7.03335e-06,6.90222e-06,6.90222e-06,6.77109e-06,6.71148e-06,6.83069e-06,7.15256e-06,7.42674e-06
0.96,7.05719e-06,6.90222e-06,6.87838e-06,6.79493e-06,6.71148e-06,6.90222e-06,7.16448e-06,7.43866e-06
1.0,7.05719e-06,6.87838e-06,6.86646e-06,6.75917e-06,6.74725e-06,6.87838e-06,7.11679e-06,7.4029e-06
1.04,7.02143e-06,6.91414e-06,6.91414e-06,6.79493e-06,6.6638e-06,6.84261e-06,7.08103e-06,7.42674e-06
1.08,7.05719e-06,6.9499e-06,6.8903e-06,6.78301e-06,6.7234e-06,6.8903e-06,7.09295e-06,7.43866e-06
1.12,7.02143e-06,6.97374e-06,6.91414e-06,6.80685e-06,6.69956e-06,6.92606e-06,7.14064e-06,7.42674e-06
1.16,7.00951e-06,6.96182e-06,6.8903e-06,6.77109e-06,6.7234e-06,6.90222e-06,7.15256e-06,7.42674e-06
1.2,7.03335e-06,6.96182e-06,6.87838e-06,6.77109e-06,6.71148e-06,6.90222e-06,7.16448e-06,7.4029e-06
1.24,7.04527e-06,6.98566e-06,6.87838e-06,6.75917e-06,6.71148e-06,6.90222e-06,7.15256e-06,7.43866e-06
1.28,7.05719e-06,6.97374e-06,6.8903e-06,6.74725e-06,6.71148e-06,6.91414e-06,7.11679e-06,7.42674e-06
1.32,7.04527e-06,6.97374e-06,6.90222e-06,6.74725e-06,6.7234e-06,6.93798e-06,7.10487e-06,7.37906e-06
1.36,7.00951e-06,6.98566e-06,6.87838e-06,6.75917e-06,6.7234e-06,6.90222e-06,7.11679e-06,7.43866e-06
1.4,7.02143e-06,6.96182e-06,6.90222e-06,6.78301e-06,6.74725e-06,6.91414e-06,7.12872e-06,7.4625e-06
1.44,6.99759e-06,6.99759e-06,6.87838e-06,6.80685e-06,6.69956e-06,6.93798e-06,7.1764e-06,7.51019e-06
1.48,7.02143e-06,7.00951e-06,6.85453e-06,6.78301e-06,6.77109e-06,6.90222e-06,7.16448e-06,7.48634e-06
1.52,7.03335e-06,6.96182e-06,6.87838e-06,6.81877e-06,6.74725e-06,6.96182e-06,7.12872e-06,7.43866e-06
1.56,6.99759e-06,6.98566e-06,6.8903e-06,6.80685e-06,6.77109e-06,6.93798e-06,7.12872e-06,7.48634e-06
1.6,7.02143e-06,6.96182e-06,6.8903e-06,6.80685e-06,6.74725e-06,6.90222e-06,7.14064e-06,7.43866e-06
1.64,7.04527e-06,6.97374e-06,6.90222e-06,6.77109e-06,6.73532e-06,6.92606e-06,7.16448e-06,7.4029e-06
1.68,7.06911e-06,6.97374e-06,6.87838e-06,6.81877e-06,6.73532e-06,6.87838e-06,7.10487e-06,7.45058e-06
1.72,7.08103e-06,6.98566e-06,6.90222e-06,6.78301e-06,6.74725e-06,6.92606e-06,7.15256e-06,7.48634e-06
1.76,7.06911e-06,7.00951e-06,6.90222e-06,6.79493e-06,6.71148e-06,6.93798e-06,7.12872e-06,7.45058e-06
1.8,7.06911e-06,6.97374e-06,6.91414e-06,6.80685e-06,6.69956e-06,6.93798e-06,7.1764e-06,7.42674e-06
1.84,7.08103e-06,6.9499e-06,6.87838e-06,6.79493e-06,6.7234e-06,6.98566e-06,7.14064e-06,7.47442e-06
1.88,7.06911e-06,6.9499e-06,6.90222e-06,6.79493e-06,6.73532e-06,6.96182e-06,7.15256e-06,7.51019e-06
1.92,7.04527e-06,6.96182e-06,6.90222e-06,6.74725e-06,6.74725e-06,6.91414e-06,7.1764e-06,7.51019e-06
1.96,7.06911e-06,6.96182e-06,6.92606e-06,6.79493e-06,6.77109e-06,6.91414e-06,7.16448e-06,7.4625e-06
2.0,7.06911e-06,6.96182e-06,6.8903e-06,6.80685e-06,6.79493e-06,6.90222e-06,7.12872e-06,7.49826e-06
2.04,7.04527e-06,6.93798e-06,6.8903e-06,6.80685e-06,6.74725e-06,6.93798e-06,7.12872e-06,7.53403e-06
2.08,7.05719e-06,6.92606e-06,6.87838e-06,6.80685e-06,6.69956e-06,6.91414e-06,7.10487e-06,7.52211e-06
2.12,7.05719e-06,6.99759e-06,6.90222e-06,6.77109e-06,6.73532e-06,6.91414e-06,7.12872e-06,7.49826e-06
2.16,7.06911e-06,6.96182e-06,6.90222e-06,6.79493e-06,6.74725e-06,6.97374e-06,7.14064e-06,7.53403e-06
2.2,7.04527e-06,6.96182e-06,6.87838e-06,6.79493e-06,6.75917e-06,6.93798e-06,7.14064e-06,7.55787e-06
2.24,7.04527e-06,6.98566e-06,6.86646e-06,6.79493e-06,6.78301e-06,6.8903e-06,7.10487e-06,7.47442e-06
2.28,7.00951e-06,6.97374e-06,6.84261e-06,6.80685e-06,6.77109e-06,6.9499e-06,7.10487e-06,7.49826e-06
2.32,7.00951e-06,6.93798e-06,6.87838e-06,6.81877e-06,6.78301e-06,6.92606e-06,7.15256e-06,7.52211e-06
2.36,7.02143e-06,6.9499e-06,6.87838e-06,6.79493e-06,6.74725e-06,6.8903e-06,7.16448e-06,7.53403e-06
2.4,7.09295e-06,6.98566e-06,6.8903e-06,6.79493e-06,6.77109e-06,6.9499e-06,7.15256e-06,7.51019e-06
2.44,7.08103e-06,6.93798e-06,6.87838e-06,6.77109e-06,6.79493e-06,6.9499e-06,7.12872e-06,7.52211e-06
2.48,7.06911e-06,6.9499e-06,6.90222e-06,6.77109e-06,6.77109e-06,6.96182e-06,7.15256e-06,7.49826e-06
2.52,7.06911e-06,6.98566e-06,6.87838e-06,6.79493e-06,6.73532e-06,6.93798e-06,7.12872e-06,7.53403e-06
2.56,7.04527e-06,7.02143e-06,6.8903e-06,6.80685e-06,6.73532e-06,6.91414e-06,7.11679e-06,7.47442e-06
2.6,7.06911e-06,6.98566e-06,6.86646e-06,6.79493e-06,6.77109e-06,6.93798e-06,7.1764e-06,7.47442e-06
2.64,7.03335e-06,6.9499e-06,6.90222e-06,6.79493e-06,6.75917e-06,6.91414e-06,7.10487e-06,7.45058e-06
2.68,7.03335e-06,6.96182e-06,6.91414e-06,6.79493e-06,6.74725e-06,6.92606e-06,7.11679e-06,7.47442e-06
2.72,6.98566e-06,6.92606e-06,6.90222e-06,6.79493e-06,6.71148e-06,6.97374e-06,7.16448e-06,7.49826e-06
2.76,7.04527e-06,6.93798e-06,6.92606e-06,6.81877e-06,6.73532e-06,6.92606e-06,7.1764e-06,7.4625e-06
2.8,7.06911e-06,6.9499e-06,6.90222e-06,6.80685e-06,6.7234e-06,6.93798e-06,7.15256e-06,7.47442e-06
2.84,7.04527e-06,6.96182e-06,6.93798e-06,6.79493e-06,6.68764e-06,6.96182e-06,7.12872e-06,7.49826e-06
2.88,7.06911e-06,6.97374e-06,6.92606e-06,6.80685e-06,6.69956e-06,6.90222e-06,7.11679e-06,7.49826e-06
2.92,7.05719e-06,6.92606e-06,6.96182e-06,6.77109e-06,6.7234e-06,6.91414e-06,7.15256e-06,7.4625e-06
2.96,7.04527e-06,6.9499e-06,6.87838e-06,6.79493e-06,6.74725e-06,6.93798e-06,7.1764e-06,7.45058e-06
3.0,7.03335e-06,6.93798e-06,6.91414e-06,6.77109e-06,6.7234e-06,6.92606e-06,7.16448e-06,7.47442e-06
3.04,7.04527e-06,6.91414e-06,6.8903e-06,6.74725e-06,6.73532e-06,6.92606e-06,7.1764e-06,7.49826e-06
3.08,7.06911e-06,6.90222e-06,6.90222e-06,6.81877e-06,6.69956e-06,6.97374e-06,7.14064e-06,7.48634e-06
3.12,7.02143e-06,6.91414e-06,6.8903e-06,6.79493e-06,6.69956e-06,6.97374e-06,7.15256e-06,7.4625e-06
3.16,7.05719e-06,6.93798e-06,6.91414e-06,6.78301e-06,6.69956e-06,6.98566e-06,7.09295e-06,7.53403e-06
3.2,7.05719e-06,6.93798e-06,6.87838e-06,6.80685e-06,6.71148e-06,6.9499e-06,7.12872e-06,7.49826e-06
3.24,7.05719e-06,6.91414e-06,6.87838e-06,6.78301e-06,6.7234e-06,6.91414e-06,7.15256e-06,7.49826e-06
3.28,7.03335e-06,6.8903e-06,6.91414e-06,6.80685e-06,6.73532e-06,6.9499e-06,7.15256e-06,7.48634e-06
3.32,7.03335e-06,6.93798e-06,6.90222e-06,6.77109e-06,6.73532e-06,6.98566e-06,7.12872e-06,7.4625e-06
3.36,7.10487e-06,6.90222e-06,6.87838e-06,6.77109e-06,6.73532e-06,6.96182e-06,7.16448e-06,7.48634e-06
3.4,7.03335e-06,6.9499e-06,6.83069e-06,6.80685e-06,6.77109e-06,6.97374e-06,7.15256e-06,7.48634e-06
3.44,7.04527e-06,6.96182e-06,6.87838e-06,6.85453e-06,6.78301e-06,6.96182e-06,7.14064e-06,7.45058e-06
3.48,6.99759e-06,6.96182e-06,6.86646e-06,6.81877e-06,6.73532e-06,6.93798e-06,7.15256e-06,7.45058e-06
3.52,7.04527e-06,7.00951e-06,6.87838e-06,6.84261e-06,6.77109e-06,6.96182e-06,7.22408e-06,7.47442e-06
