Timestamp (s),Current SMUA (A),Voltage SMUA (V),Current SMUb (A),Voltage SMUb (V)
0.0,-5.24521e-07,2.07424e-05,5.72205e-06,0.100041
0.002,-6.91414e-07,1.5974e-05,5.85318e-06,0.100033
0.004,-6.4373e-07,1.3113e-05,5.6386e-06,0.100035
0.006,-6.91414e-07,2.95639e-05,5.93662e-06,0.100036
0.008,-2.6226e-07,1.5974e-05,5.45979e-06,0.100041
0.01,-7.27177e-07,1.21593e-05,5.67436e-06,0.100035
0.012,-4.29153e-07,1.50204e-05,5.85318e-06,0.100033
0.014,-3.93391e-07,3.43323e-05,5.59092e-06,0.100031
0.016,-4.29153e-07,2.16961e-05,5.67436e-06,0.100034
0.018,-5.24521e-07,3.05176e-05,5.80549e-06,0.100029
0.02,-6.4373e-07,3.33786e-05,5.37634e-06,0.10004
0.022,-4.76837e-07,2.76566e-05,5.50747e-06,0.100034
0.024,-2.6226e-07,1.88351e-05,5.55515e-06,0.100036
0.026,-8.22544e-07,2.07424e-05,5.59092e-06,0.100035
0.028,-6.4373e-07,3.05176e-05,5.59092e-06,0.100037
0.03,-3.09944e-07,2.36034e-05,5.67436e-06,0.100037
0.032,-9.53674e-08,1.97887e-05,5.67436e-06,0.100037
0.034,-3.45707e-07,2.57492e-05,5.67436e-06,0.100036
0.036,-5.60284e-07,3.43323e-05,5.76973e-06,0.100037
0.038,-4.29153e-07,3.05176e-05,5.55515e-06,0.10004
0.04,-3.93391e-07,2.76566e-05,5.85318e-06,0.100035
0.042,-6.4373e-07,1.69277e-05,5.72205e-06,0.100037
0.044,-3.45707e-07,1.40667e-05,5.59092e-06,0.100036
0.046,-5.24521e-07,3.33786e-05,5.72205e-06,0.100042
0.048,-1.3113e-07,4.79221e-05,5.45979e-06,0.100032
0.05,-3.45707e-07,3.71933e-05,5.76973e-06,0.100034
0.052,-6.07967e-07,3.62396e-05,5.67436e-06,0.10003
0.054,-4.76837e-07,3.24249e-05,5.59092e-06,0.100035
0.056,-6.91414e-07,1.69277e-05,5.50747e-06,0.100032
0.058,-3.93391e-07,3.91006e-05,5.67436e-06,0.100038
0.06,-5.60284e-07,3.14713e-05,5.98431e-06,0.100037
0.062,-5.60284e-07,3.24249e-05,6.02007e-06,0.100034
0.064,-2.14577e-07,1.88351e-05,5.50747e-06,0.100039
0.066,-9.53674e-08,3.05176e-05,5.76973e-06,0.100037
0.068,-4.29153e-07,3.05176e-05,5.76973e-06,0.100034
0.07,-1.03712e-06,1.40667e-05,5.80549e-06,0.100036
0.072,-4.76837e-07,3.14713e-05,5.6386e-06,0.100034
0.074,-6.91414e-07,2.26498e-05,5.88894e-06,0.100037
