Timestamp (s),Current SMUA (A),Voltage SMUA (V),Current SMUb (A),Voltage SMUb (V)
0.0,-1.07288e-06,3.43323e-05,6.61612e-06,0.100033
0.002,-1.33514e-06,5.17368e-05,6.44922e-06,0.100036
0.004,-9.05991e-07,2.47955e-05,6.36578e-06,0.100035
0.006,-7.7486e-07,4.22001e-05,6.31809e-06,0.100034
0.008,-6.4373e-07,4.41074e-05,6.18696e-06,0.100036
0.01,-6.91414e-07,2.07424e-05,6.23465e-06,0.100038
0.012,-5.60284e-07,3.24249e-05,6.53267e-06,0.100026
0.014,-8.22544e-07,2.36034e-05,6.31809e-06,0.100032
0.016,-6.91414e-07,2.16961e-05,6.36578e-06,0.100026
0.018,-1.3113e-07,2.95639e-05,6.28233e-06,0.100035
0.02,-7.27177e-07,3.14713e-05,6.53267e-06,0.100026
0.022,-7.27177e-07,4.1008e-05,6.40154e-06,0.100032
0.024,1.19209e-07,2.36034e-05,6.53267e-06,0.100034
0.026,-2.14577e-07,3.52859e-05,6.44922e-06,0.100024
0.028,-4.76837e-08,3.71933e-05,6.31809e-06,0.100033
0.03,-2.14577e-07,3.43323e-05,6.44922e-06,0.100028
0.032,-6.91414e-07,2.95639e-05,6.71148e-06,0.100031
0.034,-7.27177e-07,1.50204e-05,5.93662e-06,0.100031
0.036,-1.03712e-06,4.31538e-05,6.49691e-06,0.100029
0.038,-3.09944e-07,3.43323e-05,6.28233e-06,0.100031
0.04,-5.60284e-07,4.31538e-05,6.06775e-06,0.100031
0.042,-6.4373e-07,2.95639e-05,6.23465e-06,0.100034
0.044,-9.05991e-07,3.24249e-05,6.79493e-06,0.10003
0.046,-3.09944e-07,3.33786e-05,6.1512e-06,0.100031
0.048,-1.3113e-07,4.60148e-05,6.58035e-06,0.100025
0.05,-9.05991e-07,3.24249e-05,6.36578e-06,0.100029
0.052,-5.60284e-07,3.62396e-05,6.36578e-06,0.100033
0.054,-1.33514e-06,3.71933e-05,6.36578e-06,0.100028
0.056,-7.7486e-07,4.41074e-05,6.44922e-06,0.10003
0.058,-3.09944e-07,5.36442e-05,5.80549e-06,0.10003
0.06,-2.6226e-07,5.45979e-05,6.53267e-06,0.100028
0.062,-9.41753e-07,4.41074e-05,6.36578e-06,0.100035
0.064,-7.27177e-07,2.95639e-05,6.40154e-06,0.100034
0.066,-6.91414e-07,2.67029e-05,6.28233e-06,0.100029
0.068,-3.45707e-07,3.71933e-05,6.49691e-06,0.10003
0.07,-5.60284e-07,4.50611e-05,6.74725e-06,0.100029
0.072,-9.89437e-07,3.71933e-05,6.53267e-06,0.100033
0.074,-6.91414e-07,4.31538e-05,6.53267e-06,0.100028
0.076,3.57628e-08,5.65052e-05,6.31809e-06,0.100033
0.078,-7.7486e-07,5.45979e-05,6.40154e-06,0.100028
0.08,-7.7486e-07,4.69685e-05,6.40154e-06,0.10003
0.082,-4.29153e-07,4.60148e-05,5.76973e-06,0.100039
0.084,-5.60284e-07,4.1008e-05,6.18696e-06,0.100036
0.086,-8.22544e-07,3.14713e-05,6.23465e-06,0.100037
0.088,-6.4373e-07,3.52859e-05,6.1512e-06,0.100029
0.09,-9.53674e-08,3.8147e-05,6.18696e-06,0.100033
0.092,-7.27177e-07,3.71933e-05,6.06775e-06,0.100035
0.094,-4.29153e-07,2.76566e-05,6.36578e-06,0.10003
0.096,-6.07967e-07,3.05176e-05,6.18696e-06,0.100035
0.098,-9.53674e-08,4.1008e-05,6.49691e-06,0.100031
0.1,-1.15633e-06,2.57492e-05,6.36578e-06,0.100034
