Timestamp (s),Current SMUA (A),Voltage SMUA (V),Current SMUb (A),Voltage SMUb (V)
0.0,-1.54972e-06,2.86102e-05,6.58035e-06,0.100032
0.002,-7.7486e-07,5.65052e-05,6.1512e-06,0.100031
0.004,-1.12057e-06,4.98295e-05,6.18696e-06,0.100034
0.006,-6.07967e-07,3.24249e-05,6.23465e-06,0.100034
0.008,-4.29153e-07,4.60148e-05,6.53267e-06,0.10003
0.01,3.57628e-08,2.86102e-05,6.40154e-06,0.10003
0.012,-3.45707e-07,3.52859e-05,6.49691e-06,0.100031
0.014,-2.14577e-07,4.79221e-05,6.31809e-06,0.100035
0.016,-7.7486e-07,2.36034e-05,6.23465e-06,0.10003
0.018,-5.24521e-07,3.8147e-05,6.40154e-06,0.10003
0.02,-7.7486e-07,4.88758e-05,6.49691e-06,0.100032
0.022,-1.07288e-06,4.31538e-05,5.98431e-06,0.100032
0.024,-6.91414e-07,2.57492e-05,6.40154e-06,0.100034
0.026,-4.76837e-07,4.1008e-05,6.23465e-06,0.100033
0.028,-6.4373e-07,3.52859e-05,5.98431e-06,0.100037
0.03,-6.4373e-07,2.76566e-05,6.1512e-06,0.100034
0.032,-1.07288e-06,2.76566e-05,6.40154e-06,0.100031
0.034,-9.41753e-07,4.41074e-05,6.44922e-06,0.100026
0.036,-2.6226e-07,2.57492e-05,6.06775e-06,0.100031
0.038,-6.07967e-07,1.50204e-05,6.44922e-06,0.100032
0.04,-6.4373e-07,2.07424e-05,6.1512e-06,0.100031
0.042,-9.05991e-07,4.50611e-05,6.1512e-06,0.100034
0.044,-2.6226e-07,4.98295e-05,6.18696e-06,0.100039
0.046,-6.07967e-07,4.50611e-05,6.18696e-06,0.100033
0.048,-5.60284e-07,3.05176e-05,5.93662e-06,0.10003
0.05,-6.4373e-07,5.24521e-06,6.36578e-06,0.100031
0.052,-3.45707e-07,4.00543e-05,6.23465e-06,0.100037
0.054,-7.7486e-07,3.14713e-05,6.18696e-06,0.100034
0.056,-1.03712e-06,1.3113e-05,6.1512e-06,0.100032
0.058,-3.93391e-07,3.91006e-05,6.31809e-06,0.100028
0.06,-1.15633e-06,3.24249e-05,6.1512e-06,0.100024
0.062,-9.05991e-07,2.86102e-05,6.36578e-06,0.100025
0.064,-7.7486e-07,5.26905e-05,6.1512e-06,0.100026
0.066,-9.05991e-07,4.50611e-05,6.18696e-06,0.100028
0.068,-1.12057e-06,4.31538e-05,6.31809e-06,0.100032
0.07,-6.91414e-07,3.91006e-05,6.23465e-06,0.100028
0.072,-8.22544e-07,7.15256e-06,5.67436e-06,0.100033
0.074,-8.58307e-07,3.71933e-05,6.36578e-06,0.100031
0.076,-5.60284e-07,5.26905e-05,6.06775e-06,0.100034
0.078,-5.60284e-07,3.43323e-05,6.18696e-06,0.100033
0.08,-6.07967e-07,3.33786e-05,6.10352e-06,0.100035
0.082,-6.4373e-07,4.41074e-05,6.53267e-06,0.100031
0.084,-9.89437e-07,5.45979e-05,6.58035e-06,0.100032
0.086,-2.14577e-07,4.22001e-05,5.98431e-06,0.100032
0.088,-5.24521e-07,3.91006e-05,6.1512e-06,0.100031
0.09,-6.07967e-07,5.45979e-05,6.36578e-06,0.100036
0.092,-4.76837e-07,3.33786e-05,6.10352e-06,0.100034
0.094,-5.60284e-07,2.76566e-05,6.1512e-06,0.100034
0.096,-4.76837e-07,5.36442e-05,6.40154e-06,0.100027
0.098,-5.60284e-07,3.71933e-05,5.67436e-06,0.100028
0.1,-1.03712e-06,2.36034e-05,6.28233e-06,0.100033
0.102,-1.3113e-07,4.41074e-05,6.18696e-06,0.100027
0.104,-8.58307e-07,4.60148e-05,5.98431e-06,0.100032
0.106,-6.07967e-07,2.76566e-05,5.98431e-06,0.100031
0.108,-5.24521e-07,4.98295e-05,6.10352e-06,0.100035
0.11,-3.45707e-07,4.00543e-05,6.28233e-06,0.100032
0.112,-9.53674e-08,1.88351e-05,6.23465e-06,0.10003
0.114,-1.20401e-06,4.50611e-05,6.49691e-06,0.100024
0.116,-1.20401e-06,5.36442e-05,6.40154e-06,0.100036
0.118,-3.93391e-07,2.36034e-05,6.1512e-06,0.100035
0.12,-8.58307e-07,2.67029e-05,6.40154e-06,0.100031
0.122,-6.91414e-07,3.43323e-05,6.49691e-06,0.100033
0.124,-3.93391e-07,4.60148e-05,5.72205e-06,0.100036
0.126,-1.28746e-06,4.79221e-05,6.28233e-06,0.10003
0.128,1.66893e-07,3.14713e-05,6.28233e-06,0.100031
0.13,-5.60284e-07,3.33786e-05,5.93662e-06,0.100038
0.132,-2.6226e-07,1.21593e-05,6.10352e-06,0.100028
0.134,-3.09944e-07,2.16961e-05,6.40154e-06,0.10003
0.136,-3.93391e-07,2.16961e-05,6.58035e-06,0.100027
0.138,-9.89437e-07,2.57492e-05,6.36578e-06,0.100026
0.14,-6.07967e-07,1.69277e-05,6.18696e-06,0.100032
0.142,-6.4373e-07,2.95639e-05,6.06775e-06,0.100034
0.144,-1.78814e-07,4.98295e-05,6.31809e-06,0.100027
0.146,-1.07288e-06,5.96046e-05,6.28233e-06,0.100036
0.148,-7.7486e-07,3.24249e-05,6.40154e-06,0.100037
0.15,-9.05991e-07,2.67029e-05,6.02007e-06,0.100031
0.152,-9.05991e-07,1.88351e-05,6.44922e-06,0.100034
0.154,-3.45707e-07,3.33786e-05,6.23465e-06,0.100038
0.156,-9.89437e-07,2.47955e-05,6.23465e-06,0.10003
0.158,-3.45707e-07,3.71933e-05,6.28233e-06,0.100029
0.16,-1.78814e-07,4.00543e-05,6.40154e-06,0.100032
0.162,-6.91414e-07,3.05176e-05,6.61612e-06,0.10003
0.164,-7.27177e-07,3.8147e-05,6.40154e-06,0.100035
0.166,-8.58307e-07,3.91006e-05,6.36578e-06,0.100032
0.168,-1.28746e-06,3.71933e-05,6.18696e-06,0.10003
0.17,-1.07288e-06,3.33786e-05,6.23465e-06,0.100031
0.172,-1.03712e-06,4.60148e-05,6.23465e-06,0.100028
0.174,-1.15633e-06,3.43323e-05,6.02007e-06,0.10003
0.176,-4.29153e-07,4.79221e-05,6.06775e-06,0.100033
0.178,-9.53674e-08,5.07832e-05,6.28233e-06,0.100036
0.18,-9.05991e-07,4.60148e-05,6.23465e-06,0.100037
0.182,-7.7486e-07,3.71933e-05,6.10352e-06,0.10003
0.184,-3.93391e-07,3.05176e-05,6.23465e-06,0.100029
0.186,-7.7486e-07,4.79221e-05,6.44922e-06,0.100033
0.188,-9.89437e-07,3.24249e-05,6.1512e-06,0.100032
0.19,-5.24521e-07,2.07424e-05,6.49691e-06,0.100029
0.192,-8.22544e-07,4.00543e-05,6.36578e-06,0.10003
0.194,-9.89437e-07,3.43323e-05,6.36578e-06,0.100025
0.196,1.19209e-07,4.1008e-05,6.28233e-06,0.100027
0.198,-4.76837e-07,4.00543e-05,6.23465e-06,0.100031
0.2,-1.15633e-06,2.76566e-05,6.02007e-06,0.100036
0.202,-5.24521e-07,2.36034e-05,6.31809e-06,0.100031
0.204,-7.7486e-07,2.86102e-05,6.06775e-06,0.100028
0.206,-8.58307e-07,5.26905e-05,6.28233e-06,0.100025
0.208,-2.6226e-07,3.8147e-05,6.1512e-06,0.100034
0.21,-8.22544e-07,3.43323e-05,6.18696e-06,0.100033
0.212,-1.2517e-06,3.43323e-05,6.36578e-06,0.100028
0.214,-3.93391e-07,2.76566e-05,6.1512e-06,0.100029
0.216,-1.20401e-06,3.91006e-05,6.36578e-06,0.100033
0.218,-7.27177e-07,3.33786e-05,6.28233e-06,0.100034
0.22,-1.28746e-06,1.97887e-05,6.18696e-06,0.100035
0.222,-1.15633e-06,2.26498e-05,6.40154e-06,0.100029
0.224,-1.58548e-06,3.24249e-05,6.6638e-06,0.100028
0.226,-5.60284e-07,4.1008e-05,5.88894e-06,0.100027
0.228,-1.78814e-07,3.43323e-05,6.49691e-06,0.100029
0.23,-1.78814e-07,2.47955e-05,6.44922e-06,0.100033
0.232,-1.15633e-06,2.86102e-05,6.31809e-06,0.100034
0.234,-8.22544e-07,3.14713e-05,6.18696e-06,0.10003
0.236,-9.05991e-07,1.97887e-05,6.40154e-06,0.100028
0.238,-4.76837e-07,2.57492e-05,6.36578e-06,0.10003
0.24,-9.41753e-07,3.52859e-05,6.44922e-06,0.100036
0.242,-2.6226e-07,4.1008e-05,6.40154e-06,0.100032
0.244,-3.93391e-07,4.41074e-05,5.76973e-06,0.100033
0.246,-3.93391e-07,3.62396e-05,6.23465e-06,0.100031
0.248,-1.12057e-06,3.8147e-05,6.1512e-06,0.100036
0.25,-1.15633e-06,3.43323e-05,6.36578e-06,0.100028
0.252,-7.27177e-07,1.5974e-05,6.06775e-06,0.100033
0.254,-1.28746e-06,2.95639e-05,6.31809e-06,0.10003
0.256,-9.89437e-07,3.43323e-05,6.28233e-06,0.100028
0.258,-1.12057e-06,3.52859e-05,6.02007e-06,0.10003
0.26,-6.07967e-07,4.60148e-05,6.18696e-06,0.10003
0.262,-4.76837e-07,4.00543e-05,6.44922e-06,0.100033
0.264,-4.76837e-07,3.43323e-05,5.85318e-06,0.100038
0.266,-6.91414e-07,3.24249e-05,6.40154e-06,0.100032
0.268,-1.03712e-06,5.45979e-05,6.18696e-06,0.100036
0.27,-9.89437e-07,3.33786e-05,6.28233e-06,0.10003
0.272,-4.29153e-07,4.79221e-05,6.02007e-06,0.100034
0.274,-7.7486e-07,4.31538e-05,6.28233e-06,0.100028
0.276,-6.07967e-07,4.31538e-05,6.18696e-06,0.10003
0.278,-6.07967e-07,5.45979e-05,6.36578e-06,0.100036
0.28,8.34465e-08,4.00543e-05,6.28233e-06,0.100033
0.282,-8.58307e-07,3.52859e-05,6.31809e-06,0.10003
0.284,-4.29153e-07,3.91006e-05,6.31809e-06,0.100033
0.286,-2.6226e-07,4.50611e-05,6.18696e-06,0.100033
0.288,-3.93391e-07,4.88758e-05,6.44922e-06,0.100034
0.29,-9.41753e-07,3.14713e-05,6.06775e-06,0.100032
0.292,-1.78814e-07,3.43323e-05,6.40154e-06,0.100029
0.294,-9.89437e-07,4.1008e-05,6.28233e-06,0.100039
0.296,-7.7486e-07,5.74589e-05,6.10352e-06,0.100032
0.298,-9.41753e-07,4.69685e-05,6.44922e-06,0.100027
0.3,-9.05991e-07,3.24249e-05,6.28233e-06,0.100028
0.302,-5.60284e-07,4.1008e-05,5.67436e-06,0.100034
0.304,-7.27177e-07,3.43323e-05,6.31809e-06,0.100032
0.306,-6.91414e-07,4.22001e-05,6.10352e-06,0.100028
0.308,-8.58307e-07,5.36442e-05,6.1512e-06,0.100031
0.31,-7.7486e-07,3.91006e-05,6.23465e-06,0.100036
0.312,-4.76837e-07,3.14713e-05,6.53267e-06,0.10003
0.314,-7.27177e-07,1.5974e-05,6.40154e-06,0.100031
0.316,-1.46627e-06,3.52859e-05,6.31809e-06,0.100032
0.318,-4.29153e-07,3.71933e-05,6.23465e-06,0.100029
0.32,-6.91414e-07,2.57492e-05,6.06775e-06,0.10004
0.322,-7.7486e-07,1.97887e-05,6.1512e-06,0.100034
0.324,-1.20401e-06,5.45979e-05,6.40154e-06,0.100031
0.326,-5.60284e-07,3.52859e-05,6.40154e-06,0.100036
0.328,-4.76837e-07,3.05176e-05,5.80549e-06,0.100033
0.33,-3.09944e-07,4.41074e-05,6.23465e-06,0.100033
0.332,-6.4373e-07,2.36034e-05,6.28233e-06,0.100032
0.334,-5.60284e-07,3.62396e-05,6.18696e-06,0.100033
0.336,-1.78814e-07,3.52859e-05,6.10352e-06,0.10003
0.338,-7.7486e-07,2.16961e-05,6.36578e-06,0.100027
0.34,-7.7486e-07,4.00543e-05,6.06775e-06,0.100033
0.342,-5.24521e-07,3.91006e-05,6.40154e-06,0.100031
0.344,-6.07967e-07,3.05176e-05,6.28233e-06,0.100038
0.346,-4.76837e-07,4.22001e-05,6.1512e-06,0.100028
0.348,-1.78814e-07,2.36034e-05,6.06775e-06,0.100035
0.35,-1.12057e-06,3.43323e-05,6.49691e-06,0.100029
0.352,-9.05991e-07,3.14713e-05,6.06775e-06,0.100031
0.354,-8.22544e-07,3.52859e-05,6.28233e-06,0.100028
0.356,-2.14577e-07,4.00543e-05,6.23465e-06,0.100033
0.358,-3.93391e-07,5.55515e-05,5.98431e-06,0.100034
0.36,-6.4373e-07,4.50611e-05,6.1512e-06,0.100032
0.362,-1.78814e-07,3.91006e-05,6.23465e-06,0.10003
0.364,-2.6226e-07,5.26905e-05,6.28233e-06,0.100035
0.366,-6.07967e-07,3.52859e-05,6.31809e-06,0.10003
0.368,-6.91414e-07,4.22001e-05,6.36578e-06,0.100027
0.37,-6.91414e-07,5.96046e-05,6.23465e-06,0.100031
0.372,-7.27177e-07,2.76566e-05,6.10352e-06,0.100034
0.374,-7.7486e-07,4.69685e-05,6.28233e-06,0.100029
0.376,-4.29153e-07,4.88758e-05,6.58035e-06,0.100032
0.378,2.14577e-07,3.91006e-05,5.55515e-06,0.100033
0.38,-3.45707e-07,5.45979e-05,6.36578e-06,0.100024
0.382,-1.07288e-06,2.95639e-05,6.18696e-06,0.100031
0.384,-6.07967e-07,3.05176e-05,6.40154e-06,0.100027
0.386,-5.60284e-07,4.88758e-05,6.44922e-06,0.10003
0.388,-8.58307e-07,3.33786e-05,6.1512e-06,0.100028
0.39,-3.93391e-07,4.79221e-05,6.40154e-06,0.100031
0.392,-1.3113e-07,4.79221e-05,6.18696e-06,0.100032
0.394,-4.29153e-07,3.43323e-05,6.40154e-06,0.100031
0.396,-5.60284e-07,6.1512e-05,6.53267e-06,0.100031
0.398,-5.60284e-07,3.62396e-05,6.18696e-06,0.100026
0.4,-4.76837e-07,3.24249e-05,6.40154e-06,0.100027
0.402,-8.58307e-07,4.69685e-05,6.6638e-06,0.10003
0.404,-6.91414e-07,3.24249e-05,5.98431e-06,0.100027
0.406,-6.4373e-07,2.95639e-05,6.49691e-06,0.100032
0.408,-7.7486e-07,3.91006e-05,6.36578e-06,0.100028
0.41,-4.29153e-07,4.50611e-05,5.98431e-06,0.100029
0.412,-4.76837e-07,3.71933e-05,6.10352e-06,0.10003
0.414,-6.91414e-07,3.43323e-05,6.49691e-06,0.100033
0.416,-9.41753e-07,3.05176e-05,6.61612e-06,0.100025
0.418,-9.89437e-07,3.33786e-05,6.44922e-06,0.100027
0.42,8.34465e-08,4.22001e-05,6.23465e-06,0.100027
0.422,-9.41753e-07,2.57492e-05,6.49691e-06,0.100025
0.424,-9.53674e-08,2.26498e-05,6.23465e-06,0.100027
0.426,-3.09944e-07,5.07832e-05,6.23465e-06,0.100029
0.428,-6.91414e-07,5.36442e-05,6.10352e-06,0.100031
0.43,-6.07967e-07,4.41074e-05,6.18696e-06,0.100028
0.432,-6.07967e-07,4.00543e-05,6.40154e-06,0.100028
0.434,-8.58307e-07,2.95639e-05,6.49691e-06,0.100026
0.436,-1.3113e-07,2.95639e-05,6.18696e-06,0.100026
0.438,-1.07288e-06,2.36034e-05,6.23465e-06,0.100031
0.44,-8.58307e-07,2.95639e-05,6.40154e-06,0.100025
0.442,-5.24521e-07,4.98295e-05,6.06775e-06,0.100027
0.444,-3.93391e-07,2.07424e-05,6.49691e-06,0.100031
0.446,-6.4373e-07,3.33786e-05,6.40154e-06,0.100028
0.448,-5.60284e-07,4.22001e-05,6.18696e-06,0.100026
0.45,-9.05991e-07,2.67029e-05,6.31809e-06,0.100026
0.452,-3.09944e-07,4.60148e-05,6.23465e-06,0.100028
0.454,-5.60284e-07,2.57492e-05,6.23465e-06,0.100021
0.456,-1.15633e-06,2.67029e-05,6.28233e-06,0.100025
0.458,-2.14577e-07,6.1512e-05,6.31809e-06,0.100031
0.46,-6.07967e-07,4.00543e-05,6.10352e-06,0.100024
0.462,-6.07967e-07,3.05176e-05,6.1512e-06,0.10003
0.464,-6.91414e-07,2.86102e-05,6.58035e-06,0.100024
0.466,-5.60284e-07,4.60148e-05,6.1512e-06,0.100029
0.468,-3.45707e-07,3.52859e-05,6.36578e-06,0.100027
0.47,-4.76837e-07,5.17368e-05,6.49691e-06,0.100024
0.472,-8.22544e-07,3.8147e-05,6.40154e-06,0.100032
0.474,-9.41753e-07,2.76566e-05,6.10352e-06,0.100028
0.476,-2.6226e-07,4.00543e-05,6.02007e-06,0.10003
0.478,-1.12057e-06,5.36442e-05,6.44922e-06,0.100026
0.48,-4.29153e-07,4.98295e-05,5.59092e-06,0.100033
0.482,-9.41753e-07,4.98295e-05,6.28233e-06,0.100031
0.484,-2.6226e-07,3.33786e-05,6.40154e-06,0.100032
0.486,-8.58307e-07,3.05176e-05,6.18696e-06,0.100034
0.488,-7.27177e-07,4.31538e-05,6.06775e-06,0.100032
0.49,-6.07967e-07,4.31538e-05,6.40154e-06,0.100028
0.492,-8.58307e-07,4.22001e-05,6.36578e-06,0.100029
0.494,-3.93391e-07,3.43323e-05,6.44922e-06,0.100029
0.496,-4.29153e-07,2.95639e-05,6.23465e-06,0.100028
0.498,-7.27177e-07,4.41074e-05,6.44922e-06,0.100032
0.5,-4.76837e-07,3.14713e-05,6.10352e-06,0.100035
0.502,-1.03712e-06,2.76566e-05,6.44922e-06,0.100028
0.504,-1.78814e-07,4.69685e-05,5.93662e-06,0.10003
0.506,-1.12057e-06,2.67029e-05,5.93662e-06,0.100037
0.508,-9.53674e-08,3.52859e-05,6.40154e-06,0.100027
0.51,-8.58307e-07,2.95639e-05,6.31809e-06,0.100031
0.512,-5.60284e-07,4.31538e-05,6.1512e-06,0.100032
0.514,-1.78814e-07,3.33786e-05,6.31809e-06,0.100027
0.516,-3.09944e-07,2.76566e-05,6.36578e-06,0.100028
0.518,-3.93391e-07,2.36034e-05,6.1512e-06,0.100034
0.52,-9.05991e-07,4.60148e-05,6.36578e-06,0.100036
0.522,-1.15633e-06,2.95639e-05,6.44922e-06,0.100028
0.524,-9.89437e-07,1.78814e-05,6.23465e-06,0.100028
0.526,-5.60284e-07,1.69277e-05,6.31809e-06,0.100038
0.528,-3.93391e-07,4.88758e-05,6.53267e-06,0.10003
0.53,-7.27177e-07,4.31538e-05,6.1512e-06,0.100034
0.532,-5.24521e-07,3.62396e-05,6.36578e-06,0.100028
0.534,-5.24521e-07,2.26498e-05,6.44922e-06,0.100035
0.536,-7.7486e-07,2.16961e-05,6.40154e-06,0.100032
0.538,-2.6226e-07,3.14713e-05,6.1512e-06,0.10003
0.54,-3.45707e-07,3.71933e-05,6.28233e-06,0.10003
0.542,-1.78814e-07,4.88758e-05,6.49691e-06,0.100038
0.544,-6.91414e-07,4.1008e-05,6.02007e-06,0.100026
0.546,-9.53674e-08,3.33786e-05,6.40154e-06,0.100031
