Timestamp (s),Current SMUA (A),Voltage SMUA (V),Current SMUb (A),Voltage SMUb (V)
0.0,-5.24521e-07,-1.19209e-06,5.11408e-06,0.099992
0.002,-6.4373e-07,2.6226e-06,4.43459e-06,0.099984
0.004,-1.78814e-07,1.3113e-05,4.13656e-06,0.099991
0.006,8.34465e-08,7.15256e-07,3.92199e-06,0.099991
0.008,1.66893e-07,1.52588e-05,4.30346e-06,0.099985
0.01,5.48363e-07,5.48363e-06,3.82662e-06,0.099988
0.012,2.5034e-07,4.52995e-06,3.74317e-06,0.09999
0.014,3.8147e-07,1.62125e-05,4.00543e-06,0.09999
0.016,-2.14577e-07,6.4373e-06,4.00543e-06,0.09998
0.018,2.98023e-07,1.66893e-06,3.82662e-06,0.099983
0.02,-1.3113e-07,3.57628e-06,3.79086e-06,0.099992
0.022,4.64916e-07,-1.19209e-06,3.57628e-06,0.099987
0.024,-4.76837e-08,1.52588e-05,3.95775e-06,0.099986
0.026,1.66893e-07,1.81198e-05,3.79086e-06,0.09999
0.028,1.66893e-07,2.38419e-05,3.8743e-06,0.099988
0.03,-2.6226e-07,3.6478e-05,4.22001e-06,0.099992
0.032,2.02656e-07,1.71661e-05,3.70741e-06,0.099984
0.034,3.33786e-07,9.29832e-06,3.8743e-06,0.099984
0.036,1.66893e-07,1.81198e-05,3.70741e-06,0.099989
0.038,4.64916e-07,8.34465e-06,3.70741e-06,0.099984
0.04,5.96046e-07,1.21593e-05,3.65973e-06,0.099985
0.042,-4.76837e-08,2.86102e-05,3.92199e-06,0.099984
0.044,2.5034e-07,1.90735e-05,4.13656e-06,0.099986
0.046,3.57628e-08,2.09808e-05,3.70741e-06,0.09999
0.048,1.66893e-07,2.09808e-05,3.92199e-06,0.099982
0.05,3.33786e-07,2.47955e-05,3.92199e-06,0.099989
0.052,-4.76837e-08,2.00272e-05,4.08888e-06,0.09999
0.054,8.34465e-08,6.4373e-06,3.70741e-06,0.099983
0.056,1.66893e-07,4.22001e-05,3.8743e-06,0.09999
0.058,5.126e-07,2.09808e-05,3.95775e-06,0.099991
0.06,4.17233e-07,2.00272e-05,3.8743e-06,0.099988
0.062,4.17233e-07,2.00272e-05,3.95775e-06,0.099988
0.064,4.17233e-07,7.39098e-06,3.82662e-06,0.099982
0.066,2.02656e-07,3.05176e-05,4.08888e-06,0.099981
0.068,4.17233e-07,1.3113e-05,4.0412e-06,0.099986
0.07,2.98023e-07,5.48363e-06,4.00543e-06,0.099986
0.072,-9.53674e-08,9.29832e-06,4.13656e-06,0.099991
0.074,1.19209e-07,1.3113e-05,3.70741e-06,0.099986
0.076,5.48363e-07,2.95639e-05,3.82662e-06,0.099985
0.078,5.48363e-07,9.29832e-06,4.0412e-06,0.099981
0.08,8.34465e-08,9.29832e-06,3.79086e-06,0.099986
0.082,3.8147e-07,1.3113e-05,4.08888e-06,0.099983
0.084,-3.93391e-07,1.52588e-05,3.92199e-06,0.099981
0.086,2.98023e-07,1.0252e-05,3.70741e-06,0.099988
0.088,5.126e-07,7.39098e-06,4.25577e-06,0.099984
0.09,-4.76837e-08,2.47955e-05,3.74317e-06,0.099989
0.092,5.48363e-07,3.05176e-05,3.79086e-06,0.099982
0.094,-9.53674e-08,2.38419e-05,4.17233e-06,0.099982
0.096,1.66893e-07,2.95639e-05,3.44515e-06,0.099988
0.098,3.57628e-08,1.52588e-05,3.92199e-06,0.099986
0.1,2.02656e-07,2.6226e-06,4.00543e-06,0.099989
0.102,0.0,3.57628e-06,3.70741e-06,0.099986
0.104,-4.76837e-08,1.62125e-05,3.82662e-06,0.099978
0.106,1.66893e-07,1.3113e-05,4.30346e-06,0.099983
0.108,2.98023e-07,5.48363e-06,3.92199e-06,0.099989
0.11,3.33786e-07,6.4373e-06,3.61204e-06,0.099983
0.112,6.31809e-07,1.81198e-05,3.70741e-06,0.099989
0.114,3.33786e-07,8.34465e-06,4.13656e-06,0.099984
0.116,-1.78814e-07,3.57628e-06,3.70741e-06,0.099987
0.118,4.17233e-07,2.86102e-05,3.39746e-06,0.099985
0.12,8.34465e-08,1.21593e-05,3.92199e-06,0.099988
0.122,8.34465e-08,2.00272e-05,3.8743e-06,0.099985
0.124,8.34465e-08,8.34465e-06,3.70741e-06,0.09999
0.126,2.02656e-07,1.3113e-05,4.35114e-06,0.099986
0.128,1.0252e-06,2.19345e-05,3.61204e-06,0.099986
0.13,3.57628e-08,1.0252e-05,4.17233e-06,0.099983
0.132,1.66893e-07,1.12057e-05,3.82662e-06,0.099984
0.134,1.66893e-07,1.21593e-05,3.74317e-06,0.099986
0.136,0.0,1.3113e-05,4.08888e-06,0.099985
0.138,2.5034e-07,1.71661e-05,3.70741e-06,0.09999
0.14,3.57628e-08,-6.19888e-06,3.92199e-06,0.099985
0.142,5.126e-07,1.3113e-05,3.8743e-06,0.099984
0.144,5.48363e-07,2.00272e-05,3.57628e-06,0.099988
0.146,2.02656e-07,2.47955e-05,4.0412e-06,0.099985
