Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,5.67436e-06,5.72205e-06,5.93662e-06,5.98431e-06,5.55515e-06,5.76973e-06,5.24521e-06,6.10352e-06
0.002,5.34058e-06,5.76973e-06,5.76973e-06,5.59092e-06,5.76973e-06,5.76973e-06,5.55515e-06,5.72205e-06
0.004,5.45979e-06,5.67436e-06,5.45979e-06,5.67436e-06,5.72205e-06,5.85318e-06,5.80549e-06,5.76973e-06
0.006,5.59092e-06,5.50747e-06,5.29289e-06,5.80549e-06,5.59092e-06,5.6386e-06,5.55515e-06,5.76973e-06
0.008,5.67436e-06,5.67436e-06,5.59092e-06,5.45979e-06,5.50747e-06,5.59092e-06,5.72205e-06,5.88894e-06
0.01,5.59092e-06,5.6386e-06,5.55515e-06,5.6386e-06,5.6386e-06,5.67436e-06,5.80549e-06,5.6386e-06
0.012,5.42402e-06,5.85318e-06,5.80549e-06,5.72205e-06,6.1512e-06,5.98431e-06,5.20945e-06,5.67436e-06
0.014,5.59092e-06,5.85318e-06,5.76973e-06,5.55515e-06,6.1512e-06,5.34058e-06,5.59092e-06,5.72205e-06
0.016,5.85318e-06,5.59092e-06,5.45979e-06,5.45979e-06,5.80549e-06,5.59092e-06,5.67436e-06,5.67436e-06
0.018,5.85318e-06,5.59092e-06,5.42402e-06,5.50747e-06,5.67436e-06,5.6386e-06,5.37634e-06,5.55515e-06
0.02,5.59092e-06,5.88894e-06,5.59092e-06,5.6386e-06,5.67436e-06,5.72205e-06,5.6386e-06,5.72205e-06
0.022,5.42402e-06,5.50747e-06,5.6386e-06,5.45979e-06,5.59092e-06,5.67436e-06,5.6386e-06,5.55515e-06
0.024,5.6386e-06,5.45979e-06,5.50747e-06,5.6386e-06,5.55515e-06,5.85318e-06,5.16176e-06,5.6386e-06
0.026,5.59092e-06,5.37634e-06,5.55515e-06,5.6386e-06,5.55515e-06,5.80549e-06,5.55515e-06,5.6386e-06
0.028,5.37634e-06,5.85318e-06,5.72205e-06,5.88894e-06,5.59092e-06,5.59092e-06,5.72205e-06,5.6386e-06
0.03,5.45979e-06,5.85318e-06,5.59092e-06,6.06775e-06,5.20945e-06,5.67436e-06,5.45979e-06,5.42402e-06
0.032,5.76973e-06,5.59092e-06,5.6386e-06,5.6386e-06,5.6386e-06,5.6386e-06,5.76973e-06,5.55515e-06
0.034,5.6386e-06,5.42402e-06,5.67436e-06,5.6386e-06,5.85318e-06,5.72205e-06,5.42402e-06,5.85318e-06
0.036,4.94719e-06,5.72205e-06,5.93662e-06,5.59092e-06,5.72205e-06,5.76973e-06,5.76973e-06,5.20945e-06
0.038,5.42402e-06,5.67436e-06,5.34058e-06,5.6386e-06,5.59092e-06,5.80549e-06,5.42402e-06,5.72205e-06
0.04,5.45979e-06,6.02007e-06,5.42402e-06,5.80549e-06,5.37634e-06,5.16176e-06,5.59092e-06,5.37634e-06
0.042,5.42402e-06,5.45979e-06,5.45979e-06,5.50747e-06,5.98431e-06,5.80549e-06,5.80549e-06,5.50747e-06
0.044,5.34058e-06,5.6386e-06,5.55515e-06,5.42402e-06,5.88894e-06,5.6386e-06,5.42402e-06,5.67436e-06
0.046,5.6386e-06,5.76973e-06,5.42402e-06,5.6386e-06,5.76973e-06,5.50747e-06,5.6386e-06,5.67436e-06
0.048,5.42402e-06,5.6386e-06,5.45979e-06,5.80549e-06,5.72205e-06,5.55515e-06,5.45979e-06,5.80549e-06
0.05,5.45979e-06,5.6386e-06,5.45979e-06,5.67436e-06,5.55515e-06,5.59092e-06,5.37634e-06,5.59092e-06
0.052,5.50747e-06,5.67436e-06,5.93662e-06,5.59092e-06,5.6386e-06,6.06775e-06,5.67436e-06,5.67436e-06
0.054,5.20945e-06,5.80549e-06,5.55515e-06,5.76973e-06,5.88894e-06,5.6386e-06,5.6386e-06,5.72205e-06
0.056,5.50747e-06,5.59092e-06,5.72205e-06,5.6386e-06,5.72205e-06,5.50747e-06,5.76973e-06,5.72205e-06
0.058,5.59092e-06,5.45979e-06,5.59092e-06,5.80549e-06,5.6386e-06,5.76973e-06,5.6386e-06,5.85318e-06
0.06,5.59092e-06,5.59092e-06,5.67436e-06,5.93662e-06,5.16176e-06,5.59092e-06,5.67436e-06,5.72205e-06
0.062,5.59092e-06,5.67436e-06,5.42402e-06,5.6386e-06,5.55515e-06,5.6386e-06,5.93662e-06,5.50747e-06
0.064,5.50747e-06,5.85318e-06,5.85318e-06,5.42402e-06,5.55515e-06,5.72205e-06,6.06775e-06,5.72205e-06
0.066,5.72205e-06,5.67436e-06,5.59092e-06,5.55515e-06,5.80549e-06,5.24521e-06,5.67436e-06,5.45979e-06
0.068,5.59092e-06,5.59092e-06,5.59092e-06,5.67436e-06,5.72205e-06,5.67436e-06,5.67436e-06,5.45979e-06
0.07,5.50747e-06,5.67436e-06,5.03063e-06,5.50747e-06,5.45979e-06,5.67436e-06,5.20945e-06,5.6386e-06
0.072,5.45979e-06,5.59092e-06,5.45979e-06,5.80549e-06,6.02007e-06,5.72205e-06,5.6386e-06,5.6386e-06
0.074,5.37634e-06,5.55515e-06,5.55515e-06,5.42402e-06,5.88894e-06,5.67436e-06,5.6386e-06,5.72205e-06
0.076,5.42402e-06,5.67436e-06,5.72205e-06,5.45979e-06,5.76973e-06,5.55515e-06,5.55515e-06,5.55515e-06
0.078,5.67436e-06,5.6386e-06,5.59092e-06,5.50747e-06,5.80549e-06,6.23465e-06,5.45979e-06,5.55515e-06
